# Header: 
#   title: 95-AM-243(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 95 
#   A: 243 
#   Nuclide: 95-AM-243 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4018e-08 MeV - 2.5970e-08 MeV 
# Residual: 
#   Z: 95 
#   A: 244 
#   Nuclide: 95-AM-244
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 9.13406E+01  |   7.68929E+00 (N = 115)
#   Thermal Weighted Mean    +/- Weighted Error      : 8.77936E+01 +/-  6.96563E-01 (N = 115)
#   MXW Simple Mean           |  Simple Stdev        : 7.20667E+01  |   3.09892E+00   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      : 7.17105E+01 +/-  1.23990E+00   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 1.14888E+02  |   3.75443E+01   (N = 8)
#   SPA Weighted Mean        +/- Weighted Error      : 1.28248E+02 +/-  7.47428E-01   (N = 8)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
12534-004-0         R.L.Folger              1968   2.5300E-08   0.0000E+00   7.8000E+01   0.0000E+00                
23109-003-1         S.H.Eberle              1971   2.5300E-08   0.0000E+00   7.7000E+01   2.0000E+00                
40467-012-0         V.D.Gavrilov            1976   2.5300E-08   0.0000E+00   8.3000E+01   6.0000E+00                
23534-004-0         A.Kimura                2019   2.5970E-08   0.0000E+00   9.3190E+01   1.7720E+01                
23534-004-0         A.Kimura                2019   2.5917E-08   0.0000E+00   9.4840E+01   1.7460E+01                
23534-004-0         A.Kimura                2019   2.5863E-08   0.0000E+00   9.5300E+01   1.7580E+01                
23534-004-0         A.Kimura                2019   2.5810E-08   0.0000E+00   9.7150E+01   1.7620E+01                
23534-004-0         A.Kimura                2019   2.5757E-08   0.0000E+00   9.5150E+01   1.7320E+01                
23534-004-0         A.Kimura                2019   2.5704E-08   0.0000E+00   8.5000E+01   1.7390E+01                
23534-004-0         A.Kimura                2019   2.5651E-08   0.0000E+00   8.9030E+01   1.7340E+01                
23534-004-0         A.Kimura                2019   2.5598E-08   0.0000E+00   9.9970E+01   1.7310E+01                
23534-004-0         A.Kimura                2019   2.5545E-08   0.0000E+00   1.1006E+02   1.7710E+01                
23534-004-0         A.Kimura                2019   2.5493E-08   0.0000E+00   1.1613E+02   1.7910E+01                
23534-004-0         A.Kimura                2019   2.5441E-08   0.0000E+00   1.2371E+02   1.8060E+01                
23534-004-0         A.Kimura                2019   2.5389E-08   0.0000E+00   1.2251E+02   1.7940E+01                
23534-004-0         A.Kimura                2019   2.5337E-08   0.0000E+00   1.0910E+02   1.7790E+01                
23534-004-0         A.Kimura                2019   2.5285E-08   0.0000E+00   9.8620E+01   1.7870E+01                
23534-004-0         A.Kimura                2019   2.5234E-08   0.0000E+00   9.6150E+01   1.7790E+01                
23534-004-0         A.Kimura                2019   2.5182E-08   0.0000E+00   9.8300E+01   1.7730E+01                
