# Header: 
#   title: 13-AL-27(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 13 
#   A: 27 
#   Nuclide: 13-AL-27 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 13 
#   A: 28 
#   Nuclide: 13-AL-28
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 2.29443E-01  |   1.26475E-02  (N = 12)
#   Thermal Weighted Mean    +/- Weighted Error      : 2.32030E-01 +/-  1.33665E-03  (N = 12)
#   AV Simple Mean            |  Simple Stdev        : 2.29800E-01  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 2.18143E-01  |   1.48147E-02   (N = 7)
#   MXW Weighted Mean        +/- Weighted Error      : 2.28068E-01 +/-  2.23484E-03   (N = 7)
#   SPA Simple Mean           |  Simple Stdev        : 2.20000E-01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
21420-004-0         P.Benoist               1951   2.5300E-08   0.0000E+00   2.1900E-01   6.0000E-03                
20275-002-0         T.Fuketa                1960   2.5300E-08   0.0000E+00   2.3400E-01   5.0000E-03                
20638-004-0         R.B.Tattersall          1960   2.5300E-08   0.0000E+00   2.4600E-01   3.0000E-03                
21423-002-0         M.Brose                 1960   2.5300E-08   0.0000E+00   2.2000E-01   1.3000E-02                
30073-003-0         Al.Stefanescu           1961   2.5300E-08   0.0000E+00   2.3900E-01   1.4000E-02                
11501-002-0         R.Sher                  1962   2.5300E-08   0.0000E+00   2.4600E-01   7.0000E-03                
20658-003-0         J.C.Carre               1966   2.5300E-08   0.0000E+00   2.2900E-01   3.0000E-03                
10339-004-0         A.Okazaki               1968   2.5300E-08   0.0000E+00   2.3400E-01   5.0000E-03                
20790-003-0         T.B.Ryves               1970   2.5300E-08   0.0000E+00   2.3050E-01   0.0000E+00                
23488-004-0         F.De Corte              1988   2.5300E-08   0.0000E+00   2.2600E-01   2.2600E-03                
31698-014-0         B.J.B.Nyarko            2010   2.5300E-08   0.0000E+00   2.0000E-01   2.0000E-02                
23266-013-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   2.2981E-01   0.0000E+00                
23266-012-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   2.2980E-01   2.3000E-03      AV        
12616-004-0         J.Coltman               1946   2.5300E-08   0.0000E+00   1.9000E-01   1.0000E-02     MXW        
11447-006-0         L.Seren                 1947   2.5300E-08   0.0000E+00   2.1000E-01   4.2000E-02     MXW        
11047-007-0         H.Pomerance             1951   2.5300E-08   0.0000E+00   2.2000E-01   1.1000E-02     MXW        
21420-003-0         P.Benoist               1951   2.5300E-08   0.0000E+00   2.2100E-01   6.0000E-03     MXW        
20041-002-0         B.Grimeland             1956   2.5300E-08   0.0000E+00   2.2000E-01   2.0000E-02     MXW        
10644-006-0         G.Gleason               1975   2.5300E-08   0.0000E+00   2.3400E-01   5.0000E-03     MXW        
20625-004-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   2.3200E-01   3.0000E-03     MXW        
11528-003-0         S.P.Harris              1950   2.5300E-08   0.0000E+00   2.2000E-01   0.0000E+00     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
10501-004-0         S.S.Malik               1970   2.5300E-08   0.0000E+00   2.3800E-01   3.0000E-02           DERIV
21017-006-0         A.Steyerl               1972   2.5300E-08   0.0000E+00   2.2700E-01   6.0000E-03           DERIV
V1001-077-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.3100E-01   3.0000E-03           RECOM
# ------------------
#

