# Header: 
#   title: 70-YB-174(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 70 
#   A: 174 
#   Nuclide: 70-YB-174 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 70 
#   A: 175 
#   Nuclide: 70-YB-175
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 8.08750E+01  |   3.32819E+01   (N = 8)
#   Thermal Weighted Mean    +/- Weighted Error      : 6.32743E+01 +/-  4.98944E-01   (N = 8)
#   MXW Simple Mean           |  Simple Stdev        : 9.05000E+01  |   7.14178E+01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 7.20000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
10608-015-0         G.H.E.Sims              1970   2.5300E-08   0.0000E+00   1.4100E+02   0.0000E+00                
23488-077-0         F.De Corte              1988   2.5300E-08   0.0000E+00   1.2800E+02   7.6800E+00                
23260-127-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.3000E+01   5.0000E-01                
23260-128-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.3300E+01   0.0000E+00                
23260-128-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.3200E+01   0.0000E+00                
23260-128-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.2900E+01   0.0000E+00                
23260-128-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.3400E+01   0.0000E+00                
23260-128-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.2200E+01   0.0000E+00                
10608-014-0         G.H.E.Sims              1970   2.5300E-08   0.0000E+00   1.4100E+02   0.0000E+00     MXW        
20094-006-0         J.Alstad                1972   2.5300E-08   0.0000E+00   4.0000E+01   1.5000E+00     MXW        
12127-025-0         W.H.Walker              1956   2.5300E-08   0.0000E+00   7.2000E+01   6.0000E+00     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
31730-003-0         N.Belouadah             2014   2.5300E-08   0.0000E+00   7.1600E+01   2.7000E+00           DERIV
V1002-340-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   6.3200E+01   1.5000E+00           RECOM
# ------------------
#

# Header: 
#   title: 70-YB-174(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 70 
#   A: 174 
#   Nuclide: 70-YB-174 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 70 
#   A: 175 
#   Nuclide: 70-YB-175-L
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 4.60000E+01  |           NAN   (N = 1)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
31003-008-0         K.F.Alexander           1963   2.5300E-08   0.0000E+00   4.6000E+01   4.0000E+00     MXW        
# ------------------
#

