# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 23:44:12 2025
#                        
# Element                            : Ar
# Z                                  : 18
# A                                  : 40
# I                                  : 0
# Abundancy                       [%]: 99.603
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.497740E+06 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 206
# Number of resonances (<Emax2)      : 209
# Thermal  (n,g) xs (calculated) [b.]: 6.599700E-01 
# Res. Int (n,g) (calculated)    [b.]: 2.784180E-01  
# MACS 30 keV (calculated)       [b.]: 2.233700E-03
# Westcott factor (calculated)       : 1.000530E+00
#
# Thermal (n,el) xs (calculated) [b.]: 6.470130E-01 
# Res. Int (n,el) (calculated)   [b.]: 1.556140E+01 
#
# Scattering radius              [fm]: 3.50 
# Scattering radius L= 0         [fm]: 3.50 +/- 5.00 %
# Scattering radius L= 1         [fm]: 3.50 +/- 5.00 %
# Scattering radius L= 2         [fm]: 3.50 +/- 5.00 %
# Scattering radius L= 3         [fm]: 3.50 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 1.467210E+01 
# Average Gg       l=0           [eV]: 1.200000E+00 
# Average level spacing D0 (l=0) [eV]: 6.240580E+04 
# Neutron strength function S0 (l=0) : 2.449040E-04 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 1.869920E+00 
# Average Gg       l=1           [eV]: 4.860980E-01 
# Average level spacing D1 (l=1) [eV]: 1.248120E+04 
# Neutron strength function S1 (l=1) : 7.084250E-05 
#
# Average reduced (Gn^2) Gn l=2  [eV]: 3.505500E+01 
# Average Gg       l=2           [eV]: 9.583210E-01 
# Average level spacing D2 (l=2) [eV]: 2.936750E+04 
# Neutron strength function S2 (l=2) : 6.313020E-04 
#
# Average reduced (Gn^3) Gn l=3  [eV]: 2.029000E+03 
# Average Gg       l=3           [eV]: 5.000000E-01 
# Average level spacing D3 (l=3) [eV]: 2.496230E+05 
# Neutron strength function S3 (l=3) : 4.064130E-03 
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.000000E+03      2.068900E-01     0       +0.50      4.071200E+00    2.105700E-02    1.150800E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.118100E+04      2.313237E+00     1       +0.50      1.800000E-01    9.310000E-04    7.880000E-02    3.940000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.797400E+04      3.718641E+00     1       +0.50      4.600000E-01    2.379000E-03    1.370000E-01    6.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.930900E+04      1.227044E+01     1       +0.50      6.360000E+00    3.289500E-02    3.590000E-01    1.795000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.091700E+04      1.260312E+01     1       +0.50      6.900000E-01    3.569000E-03    5.970000E-01    2.985000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.648590E+04      1.582417E+01     0       +0.50      5.672000E+03    2.933689E+01    1.200000E+00    6.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.005690E+04      1.863187E+01     1       +1.50      1.990000E+00    1.029300E-02    3.600000E-01    1.800000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.207490E+04      1.904938E+01     1       +1.50      5.000000E-01    2.586000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.327590E+04      1.929785E+01     1       +1.50      1.000000E+00    5.172000E-03    5.770000E-01    2.885000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.653790E+04      1.997273E+01     2       +1.50      2.700000E+00    1.396500E-02    1.870000E-01    9.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.019860E+05      2.109988E+01     2       +1.50      1.395000E+01    7.215300E-02    9.570000E-02    4.785000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.056930E+05      2.186682E+01     2       +1.50      5.500000E-01    2.845000E-03    5.500000E-01    2.750000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.160510E+05      2.400979E+01     1       +0.50      4.350000E+02    2.249920E+00    1.700000E-01    8.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.498850E+05      3.100971E+01     1       +1.50      6.000000E+00    3.103300E-02    4.290000E-01    2.145000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.722670E+05      3.564032E+01     0       +0.50      5.550000E+03    2.870588E+01    1.200000E+00    6.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.809740E+05      3.744171E+01     1       +1.50      1.025000E+02    5.301540E-01    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.855700E+05      3.839258E+01     1       +1.50      1.215000E+01    6.284300E-02    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.933240E+05      3.999680E+01     1       +1.50      5.300000E+01    2.741280E-01    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.954120E+05      4.042879E+01     1       +1.50      2.900000E+00    1.499900E-02    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.966940E+05      4.069402E+01     1       +0.50      7.100000E+00    3.672300E-02    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.985500E+05      4.107801E+01     1       +1.50      4.900000E+00    2.534400E-02    5.000000E-01    2.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
