# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 23:44:05 2025
#                        
# Element                            : Cd
# Z                                  : 48
# A                                  : 112
# I                                  : 0
# Abundancy                       [%]: 24.13
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.150000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 118
# Number of resonances (<Emax2)      : 118
# Thermal  (n,g) xs (calculated) [b.]: 2.197920E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.295860E+01  
# MACS 30 keV (calculated)       [b.]: 1.944600E-01
# Westcott factor (calculated)       : 9.986100E-01
#
# Thermal (n,el) xs (calculated) [b.]: 5.075250E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.518020E+01 
#
# Scattering radius              [fm]: 6.60 
# Scattering radius L= 0         [fm]: 6.60 +/- 5.00 %
# Scattering radius L= 1         [fm]: 6.60 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 1.329800E-02 
# Average Gg       l=0           [eV]: 7.501540E-02 
# Average level spacing D0 (l=0) [eV]: 2.875000E+02 
# Neutron strength function S0 (l=0) : 4.741020E-05 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 9.329860E-02 
# Average Gg       l=1           [eV]: 8.828400E-02 
# Average level spacing D1 (l=1) [eV]: 1.533330E+02 
# Neutron strength function S1 (l=1) : 3.424960E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.216363E+01      2.723000E-03     0       +0.50      3.439000E-03    1.900000E-05    7.600000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.678000E+01      1.494800E-02     0       +0.50      8.476000E-03    4.700000E-05    6.280000E-02    3.140000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.246600E+01      1.845900E-02     1       +1.50      4.100000E-05    0.000000E+00    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.331500E+01      1.864900E-02     1       +1.50      1.870000E-04    1.000000E-06    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.265090E+02      5.070200E-02     0       +0.50      2.057000E-02    1.150000E-04    5.590000E-02    2.795000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.431000E+02      9.918400E-02     0       +0.50      6.131000E-02    3.430000E-04    6.160000E-02    3.080000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.527830E+02      1.013510E-01     1       +1.50      1.703000E-03    1.000000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.659440E+02      1.266810E-01     1       +1.50      1.214000E-03    7.000000E-06    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.377380E+02      1.651350E-01     0       +0.50      3.538000E-01    1.980000E-03    6.740000E-02    3.370000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.109691E+02      1.815270E-01     1       +1.50      1.566000E-03    9.000000E-06    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.848410E+02      1.980630E-01     1       +1.50      5.901000E-03    3.300000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.950290E+02      2.003430E-01     1       +1.50      2.868000E-03    1.600000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.092200E+02      2.035200E-01     0       +0.50      2.770000E-01    1.550000E-03    6.870000E-02    3.435000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.052936E+03      2.356890E-01     1       +0.50      8.653000E-03    4.800000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.101988E+03      2.466690E-01     1       +1.50      2.987000E-03    1.700000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.116124E+03      2.498330E-01     0       +0.50      6.570000E-01    3.677000E-03    6.062000E-02    3.031000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.208097E+03      2.704200E-01     1       +1.50      9.422000E-03    5.300000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.337892E+03      2.994740E-01     1       +1.50      1.792000E-02    1.000000E-04    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.423831E+03      3.187100E-01     0       +0.50      6.791000E-01    3.800000E-03    5.200000E-02    2.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.640327E+03      3.671710E-01     1       +0.50      2.210000E-02    1.240000E-04    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.707056E+03      3.821070E-01     0       +0.50      2.891000E-01    1.618000E-03    7.750000E-02    3.875000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.815204E+03      4.063150E-01     1       +1.50      9.584000E-03    5.400000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.943360E+03      4.350020E-01     1       +1.50      2.292000E-02    1.280000E-04    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.036695E+03      4.558940E-01     0       +0.50      1.492000E+00    8.349000E-03    7.750000E-02    3.875000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.227186E+03      4.985330E-01     1       +1.50      2.558000E-02    1.430000E-04    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.338035E+03      5.233460E-01     0       +0.50      6.792000E-01    3.801000E-03    7.750000E-02    3.875000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.457688E+03      5.501290E-01     1       +1.50      8.426000E-03    4.700000E-05    9.050000E-02    4.525000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
