# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 23:45:12 2025
#                        
# Element                            : Cd
# Z                                  : 48
# A                                  : 113
# I                                  : 0
# Abundancy                       [%]: 12.22
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.000000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 261
# Number of resonances (<Emax2)      : 261
# Thermal  (n,g) xs (calculated) [b.]: 1.986000E+04 
# Res. Int (n,g) (calculated)    [b.]: 2.920020E+02  
# MACS 30 keV (calculated)       [b.]: 6.004300E-01
# Westcott factor (calculated)       : 1.333040E+00
#
# Thermal (n,el) xs (calculated) [b.]: 2.431870E+01 
# Res. Int (n,el) (calculated)   [b.]: 6.690430E+01 
#
# Scattering radius              [fm]: 6.30 
#
# Average Gtotal   l=0           [eV]: 1.935940E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.060890E-03 
# Average Gg       l=0           [eV]: 9.859660E-02 
# Average level spacing D0 (l=0) [eV]: 3.246750E+01 
# Neutron strength function S0 (l=0) : 3.474950E-05 
#
# Average Gtotal   l=1           [eV]: 1.613620E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.067250E-02 
# Average Gg       l=1           [eV]: 1.587260E-01 
# Average level spacing D1 (l=1) [eV]: 4.761900E+01 
# Neutron strength function S1 (l=1) : 1.094320E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +1.787000E-01      4.100000E-05     0       +1.00      6.340000E-04    0.000000E+00    1.135000E-01    5.675000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.000000E+00      1.607000E-03     1       +1.00      0.000000E+00    0.000000E+00    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.836500E+01      4.217000E-03     0       +1.00      1.880000E-04    0.000000E+00    9.500000E-02    4.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.183100E+01      5.013000E-03     1       +2.00      6.000000E-06    0.000000E+00    8.200000E-02    4.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.338000E+01      9.960000E-03     1       +2.00      4.000000E-06    0.000000E+00    1.280000E-01    6.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.977000E+01      1.142800E-02     1       +0.00      6.000000E-05    0.000000E+00    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.623000E+01      1.291100E-02     1       +1.00      5.400000E-05    0.000000E+00    1.690000E-01    8.450000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.370000E+01      1.462600E-02     0       +1.00      3.467000E-03    0.000000E+00    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.152000E+01      1.871800E-02     1       +2.00      4.000000E-06    0.000000E+00    1.130000E-01    5.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.491000E+01      1.949600E-02     0       +1.00      2.986700E-02    0.000000E+00    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.852000E+01      2.262100E-02     1       +2.00      3.400000E-05    0.000000E+00    2.250000E-01    1.125000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.023000E+02      2.348900E-02     1       +2.00      3.000000E-05    0.000000E+00    1.170000E-01    5.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.065600E+02      2.446700E-02     1       +2.00      2.400000E-05    0.000000E+00    1.510000E-01    7.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.083300E+02      2.487400E-02     0       +1.00      1.136000E-02    0.000000E+00    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.430700E+02      3.285000E-02     0       +0.00      9.360000E-03    0.000000E+00    9.800000E-02    4.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.587600E+02      3.645300E-02     0       +1.00      8.627000E-03    0.000000E+00    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.666000E+02      3.825300E-02     1       +2.00      1.600000E-05    0.000000E+00    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.928500E+02      4.428000E-02     0       +0.00      1.832000E-01    0.000000E+00    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.961500E+02      4.503800E-02     1       +1.00      1.330000E-04    0.000000E+00    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.035100E+02      4.672800E-02     1       +2.00      5.400000E-05    0.000000E+00    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
