# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:08:31 2025
#                        
# Element                            : Ce
# Z                                  : 58
# A                                  : 140
# I                                  : 0
# Abundancy                       [%]: 88.45
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.000000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 211
# Number of resonances (<Emax2)      : 213
# Thermal  (n,g) xs (calculated) [b.]: 4.636070E-01 
# Res. Int (n,g) (calculated)    [b.]: 2.760470E-01  
# MACS 30 keV (calculated)       [b.]: 1.285000E-02
# Westcott factor (calculated)       : 9.993100E-01
#
# Thermal (n,el) xs (calculated) [b.]: 3.066570E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.513600E+01 
#
# Scattering radius              [fm]: 6.07 
# Scattering radius L= 0         [fm]: 6.07 +/- 5.00 %
# Scattering radius L= 1         [fm]: 6.07 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 4.591800E-01 
# Average Gg       l=0           [eV]: 1.109580E-01 
# Average level spacing D0 (l=0) [eV]: 4.878050E+03 
# Neutron strength function S0 (l=0) : 9.642770E-05 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 2.246140E-01 
# Average Gg       l=1           [eV]: 1.366420E-01 
# Average level spacing D1 (l=1) [eV]: 1.212120E+03 
# Neutron strength function S1 (l=1) : 8.362080E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.923178E+06      9.903671E+02     0       +0.50      2.597700E+04    1.639429E+02    4.323300E-02    1.127190E+03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.409270E+03      1.365516E+00     0       +0.50      9.941000E-03    6.300000E-05    8.416400E-01    1.127190E+03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.902307E+01      4.802000E-03     0       +0.50      3.410000E-04    2.000000E-06    4.922800E-01    1.127190E+03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.544130E+03      6.422400E-01     1       +0.50      6.947900E-01    4.385000E-03    1.211600E-01    6.058000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.640149E+03      1.423799E+00     1       +0.50      3.684300E-02    2.330000E-04    4.405400E-02    2.203000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.006385E+03      1.516252E+00     0       +0.50      9.199500E-01    5.806000E-03    5.561500E-02    2.781000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.324989E+03      1.596680E+00     1       +0.50      5.421000E-03    3.400000E-05    2.422700E-02    1.211000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.781027E+03      1.711802E+00     1       +0.50      1.515100E-01    9.560000E-04    5.632300E-02    2.816000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.392399E+03      2.118577E+00     1       +1.50      2.885200E-01    1.821000E-03    4.203700E-02    2.102000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.572961E+03      2.416598E+00     0       +0.50      5.338000E+01    3.368850E-01    9.277400E-02    4.639000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.033022E+04      2.607761E+00     1       +1.50      9.053000E-03    5.700000E-05    6.810000E-03    3.400000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.116207E+04      2.817753E+00     1       +1.50      3.440000E-02    2.170000E-04    1.073000E-03    5.400000E-05    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.123148E+04      2.835275E+00     0       +0.50      3.439200E-01    2.171000E-03    9.957200E-02    4.979000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
