# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:15:41 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 151
# I                                  : 0
# Abundancy                       [%]: 47.81
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.000000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 92
# Thermal  (n,g) xs (calculated) [b.]: 9.200660E+03 
# Res. Int (n,g) (calculated)    [b.]: 2.432740E+03  
# MACS 30 keV (calculated)       [b.]: 3.747900E+00
# Westcott factor (calculated)       : 9.459500E-01
#
# Thermal (n,el) xs (calculated) [b.]: 4.718530E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.308780E+01 
#
# Scattering radius              [fm]: 7.90 
#
# Average Gtotal   l=0           [eV]: 9.626890E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.231070E-04 
# Average Gg       l=0           [eV]: 9.126920E-02 
# Average level spacing D0 (l=0) [eV]: 1.111110E+00 
# Neutron strength function S0 (l=0) : 3.266480E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.090000E-02      1.500000E-05     0       +3.00      7.700000E-05    0.000000E+00    1.052000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.210000E-01      7.900000E-05     0       +3.00      7.100000E-05    0.000000E+00    7.950000E-02    3.975000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.600000E-01      1.130000E-04     0       +3.00      6.650000E-04    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.055000E+00      2.580000E-04     0       +3.00      1.930000E-04    0.000000E+00    8.800000E-02    4.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.815000E+00      4.450000E-04     0       +2.00      4.100000E-05    0.000000E+00    9.100000E-02    4.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.717000E+00      6.660000E-04     0       +3.00      2.060000E-04    0.000000E+00    9.400000E-02    4.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.368000E+00      8.250000E-04     0       +2.00      2.196000E-03    0.000000E+00    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.710000E+00      9.090000E-04     0       +2.00      9.480000E-04    0.000000E+00    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.790000E+00      1.173000E-03     0       +2.00      1.800000E-04    0.000000E+00    9.100000E-02    4.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.380000E+00      1.318000E-03     0       +3.00      1.520000E-04    0.000000E+00    1.080000E-01    5.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
