# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:16:57 2025
#                        
# Element                            : Gd
# Z                                  : 64
# A                                  : 155
# I                                  : 0
# Abundancy                       [%]: 14.8
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.833000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 92
# Thermal  (n,g) xs (calculated) [b.]: 6.088600E+04 
# Res. Int (n,g) (calculated)    [b.]: 1.493170E+03  
# MACS 30 keV (calculated)       [b.]: 2.692200E+00
# Westcott factor (calculated)       : 8.429700E-01
#
# Thermal (n,el) xs (calculated) [b.]: 6.035370E+01 
# Res. Int (n,el) (calculated)   [b.]: 8.092720E+01 
#
# Scattering radius              [fm]: 7.90 
# Scattering radius L= 0         [fm]: 7.90 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 8.067760E-04 
# Average Gg       l=0           [eV]: 1.113220E-01 
# Average level spacing D0 (l=0) [eV]: 2.014290E+00 
# Neutron strength function S0 (l=0) : 1.984240E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.680000E-02      7.000000E-06     0       +2.00      1.040000E-04    1.000000E-06    1.080000E-01    5.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.008000E+00      5.150000E-04     0       +1.00      3.710000E-04    2.000000E-06    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.568000E+00      6.580000E-04     0       +2.00      1.744000E-03    1.100000E-05    1.110000E-01    5.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.616000E+00      9.270000E-04     0       +1.00      4.400000E-05    0.000000E+00    1.300000E-01    6.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.300000E+00      1.615000E-03     0       +2.00      2.000000E-03    1.300000E-05    1.140000E-01    5.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.750000E+00      1.986000E-03     0       +2.00      1.120000E-03    7.000000E-06    1.240000E-01    6.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.001000E+01      2.565000E-03     0       +2.00      1.680000E-04    1.000000E-06    1.150000E-01    5.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.153000E+01      2.955000E-03     0       +1.00      6.000000E-04    4.000000E-06    1.250000E-01    6.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.199000E+01      3.073000E-03     0       +2.00      8.800000E-04    6.000000E-06    1.120000E-01    5.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.451000E+01      3.719000E-03     0       +1.00      3.200000E-03    2.100000E-05    1.030000E-01    5.150000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.777000E+01      4.554000E-03     0       +2.00      3.920000E-04    3.000000E-06    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.992000E+01      5.105000E-03     0       +2.00      4.560000E-03    2.900000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.103000E+01      5.390000E-03     0       +2.00      1.560000E-02    1.000000E-04    9.800000E-02    4.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.367000E+01      6.066000E-03     0       +2.00      3.120000E-03    2.000000E-05    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.757000E+01      7.066000E-03     0       +1.00      1.120000E-03    7.000000E-06    1.250000E-01    6.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.958000E+01      7.581000E-03     0       +2.00      4.320000E-03    2.800000E-05    1.080000E-01    5.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.010000E+01      7.714000E-03     0       +2.00      1.040000E-02    6.700000E-05    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.172000E+01      8.129000E-03     0       +2.00      1.120000E-03    7.000000E-06    1.180000E-01    5.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.314000E+01      8.493000E-03     0       +1.00      1.867000E-03    1.200000E-05    1.098000E-01    5.490000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
