# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 16:24:46 2025
#                        
# Element                            : I
# Z                                  : 53
# A                                  : 129
# I                                  : 0
# Half-life                   [years]: 1.61498e+07 
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.400000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 125
# Number of resonances (<Emax2)      : 125
# Thermal  (n,g) xs (calculated) [b.]: 3.040290E+01 
# Res. Int (n,g) (calculated)    [b.]: 2.811340E+01  
# MACS 30 keV (calculated)       [b.]: 3.969300E-01
# Westcott factor (calculated)       : 9.983100E-01
#
# Thermal (n,el) xs (calculated) [b.]: 1.022640E+01 
# Res. Int (n,el) (calculated)   [b.]: 7.458130E+01 
#
# Scattering radius              [fm]: 7.01 
#
# Average Gtotal   l=0           [eV]: 2.045830E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.949810E-03 
# Average Gg       l=0           [eV]: 8.671540E-02 
# Average level spacing D0 (l=0) [eV]: 4.146340E+01 
# Neutron strength function S0 (l=0) : 3.598800E-05 
#
# Average Gtotal   l=1           [eV]: 1.059350E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.997980E-02 
# Average Gg       l=1           [eV]: 9.000000E-02 
# Average level spacing D1 (l=1) [eV]: 8.500000E+01 
# Neutron strength function S1 (l=1) : 1.165800E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.100000E+01      2.886000E-03     0       +4.00      5.990000E-02    2.800000E-05    8.700000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.218000E+01      1.893500E-02     0       +3.00      1.805700E-02    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.643000E+01      2.529600E-02     0       +3.00      1.600000E-03    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.284000E+02      3.368300E-02     0       +3.00      9.143000E-03    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.465000E+02      3.843100E-02     0       +3.00      6.731400E-02    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.527000E+02      4.005800E-02     0       +4.00      2.320000E-02    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.989000E+02      5.217700E-02     0       +4.00      3.556000E-03    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.593000E+02      6.802200E-02     0       +3.00      1.943000E-03    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.844000E+02      7.460700E-02     0       +4.00      1.235600E-02    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.908000E+02      7.628600E-02     0       +4.00      1.502200E-02    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.958000E+02      7.759700E-02     0       +3.00      3.086000E-03    0.000000E+00    8.700000E-02    4.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.541000E+02      9.289100E-02     1       +5.00      8.000000E-04    0.000000E+00    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.565000E+02      9.352100E-02     1       +5.00      1.309000E-03    0.000000E+00    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
