# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 00:17:32 2025
#                        
# Element                            : Kr
# Z                                  : 36
# A                                  : 86
# I                                  : 0
# Abundancy                       [%]: 17.279
# Data origin                        : endfb8.1
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.500000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 206
# Number of resonances (<Emax2)      : 206
# Thermal  (n,g) xs (calculated) [b.]: 3.025450E-03 
# Res. Int (n,g) (calculated)    [b.]: 1.891300E-02  
# MACS 30 keV (calculated)       [b.]: 5.107200E-03
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (calculated) [b.]: 6.689500E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.001370E+02 
#
# Scattering radius              [fm]: 7.80 
# Scattering radius L= 0         [fm]: 7.80 +/- 5.00 %
# Scattering radius L= 1         [fm]: 7.80 +/- 5.00 %
# Scattering radius L= 2         [fm]: 7.80 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 1.829610E+00 
# Average Gg       l=0           [eV]: 1.530000E-01 
# Average level spacing D0 (l=0) [eV]: 3.064520E+04 
# Neutron strength function S0 (l=0) : 6.162900E-05 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 6.765240E+00 
# Average Gg       l=1           [eV]: 2.572580E-01 
# Average level spacing D1 (l=1) [eV]: 8.407080E+03 
# Neutron strength function S1 (l=1) : 4.652960E-04 
#
# Average reduced (Gn^2) Gn l=2  [eV]: 1.688910E+00 
# Average Gg       l=2           [eV]: 9.847450E-03 
# Average level spacing D2 (l=2) [eV]: 1.637930E+04 
# Neutron strength function S2 (l=2) : 4.411200E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.000000E+04      4.834400E+00     0       +0.50      2.000000E+01    1.208610E-01    1.450000E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.608000E+03      1.355566E+00     1       +1.50      1.200000E-02    7.300000E-05    2.550000E-01    1.275000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.162000E+04      2.808786E+00     1       +1.50      1.300000E-02    7.900000E-05    2.550000E-01    1.275000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.922000E+04      4.645858E+00     1       +0.50      1.470000E+01    8.883300E-02    1.520000E-01    7.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.582000E+04      6.241210E+00     1       +1.50      7.500000E-01    4.532000E-03    2.470000E-01    1.235000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.784000E+04      6.729485E+00     1       +1.50      7.850000E+00    4.743800E-02    2.190000E-01    1.095000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.694000E+04      8.929137E+00     0       +0.50      5.300000E+01    3.202810E-01    1.590000E-01    7.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.388000E+04      1.060667E+01     1       +0.50      1.250000E+02    7.553800E-01    3.280000E-01    1.640000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.866000E+04      1.176210E+01     1       +1.50      1.050000E+00    6.345000E-03    3.040000E-01    1.520000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.960000E+04      1.198931E+01     0       +0.50      4.400000E+01    2.658940E-01    1.330000E-01    6.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.436000E+04      1.313990E+01     1       +1.50      2.005000E+02    1.211630E+00    4.600000E-01    2.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
