# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:21:49 2025
#                        
# Element                            : Pb
# Z                                  : 82
# A                                  : 204
# I                                  : 0
# Abundancy                       [%]: 1.4
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.000000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 63
# Number of resonances (<Emax2)      : 80
# Thermal  (n,g) xs (calculated) [b.]: 1.736350E-01 
# Res. Int (n,g) (calculated)    [b.]: 1.607420E+00  
# MACS 30 keV (calculated)       [b.]: 7.052100E-02
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (calculated) [b.]: 7.570550E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.013450E+02 
#
# Scattering radius              [fm]: 8.50 
#
# Average Gtotal   l=0           [eV]: 3.060790E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.930220E-01 
# Average Gg       l=0           [eV]: 7.019550E-01 
# Average level spacing D0 (l=0) [eV]: 2.380950E+03 
# Neutron strength function S0 (l=0) : 8.492990E-05 
#
# Average Gtotal   l=1           [eV]: 1.812370E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 8.707830E-02 
# Average Gg       l=1           [eV]: 3.314630E-01 
# Average level spacing D1 (l=1) [eV]: 1.250000E+03 
# Neutron strength function S1 (l=1) : 3.046440E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +4.800000E+02      1.404960E-01     1       +0.50      3.000000E-03    2.200000E-05    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.333000E+03      3.901690E-01     1       +0.50      2.500000E-02    1.830000E-04    3.900000E-01    1.950000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.686000E+03      4.934920E-01     0       +0.50      3.380000E+00    2.473300E-02    6.200000E-01    3.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.480000E+03      7.258960E-01     0       +0.50      5.490000E+00    4.017300E-02    3.600000E-01    1.800000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.706000E+03      7.920460E-01     1       +1.50      1.100000E-02    8.000000E-05    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.804000E+03      1.113431E+00     1       +0.50      6.400000E-02    4.680000E-04    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.283000E+03      1.253634E+00     1       +1.50      2.400000E-02    1.760000E-04    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.718000E+03      1.380959E+00     1       +0.50      1.900000E-01    1.390000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.699000E+03      1.960797E+00     0       +0.50      4.510000E+00    3.300100E-02    3.840000E-01    1.920000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.395000E+03      2.457217E+00     0       +0.50      4.640000E+01    3.395270E-01    1.550000E+00    7.750000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.097000E+03      2.662692E+00     1       +0.50      1.500000E-01    1.098000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.645000E+03      2.823092E+00     0       +0.50      7.860000E+00    5.751500E-02    1.560000E+00    7.800000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.136900E+04      3.327706E+00     1       +0.50      4.500000E-01    3.293000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.290300E+04      3.776708E+00     0       +0.50      5.660000E+01    4.141650E-01    6.350000E-01    3.175000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.337500E+04      3.914862E+00     1       +0.50      4.300000E-01    3.146000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.481700E+04      4.336936E+00     0       +0.50      4.300000E+00    3.146500E-02    5.540000E-01    2.770000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.594000E+04      4.665638E+00     1       +0.50      1.300000E-01    9.510000E-04    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.744500E+04      5.106152E+00     1       +0.50      2.600000E-01    1.903000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.764000E+04      5.163228E+00     1       +0.50      8.800000E-01    6.439000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.850500E+04      5.416413E+00     0       +0.50      2.600000E-01    1.903000E-03    4.960000E-01    2.480000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.879000E+04      5.499833E+00     0       +0.50      2.300000E-01    1.683000E-03    1.150000E-01    5.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.974500E+04      5.779362E+00     0       +0.50      2.530000E+00    1.851300E-02    9.410000E-01    4.705000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.077100E+04      6.079672E+00     1       +0.50      3.000000E-01    2.195000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.165200E+04      6.337541E+00     1       +0.50      6.300000E-01    4.610000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.220400E+04      6.499111E+00     0       +0.50      5.680000E+01    4.156280E-01    6.480000E-01    3.240000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.328000E+04      6.814056E+00     1       +1.50      1.245000E+00    9.110000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.415800E+04      7.071047E+00     0       +0.50      7.730000E+01    5.656350E-01    5.420000E-01    2.710000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.451200E+04      7.174663E+00     1       +0.50      4.500000E-01    3.293000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.589500E+04      7.579466E+00     1       +0.50      7.100000E-01    5.195000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.756800E+04      8.069154E+00     0       +0.50      3.030000E+01    2.217170E-01    1.257000E+00    6.285000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.786300E+04      8.155500E+00     0       +0.50      6.160000E+00    4.507500E-02    6.230000E-01    3.115000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.813600E+04      8.235407E+00     1       +0.50      9.500000E-01    6.952000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.892100E+04      8.465177E+00     1       +0.50      3.300000E-01    2.415000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.902000E+04      8.494154E+00     1       +0.50      1.040000E+00    7.610000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.965100E+04      8.678847E+00     1       +0.50      1.250000E+00    9.147000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.146900E+04      9.210977E+00     1       +0.50      3.000000E-01    2.195000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.283700E+04      9.611390E+00     0       +0.50      4.390000E+01    3.212340E-01    9.060000E-01    4.530000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.348100E+04      9.799889E+00     1       +0.50      1.360000E+00    9.952000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.394400E+04      9.935409E+00     0       +0.50      1.380000E+00    1.009800E-02    4.640000E-01    2.320000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.424100E+04      1.002234E+01     1       +1.50      8.270000E+00    6.051500E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.679600E+04      1.077019E+01     1       +0.50      4.360000E+00    3.190400E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.770000E+04      1.103479E+01     1       +0.50      6.500000E-01    4.756000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.872500E+04      1.133481E+01     1       +0.50      1.710000E+00    1.251300E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.892000E+04      1.139188E+01     1       +0.50      1.840000E+00    1.346400E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.952300E+04      1.156838E+01     0       +0.50      1.674000E+02    1.224933E+00    1.230000E+00    6.150000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.985000E+04      1.166409E+01     1       +0.50      2.780000E+00    2.034200E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.046000E+04      1.184264E+01     1       +0.50      1.630000E+00    1.192700E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.057000E+04      1.187484E+01     1       +0.50      1.230000E+00    9.000000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.088500E+04      1.196704E+01     1       +0.50      1.090000E+00    7.976000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.166000E+04      1.219388E+01     0       +0.50      7.050000E+00    5.158800E-02    4.240000E-01    2.120000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.238700E+04      1.240667E+01     1       +0.50      3.670000E+00    2.685500E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.249600E+04      1.243858E+01     1       +1.50      3.790000E+00    2.773300E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.293400E+04      1.256678E+01     0       +0.50      4.630000E+01    3.387960E-01    4.760000E-01    2.380000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.303400E+04      1.259605E+01     1       +1.50      2.590000E+00    1.895200E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.369700E+04      1.279011E+01     1       +0.50      2.670000E+00    1.953700E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.390800E+04      1.285187E+01     1       +0.50      7.100000E-01    5.195000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.447100E+04      1.301666E+01     1       +0.50      9.200000E-01    6.732000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.490600E+04      1.314399E+01     0       +0.50      2.140000E+01    1.565920E-01    4.980000E-01    2.490000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.535800E+04      1.327629E+01     0       +0.50      2.780000E+00    2.034200E-02    6.070000E-01    3.035000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.587400E+04      1.342732E+01     1       +0.50      6.220000E+00    4.551400E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.623000E+04      1.353152E+01     1       +1.50      2.885000E+00    2.111100E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.782000E+04      1.399691E+01     1       +1.50      2.520000E+00    1.844000E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.929600E+04      1.442894E+01     0       +0.50      6.560000E+01    4.800210E-01    5.530000E-01    2.765000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.022500E+04      1.470086E+01     1       +0.50      1.890000E+00    1.383000E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.089700E+04      1.489755E+01     1       +0.50      1.100000E+00    8.049000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.172000E+04      1.513844E+01     1       +0.50      3.260000E+00    2.385500E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.276000E+04      1.544285E+01     1       +0.50      1.020000E+00    7.464000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.425900E+04      1.588161E+01     1       +0.50      1.880000E+00    1.375700E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.446400E+04      1.594161E+01     1       +0.50      3.250000E+00    2.378200E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.505800E+04      1.611548E+01     0       +0.50      1.530000E+02    1.119562E+00    6.600000E-01    3.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.586500E+04      1.635168E+01     1       +0.50      2.260000E+00    1.653700E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.605000E+04      1.640583E+01     1       +0.50      5.000000E-01    3.659000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.635000E+04      1.649365E+01     1       +0.50      1.460000E+00    1.068300E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.717900E+04      1.673629E+01     0       +0.50      3.610000E+01    2.641580E-01    1.070000E+00    5.350000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.820000E+04      1.703514E+01     1       +0.50      2.600000E+00    1.902500E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.930000E+04      1.735711E+01     0       +0.50      7.900000E+00    5.780700E-02    5.100000E-01    2.550000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.946000E+04      1.740394E+01     1       +0.50      8.200000E-01    6.000000E-03    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.974300E+04      1.748678E+01     1       +1.50      4.470000E+00    3.270900E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.033200E+04      1.765918E+01     0       +0.50      9.400000E+01    6.878360E-01    8.730000E-01    4.365000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.120600E+04      1.791500E+01     1       +0.50      6.870000E+00    5.027100E-02    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
