# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 16:33:07 2025
#                        
# Element                            : Pd
# Z                                  : 46
# A                                  : 108
# I                                  : 0
# Abundancy                       [%]: 26.46
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.500000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 77
# Number of resonances (<Emax2)      : 77
# Thermal  (n,g) xs (calculated) [b.]: 8.478160E+00 
# Res. Int (n,g) (calculated)    [b.]: 2.434770E+02  
# MACS 30 keV (calculated)       [b.]: 2.267800E-01
# Westcott factor (calculated)       : 1.001330E+00
#
# Thermal (n,el) xs (calculated) [b.]: 2.429820E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.943740E+02 
#
# Scattering radius              [fm]: 6.90 
#
# Average Gtotal   l=0           [eV]: 7.171320E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.560520E-02 
# Average Gg       l=0           [eV]: 8.144540E-02 
# Average level spacing D0 (l=0) [eV]: 2.619050E+02 
# Neutron strength function S0 (l=0) : 6.242080E-05 
#
# Average Gtotal   l=1           [eV]: 1.280690E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 6.651510E-02 
# Average Gg       l=1           [eV]: 1.039240E-01 
# Average level spacing D1 (l=1) [eV]: 1.018520E+02 
# Neutron strength function S1 (l=1) : 3.863020E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.960000E+00      6.740000E-04     1       +1.50      3.000000E-06    0.000000E+00    9.180000E-02    4.590000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.310000E+01      7.538000E-03     0       +0.50      1.210000E-01    6.890000E-04    9.150000E-02    4.575000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.080000E+01      2.067900E-02     0       +0.50      2.060000E-01    1.173000E-03    9.700000E-02    4.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.127000E+02      2.566600E-02     1       +1.50      4.900000E-04    3.000000E-06    1.140000E-01    5.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.500000E+02      3.416100E-02     1       +1.50      3.000000E-05    0.000000E+00    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.032000E+02      6.905100E-02     1       +1.50      1.935000E-03    1.100000E-05    1.020000E-01    5.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.118000E+02      9.378300E-02     1       +0.50      7.100000E-04    4.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.276000E+02      9.738200E-02     0       +0.50      3.984000E-01    2.268000E-03    7.710000E-02    3.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.813000E+02      1.096110E-01     1       +1.50      3.100000E-04    2.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.450000E+02      1.241180E-01     1       +1.50      2.800000E-03    1.600000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.362000E+02      1.448880E-01     0       +0.50      4.621000E-01    2.631000E-03    7.620000E-02    3.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.432000E+02      1.464820E-01     1       +1.50      1.065000E-03    6.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.994000E+02      1.820550E-01     1       +1.50      3.585000E-03    2.000000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.450000E+02      1.924400E-01     1       +1.50      7.200000E-04    4.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.062000E+02      2.063780E-01     0       +0.50      5.810000E-01    3.308000E-03    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.569000E+02      2.179240E-01     0       +0.50      1.018000E+00    5.796000E-03    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.624000E+02      2.191770E-01     0       +0.50      4.710000E-02    2.680000E-04    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.084900E+03      2.470750E-01     1       +0.50      1.700000E-02    9.700000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.121000E+03      2.552970E-01     1       +1.50      2.550000E-04    1.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.140000E+03      2.596240E-01     1       +1.50      4.000000E-05    0.000000E+00    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.215000E+03      2.767040E-01     0       +0.50      4.180000E-01    2.380000E-03    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.363300E+03      3.104780E-01     1       +1.50      1.350000E-02    7.700000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.437500E+03      3.273760E-01     0       +0.50      1.390000E-01    7.910000E-04    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.460000E+03      3.325000E-01     1       +1.50      2.250000E-03    1.300000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.505000E+03      3.427490E-01     1       +0.50      3.300000E-04    2.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.527300E+03      3.478270E-01     1       +1.50      1.400000E-03    8.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.657500E+03      3.774790E-01     0       +0.50      1.558000E+00    8.871000E-03    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.715600E+03      3.907110E-01     0       +0.50      7.650000E-02    4.360000E-04    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.743000E+03      3.969510E-01     1       +0.50      4.700000E-04    3.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.815000E+03      4.133480E-01     1       +1.50      1.200000E-03    7.000000E-06    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.008400E+03      4.573930E-01     1       +1.50      5.000000E-03    2.800000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.015200E+03      4.589420E-01     0       +0.50      8.130000E-01    4.629000E-03    7.670000E-02    3.835000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.125000E+03      4.839470E-01     1       +1.50      3.750000E-03    2.100000E-05    1.040000E-01    5.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
