# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 16:32:44 2025
#                        
# Element                            : Pm
# Z                                  : 61
# A                                  : 145
# I                                  : 0
# Half-life                   [years]: 17.7131 
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.031250E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 199
# Number of resonances (<Emax2)      : 200
# Thermal  (n,g) xs (calculated) [b.]: 7.074730E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.860870E+02 
# MACS 30 keV (calculated)       [b.]: 9.175800E-01
# Westcott factor (calculated)       : 1.163100E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.678870E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.600300E+01 
#
# Scattering radius              [fm]: 7.08 
#
# Average Gtotal   l=0           [eV]: 9.655350E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.399180E-03 
# Average Gg       l=0           [eV]: 6.270720E-02 
# Average level spacing D0 (l=0) [eV]: 5.729170E+00 
# Neutron strength function S0 (l=0) : 1.245290E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.507160E+01      1.543600E-02     1       +1.00      6.800000E-05    9.700000E-05    6.558100E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.240107E+01      1.243100E-02     1       +1.00      6.800000E-05    0.000000E+00    6.558100E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.694752E+01      8.765000E-03     0       +2.00      6.700000E-05    0.000000E+00    6.418200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.192927E+01      7.574000E-03     1       +1.00      6.800000E-05    0.000000E+00    6.558100E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.865339E+01      6.797000E-03     1       +3.00      6.300000E-05    0.000000E+00    6.123000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.589271E+01      6.142000E-03     1       +4.00      6.000000E-05    0.000000E+00    5.825000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.448292E+01      5.808000E-03     1       +3.00      6.300000E-05    0.000000E+00    6.123000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.446241E+01      5.803000E-03     1       +2.00      6.600000E-05    0.000000E+00    6.366800E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.076295E+01      4.925000E-03     0       +2.00      6.700000E-05    0.000000E+00    6.418200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.803742E+01      4.279000E-03     0       +3.00      6.400000E-05    0.000000E+00    6.152900E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.590803E+01      3.774000E-03     1       +2.00      6.600000E-05    0.000000E+00    6.366800E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.333998E+01      3.165000E-03     1       +3.00      6.300000E-05    0.000000E+00    6.123000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.245973E+01      2.956000E-03     1       +4.00      6.000000E-05    0.000000E+00    5.825000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.185981E+01      2.813000E-03     0       +3.00      6.400000E-05    0.000000E+00    6.152900E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.030464E+01      2.444000E-03     1       +4.00      6.000000E-05    0.000000E+00    5.825000E-02    6.270100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
