# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:21:44 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 190
# I                                  : 0
# Abundancy                       [%]: 0.012
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.076040E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 66
# Number of resonances (<Emax2)      : 66
# Thermal  (n,g) xs (calculated) [b.]: 1.531840E+02 
# Res. Int (n,g) (calculated)    [b.]: 1.110480E+02  
# MACS 30 keV (calculated)       [b.]: 9.067300E-01
# Westcott factor (calculated)       : 9.866900E-01
#
# Thermal (n,el) xs (calculated) [b.]: 7.874090E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.957270E+01 
#
# Scattering radius              [fm]: 7.75 
#
# Average Gtotal   l=0           [eV]: 1.584380E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.275950E-03 
# Average Gg       l=0           [eV]: 8.476400E-02 
# Average level spacing D0 (l=0) [eV]: 2.391200E+01 
# Neutron strength function S0 (l=0) : 1.400450E-04 
#
# Average Gtotal   l=1           [eV]: 8.044010E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.958140E-03 
# Average Gg       l=1           [eV]: 8.033280E-02 
# Average level spacing D1 (l=1) [eV]: 5.978000E+01 
# Neutron strength function S1 (l=1) : 1.810570E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.640000E+00      4.320000E-04     0       +0.50      1.087000E-03    7.000000E-06    1.200000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.760000E+01      7.268000E-03     0       +0.50      6.300000E-03    4.100000E-05    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.001378E+01      1.317000E-02     0       +0.50      3.527000E-03    2.300000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.365309E+01      1.939500E-02     0       +0.50      1.158900E-02    7.600000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.040397E+02      2.739700E-02     0       +0.50      6.124700E-02    4.030000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.058909E+02      2.788400E-02     0       +0.50      1.040000E-04    1.000000E-06    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.269617E+02      3.343300E-02     0       +0.50      2.068200E-02    1.360000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.703541E+02      4.485900E-02     0       +0.50      1.464700E-02    9.600000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.864507E+02      4.909800E-02     0       +0.50      1.000000E-06    0.000000E+00    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.078488E+02      5.473300E-02     0       +0.50      4.894000E-03    3.200000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.257340E+02      5.944300E-02     0       +0.50      1.195800E-02    7.900000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.417958E+02      6.367200E-02     0       +0.50      4.624000E-03    3.000000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.843329E+02      7.487300E-02     0       +0.50      7.220000E-04    5.000000E-06    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.996718E+02      7.891300E-02     0       +0.50      2.158600E-01    1.421000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.250578E+02      8.559700E-02     0       +0.50      6.729500E-02    4.430000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.473210E+02      9.146000E-02     0       +0.50      2.767200E-01    1.822000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.650445E+02      9.612700E-02     0       +0.50      4.239300E-01    2.791000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.992923E+02      1.051460E-01     0       +0.50      3.802000E-03    2.500000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.263457E+02      1.122700E-01     0       +0.50      1.390100E-02    9.200000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.264067E+02      1.122860E-01     1       +1.50      7.400000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.359402E+02      1.147960E-01     0       +0.50      1.803000E-02    1.190000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.738848E+02      1.247880E-01     0       +0.50      4.584000E-03    3.000000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.744372E+02      1.249340E-01     1       +1.50      7.000000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.830280E+02      1.271960E-01     0       +0.50      1.087000E-01    7.160000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.913228E+02      1.293800E-01     0       +0.50      1.240000E-01    8.160000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.034120E+02      1.325630E-01     0       +0.50      1.593700E-01    1.049000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.037318E+02      1.326480E-01     1       +1.50      6.100000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.455620E+02      1.436630E-01     1       +0.50      6.700000E-05    0.000000E+00    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.609539E+02      1.477160E-01     1       +1.50      8.100000E-05    1.000000E-06    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.660867E+02      1.490680E-01     0       +0.50      5.739100E-02    3.780000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.917722E+02      1.558310E-01     0       +0.50      1.008900E-01    6.640000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.078887E+02      1.600750E-01     1       +1.50      7.100000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.116464E+02      1.610650E-01     0       +0.50      5.740600E-02    3.780000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.284952E+02      1.655020E-01     0       +0.50      1.859000E-03    1.200000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.444387E+02      1.697000E-01     0       +0.50      4.178100E-02    2.750000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.780889E+02      1.785610E-01     0       +0.50      2.780200E-02    1.830000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.906977E+02      1.818810E-01     0       +0.50      8.727100E-02    5.750000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.914680E+02      1.820840E-01     1       +0.50      8.000000E-05    1.000000E-06    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.074963E+02      1.863050E-01     1       +0.50      2.920000E-04    2.000000E-06    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.356000E+02      1.937060E-01     0       +0.50      2.410300E-01    1.587000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.391910E+02      1.946510E-01     1       +0.50      8.700000E-05    1.000000E-06    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.510129E+02      1.977640E-01     1       +1.50      6.700000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.625141E+02      2.007930E-01     1       +0.50      1.750000E-04    1.000000E-06    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.650784E+02      2.014680E-01     0       +0.50      8.166600E-02    5.380000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.776696E+02      2.047840E-01     1       +1.50      6.500000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.872357E+02      2.073030E-01     0       +0.50      3.264000E-03    2.100000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.895688E+02      2.079170E-01     1       +1.50      9.600000E-05    1.000000E-06    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.004810E+02      2.107910E-01     0       +0.50      8.006100E-02    5.270000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.283690E+02      2.181340E-01     1       +1.50      6.100000E-05    0.000000E+00    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.301406E+02      2.186010E-01     0       +0.50      4.440000E-04    3.000000E-06    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.513646E+02      2.241900E-01     0       +0.50      1.295500E-01    8.530000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.531015E+02      2.246470E-01     0       +0.50      5.893700E-02    3.880000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.648828E+02      2.277500E-01     1       +1.50      1.210000E-04    1.000000E-06    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.824783E+02      2.323830E-01     0       +0.50      2.301200E-01    1.515000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.900502E+02      2.343770E-01     0       +0.50      2.977900E-01    1.960000E-03    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.186998E+02      2.419210E-01     1       +1.50      2.580000E-04    2.000000E-06    7.977500E-02    3.989000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.407276E+02      2.477220E-01     0       +0.50      4.477800E-02    2.950000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.513696E+02      2.505240E-01     0       +0.50      1.802200E-02    1.190000E-04    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.562365E+02      2.518060E-01     1       +0.50      6.600000E-05    0.000000E+00    8.128900E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.769227E+02      2.572530E-01     0       +0.50      2.463000E-03    1.600000E-05    8.398100E-02    4.199000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
