# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 00:51:05 2025
#                        
# Element                            : Ru
# Z                                  : 44
# A                                  : 100
# I                                  : 0
# Abundancy                       [%]: 12.6
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.200000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 88
# Number of resonances (<Emax2)      : 88
# Thermal  (n,g) xs (calculated) [b.]: 5.789970E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.122020E+01  
# MACS 30 keV (calculated)       [b.]: 1.964700E-01
# Westcott factor (calculated)       : 1.000390E+00
#
# Thermal (n,el) xs (calculated) [b.]: 9.417520E+00 
# Res. Int (n,el) (calculated)   [b.]: 7.735380E+01 
#
# Scattering radius              [fm]: 6.30 
#
# Average Gtotal   l=0           [eV]: 3.579340E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.833480E-02 
# Average Gg       l=0           [eV]: 1.195830E-01 
# Average level spacing D0 (l=0) [eV]: 1.090910E+03 
# Neutron strength function S0 (l=0) : 3.833480E-05 
#
# Average Gtotal   l=1           [eV]: 5.822290E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.455150E-01 
# Average Gg       l=1           [eV]: 1.360400E-01 
# Average level spacing D1 (l=1) [eV]: 1.621620E+02 
# Neutron strength function S1 (l=1) : 1.340500E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.337000E+01      1.982100E-02     0       +0.50      9.920000E-01    5.264000E-03    1.130000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.000000E+01      2.123000E-03     0       +0.50      1.380000E-04    1.000000E-06    1.130000E-01    5.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.285000E+02      4.850600E-02     0       +0.50      2.700000E-02    1.430000E-04    1.750000E-01    8.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.679700E+03      5.688470E-01     1       +1.50      3.150000E-02    1.670000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.733700E+03      5.803100E-01     1       +1.50      6.500000E-02    3.450000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.745500E+03      5.828150E-01     1       +0.50      3.300000E-02    1.750000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.076000E+03      6.529730E-01     1       +1.50      1.250000E-01    6.630000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.294300E+03      6.993140E-01     1       +1.50      8.500000E-02    4.510000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.494700E+03      7.418550E-01     1       +0.50      1.900000E-02    1.010000E-04    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.541100E+03      7.517050E-01     1       +1.50      9.500000E-04    5.000000E-06    1.360000E-01    6.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
