# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 00:54:14 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 144
# I                                  : 0
# Abundancy                       [%]: 3.07
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.192500E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 75
# Number of resonances (<Emax2)      : 75
# Thermal  (n,g) xs (calculated) [b.]: 1.630040E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.785600E+00  
# MACS 30 keV (calculated)       [b.]: 8.880000E-02
# Westcott factor (calculated)       : 1.000310E+00
#
# Thermal (n,el) xs (calculated) [b.]: 2.742950E+00 
# Res. Int (n,el) (calculated)   [b.]: 7.054040E+01 
#
# Scattering radius              [fm]: 5.38 
#
# Average Gtotal   l=0           [eV]: 2.035750E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.406930E-01 
# Average Gg       l=0           [eV]: 7.378420E-02 
# Average level spacing D0 (l=0) [eV]: 6.625000E+02 
# Neutron strength function S0 (l=0) : 3.834940E-04 
#
# Average Gtotal   l=1           [eV]: 9.939710E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 7.859040E-02 
# Average Gg       l=1           [eV]: 6.183820E-02 
# Average level spacing D1 (l=1) [eV]: 2.208330E+02 
# Neutron strength function S1 (l=1) : 1.957240E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.850000E+01      2.179400E-02     0       +0.50      4.889000E-01    2.704000E-03    7.400000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.516000E+02      1.662990E-01     1       +0.50      4.100000E-03    2.300000E-05    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.023000E+03      2.263490E-01     1       +0.50      1.700000E-02    9.400000E-05    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.186900E+03      2.626140E-01     1       +1.50      4.150000E-02    2.300000E-04    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.262500E+03      2.793410E-01     1       +1.50      5.000000E-06    0.000000E+00    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.602500E+03      3.545690E-01     0       +0.50      1.200000E-02    6.600000E-05    7.400000E-02    3.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.621900E+03      3.588620E-01     0       +0.50      8.240000E-01    4.558000E-03    6.590000E-02    3.295000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.693000E+03      3.745930E-01     0       +0.50      6.693000E+00    3.702300E-02    6.280000E-02    3.140000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.895100E+03      4.193100E-01     1       +0.50      1.600000E-02    8.900000E-05    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.982300E+03      4.386040E-01     1       +1.50      5.300000E-02    2.930000E-04    6.460000E-02    3.230000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.071100E+03      4.582520E-01     1       +1.50      3.900000E-03    2.200000E-05    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.279100E+03      5.042740E-01     1       +0.50      4.800000E-02    2.660000E-04    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.584600E+03      5.718690E-01     0       +0.50      6.510000E+00    3.601000E-02    5.930000E-02    2.965000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.824700E+03      6.249930E-01     1       +1.50      1.500000E-05    0.000000E+00    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.043100E+03      6.733160E-01     0       +0.50      1.136000E+01    6.283800E-02    1.043000E-01    5.215000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
