# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 00:53:52 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 122
# I                                  : 0
# Abundancy                       [%]: 4.63
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.000000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 354
# Number of resonances (<Emax2)      : 354
# Thermal  (n,g) xs (calculated) [b.]: 1.460900E-01 
# Res. Int (n,g) (calculated)    [b.]: 6.468890E-01  
# MACS 30 keV (calculated)       [b.]: 1.518400E-02
# Westcott factor (calculated)       : 1.000190E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.336550E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.778850E+01 
#
# Scattering radius              [fm]: 6.01 
#
# Average Gtotal   l=0           [eV]: 1.854060E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.734050E-02 
# Average Gg       l=0           [eV]: 3.400000E-02 
# Average level spacing D0 (l=0) [eV]: 4.545450E+03 
# Neutron strength function S0 (l=0) : 1.280600E-05 
#
# Average Gtotal   l=1           [eV]: 4.247940E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.618080E-01 
# Average Gg       l=1           [eV]: 7.018870E-02 
# Average level spacing D1 (l=1) [eV]: 1.052630E+03 
# Neutron strength function S1 (l=1) : 2.567940E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.500000E+01      1.725600E-02     0       +0.50      3.410300E-02    2.260000E-04    3.400000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.068000E+02      2.835300E-02     1       +1.50      3.850000E-04    3.000000E-06    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.596000E+02      6.891900E-02     1       +0.50      1.750000E-03    1.200000E-05    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.751200E+03      4.649090E-01     0       +0.50      3.400000E+00    2.256600E-02    3.400000E-02    1.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.452900E+03      9.166760E-01     1       +1.50      1.150000E-01    7.630000E-04    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.896700E+03      1.034496E+00     1       +1.50      9.500000E-02    6.310000E-04    3.400000E-02    1.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.838100E+03      1.284419E+00     1       +1.50      1.850000E-01    1.228000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.688300E+03      1.510130E+00     1       +1.50      1.550000E-01    1.029000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.817200E+03      1.809830E+00     0       +0.50      1.854000E+01    1.230490E-01    3.400000E-02    1.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.921800E+03      1.837600E+00     1       +1.50      2.250000E-01    1.493000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.973700E+03      2.116858E+00     1       +1.50      1.450000E-01    9.620000E-04    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.446500E+03      2.507857E+00     1       +1.50      4.300000E-01    2.854000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.182400E+04      3.139035E+00     1       +1.50      9.450000E-01    6.272000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.323400E+04      3.513362E+00     1       +1.50      9.200000E-01    6.106000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.381900E+04      3.668668E+00     1       +1.50      9.050000E-01    6.006000E-03    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
