# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 00:51:47 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 180
# I                                  : 1
# Abundancy                       [%]: 0.012
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.030000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 61
# Number of resonances (<Emax2)      : 61
# Thermal  (n,g) xs (calculated) [b.]: 5.624330E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.457450E+03 
# MACS 30 keV (calculated)       [b.]: 3.163400E+00
# Westcott factor (calculated)       : 1.334920E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.849890E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.882270E+01 
#
# Scattering radius              [fm]: 7.61 
#
# Average Gtotal   l=0           [eV]: 5.445540E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.292080E-04 
# Average Gg       l=0           [eV]: 5.039350E-02 
# Average level spacing D0 (l=0) [eV]: 1.716670E+00 
# Neutron strength function S0 (l=0) : 1.765130E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.000000E-01      5.600000E-05     0       +8.50      5.100000E-05    0.000000E+00    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.350000E-01      1.220000E-04     0       +8.50      1.870000E-04    1.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.061000E+00      5.770000E-04     0       +8.50      8.970000E-04    6.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.203000E+00      6.160000E-04     0       +8.50      2.640000E-04    2.000000E-06    5.500000E-02    2.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.952000E+00      1.106000E-03     0       +8.50      8.130000E-04    6.000000E-06    4.400000E-02    2.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.663000E+00      1.584000E-03     0       +8.50      3.270000E-04    2.000000E-06    4.200000E-02    2.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.934000E+00      1.660000E-03     0       +8.50      3.884000E-03    2.700000E-05    5.200000E-02    2.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.647000E+00      1.859000E-03     0       +8.50      2.850000E-04    2.000000E-06    4.100000E-02    2.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.856000E+00      2.198000E-03     0       +8.50      1.151000E-03    8.000000E-06    4.900000E-02    2.450000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.096000E+01      3.066000E-03     0       +8.50      2.740000E-04    2.000000E-06    3.800000E-02    1.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.192000E+01      3.335000E-03     0       +8.50      2.882000E-03    2.000000E-05    5.800000E-02    2.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.398000E+01      3.911000E-03     0       +8.50      1.309000E-03    9.000000E-06    3.200000E-02    1.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.430000E+01      4.000000E-03     0       +8.50      1.678000E-03    1.200000E-05    6.700000E-02    3.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.694000E+01      4.739000E-03     0       +8.50      2.692000E-03    1.900000E-05    4.200000E-02    2.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.819000E+01      5.088000E-03     0       +8.50      9.078000E-03    6.300000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.909000E+01      5.340000E-03     0       +8.50      4.433000E-03    3.100000E-05    5.500000E-02    2.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.116000E+01      5.919000E-03     0       +8.50      2.956000E-03    2.100000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.314000E+01      6.473000E-03     0       +8.50      5.590000E-04    4.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.350000E+01      6.574000E-03     0       +8.50      1.573000E-03    1.100000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.455000E+01      6.868000E-03     0       +8.50      5.806000E-03    4.100000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.494000E+01      6.977000E-03     0       +8.50      1.478000E-03    1.000000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.751000E+01      7.696000E-03     0       +8.50      6.017000E-03    4.200000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.066000E+01      8.577000E-03     0       +8.50      9.500000E-04    7.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.204000E+01      8.963000E-03     0       +8.50      4.011000E-03    2.800000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.340000E+01      9.343000E-03     0       +8.50      1.794000E-03    1.300000E-05    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.460000E+01      9.679000E-03     0       +8.50      8.440000E-04    6.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.710000E+01      1.037800E-02     0       +8.50      6.330000E-04    4.000000E-06    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
