# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 16:39:06 2025
#                        
# Element                            : Te
# Z                                  : 52
# A                                  : 130
# I                                  : 0
# Abundancy                       [%]: 34.08
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.100000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 23
# Number of resonances (<Emax2)      : 23
# Thermal  (n,g) xs (calculated) [b.]: 1.951780E-01 
# Res. Int (n,g) (calculated)    [b.]: 2.614040E-01  
# MACS 30 keV (calculated)       [b.]: 1.548800E-02
# Westcott factor (calculated)       : 1.000460E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.587760E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.634700E+01 
#
# Scattering radius              [fm]: 5.40 
#
# Average Gtotal   l=0           [eV]: 1.538500E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.051240E-01 
# Average Gg       l=0           [eV]: 3.500000E-02 
# Average level spacing D0 (l=0) [eV]: 3.100000E+04 
# Neutron strength function S0 (l=0) : 6.782200E-06 
#
# Average Gtotal   l=1           [eV]: 1.592390E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 4.590180E-01 
# Average Gg       l=1           [eV]: 8.040000E-02 
# Average level spacing D1 (l=1) [eV]: 1.631580E+03 
# Neutron strength function S1 (l=1) : 1.300870E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.490000E+02      7.470000E-02     0       +0.50      1.148000E+00    8.610000E-03    4.000000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.140500E+03      3.421500E-01     1       +0.50      9.500000E-03    7.100000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.713000E+03      5.139000E-01     1       +1.50      2.125000E-02    1.590000E-04    6.400000E-02    3.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.235000E+03      6.705000E-01     1       +1.50      4.000000E-03    3.000000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.200000E+03      9.600000E-01     1       +0.50      5.100000E-02    3.830000E-04    7.400000E-02    3.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.444000E+03      1.333200E+00     1       +0.50      3.475000E-01    2.606000E-03    5.000000E-02    2.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.555000E+03      1.666500E+00     1       +1.50      1.175000E-01    8.810000E-04    8.000000E-02    4.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.785000E+03      1.735500E+00     1       +1.50      6.000000E-03    4.500000E-05    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.015000E+03      2.104500E+00     1       +1.50      7.790000E-01    5.842000E-03    8.000000E-02    4.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.047000E+03      2.414100E+00     1       +1.50      4.540000E-01    3.405000E-03    8.400000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
