# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:23:58 2025
#                        
# Element                            : W
# Z                                  : 74
# A                                  : 181
# I                                  : 0
# Half-life                   [days ]: 120.949 
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.552450E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 199
# Number of resonances (<Emax2)      : 200
# Thermal  (n,g) xs (calculated) [b.]: 5.684760E+01 
# Ress Int. (n,g) (systematics)  [b.]: 7.724930E+02 
# MACS 30 keV (calculated)       [b.]: 3.157600E+00
# Westcott factor (calculated)       : 9.847900E-01
#
# Thermal (n,el) xs (calculated) [b.]: 6.244750E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.608110E+01 
#
# Scattering radius              [fm]: 7.62 
#
# Average Gtotal   l=0           [eV]: 6.442960E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.067280E-04 
# Average Gg       l=0           [eV]: 6.357310E-02 
# Average level spacing D0 (l=0) [eV]: 8.624720E-01 
# Neutron strength function S0 (l=0) : 6.239330E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.166300E+00      1.657000E-03     1       +4.00      0.000000E+00    1.640000E-04    6.506500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.991808E+00      1.341000E-03     1       +3.00      0.000000E+00    0.000000E+00    6.783500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.678301E+00      1.257000E-03     1       +4.00      0.000000E+00    0.000000E+00    6.506500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.999804E+00      1.075000E-03     1       +3.00      0.000000E+00    0.000000E+00    6.783500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.560442E+00      9.570000E-04     1       +6.00      0.000000E+00    0.000000E+00    5.998200E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.399668E+00      9.130000E-04     1       +5.00      0.000000E+00    0.000000E+00    6.274900E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.282557E+00      8.820000E-04     1       +4.00      0.000000E+00    0.000000E+00    6.506500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.236124E+00      8.690000E-04     0       +5.00      2.300000E-05    0.000000E+00    6.240100E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.123461E+00      8.390000E-04     1       +5.00      0.000000E+00    0.000000E+00    6.274900E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.807802E+00      7.540000E-04     0       +4.00      5.840000E-04    0.000000E+00    6.483700E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.160288E+00      5.800000E-04     1       +6.00      0.000000E+00    0.000000E+00    5.998200E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.107165E+00      5.660000E-04     1       +3.00      0.000000E+00    0.000000E+00    6.783500E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.670046E+00      4.490000E-04     0       +4.00      1.410000E-04    0.000000E+00    6.483700E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.404627E+00      3.770000E-04     0       +5.00      1.000000E-05    0.000000E+00    6.240100E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.082644E+00      2.910000E-04     1       +6.00      0.000000E+00    0.000000E+00    5.998200E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.011298E-01      1.610000E-04     0       +5.00      5.100000E-05    0.000000E+00    6.240100E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.448950E-01      1.200000E-04     1       +5.00      0.000000E+00    0.000000E+00    6.274900E-02    6.356700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.257117E-01      3.400000E-05     0       +4.00      0.000000E+00    0.000000E+00    6.483700E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.001603E+00      5.380000E-04     0       +5.00      3.520000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.789765E+00      7.490000E-04     0       +5.00      1.420000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.382278E+00      9.090000E-04     0       +4.00      5.400000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.854403E+00      1.036000E-03     0       +5.00      6.570000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.259324E+00      1.144000E-03     0       +4.00      4.700000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.103568E+00      1.371000E-03     0       +4.00      3.900000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.078474E+00      1.633000E-03     0       +5.00      1.946000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.360921E+00      1.709000E-03     0       +5.00      2.630000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.376558E+00      1.982000E-03     0       +4.00      7.300000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.349375E+00      2.512000E-03     0       +5.00      2.220000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.014452E+01      2.725000E-03     0       +4.00      2.900000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.157366E+01      3.109000E-03     0       +4.00      4.600000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.193132E+01      3.205000E-03     0       +5.00      7.940000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.349719E+01      3.626000E-03     0       +4.00      1.692000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.392744E+01      3.742000E-03     0       +5.00      4.870000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.469341E+01      3.948000E-03     0       +4.00      1.000000E-06    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.548632E+01      4.161000E-03     0       +4.00      2.400000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.569615E+01      4.217000E-03     0       +5.00      2.380000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.610003E+01      4.325000E-03     0       +5.00      1.750000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.881736E+01      5.055000E-03     0       +4.00      8.100000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.900213E+01      5.105000E-03     0       +5.00      1.730000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.987773E+01      5.340000E-03     0       +4.00      0.000000E+00    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.094962E+01      5.628000E-03     0       +5.00      7.590000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.112239E+01      5.675000E-03     0       +4.00      1.700000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.388680E+01      6.417000E-03     0       +5.00      8.000000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.450825E+01      6.584000E-03     0       +4.00      1.238000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.527859E+01      6.791000E-03     0       +5.00      6.000000E-06    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.540015E+01      6.824000E-03     0       +4.00      5.860000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.648037E+01      7.114000E-03     0       +5.00      2.346000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.698490E+01      7.250000E-03     0       +5.00      2.350000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.734625E+01      7.347000E-03     0       +4.00      3.610000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.767245E+01      7.434000E-03     0       +5.00      4.000000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.811832E+01      7.554000E-03     0       +4.00      5.000000E-06    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.204953E+01      8.610000E-03     0       +5.00      1.200000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.244441E+01      8.717000E-03     0       +5.00      1.896000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.254486E+01      8.744000E-03     0       +4.00      1.300000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.320946E+01      8.922000E-03     0       +4.00      1.060000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.490579E+01      9.378000E-03     0       +5.00      2.000000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.547752E+01      9.531000E-03     0       +5.00      6.010000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.729077E+01      1.001900E-02     0       +4.00      3.189000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.733312E+01      1.003000E-02     0       +5.00      9.340000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.749866E+01      1.007400E-02     0       +5.00      3.380000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.798951E+01      1.020600E-02     0       +4.00      2.219000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.920426E+01      1.053300E-02     0       +4.00      1.540000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.069032E+01      1.093200E-02     0       +4.00      6.400000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.311565E+01      1.158300E-02     0       +5.00      1.000000E-06    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.360221E+01      1.171400E-02     0       +5.00      0.000000E+00    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.431990E+01      1.190700E-02     0       +4.00      5.660000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.530798E+01      1.217200E-02     0       +5.00      4.500000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.582327E+01      1.231100E-02     0       +5.00      7.400000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.603269E+01      1.236700E-02     0       +4.00      2.410000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.677949E+01      1.256800E-02     0       +4.00      2.700000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.892184E+01      1.314300E-02     0       +4.00      4.540000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.902202E+01      1.317000E-02     0       +5.00      1.200000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.047644E+01      1.356100E-02     0       +5.00      1.189000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.082376E+01      1.365400E-02     0       +4.00      4.090000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.146597E+01      1.382700E-02     0       +4.00      3.050000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.261131E+01      1.413500E-02     0       +5.00      1.520000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.325652E+01      1.430800E-02     0       +4.00      6.534000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.347511E+01      1.436700E-02     0       +5.00      6.570000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.465752E+01      1.468400E-02     0       +5.00      2.220000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.616555E+01      1.508900E-02     0       +4.00      9.300000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.677090E+01      1.525200E-02     0       +4.00      7.620000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.840979E+01      1.569200E-02     0       +4.00      1.200000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.850574E+01      1.571800E-02     0       +5.00      3.800000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.993901E+01      1.610300E-02     0       +5.00      4.100000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.027137E+01      1.619300E-02     0       +4.00      2.248000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.124370E+01      1.645400E-02     0       +5.00      2.076000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.227837E+01      1.673200E-02     0       +5.00      1.441000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.297260E+01      1.691800E-02     0       +5.00      3.899000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.403777E+01      1.720400E-02     0       +4.00      5.200000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.627312E+01      1.780500E-02     0       +4.00      1.164000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.734742E+01      1.809400E-02     0       +5.00      2.460000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.783387E+01      1.822400E-02     0       +4.00      3.200000E-05    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.863412E+01      1.843900E-02     0       +4.00      6.230000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.909322E+01      1.856300E-02     0       +5.00      5.000000E-06    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.027331E+01      1.888000E-02     0       +5.00      1.012000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.058157E+01      1.896200E-02     0       +4.00      7.490000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.098200E+01      1.907000E-02     0       +5.00      1.009000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.305022E+01      1.962600E-02     0       +5.00      1.843000E-03    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.305082E+01      1.962600E-02     0       +4.00      1.464000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.351758E+01      1.975100E-02     0       +5.00      1.920000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.481803E+01      2.010100E-02     0       +4.00      4.290000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.600075E+01      2.041800E-02     0       +4.00      1.805000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.673876E+01      2.061700E-02     0       +5.00      4.460000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.814922E+01      2.099600E-02     0       +5.00      3.200000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.856108E+01      2.110600E-02     0       +4.00      1.180000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.124931E+01      2.182800E-02     0       +5.00      5.000000E-06    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.210439E+01      2.205800E-02     0       +4.00      2.800000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.292070E+01      2.227700E-02     0       +5.00      2.360000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.361650E+01      2.246400E-02     0       +4.00      1.334000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.427354E+01      2.264100E-02     0       +5.00      2.300000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.527431E+01      2.291000E-02     0       +4.00      5.000000E-04    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.565656E+01      2.301200E-02     0       +5.00      9.900000E-05    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.642606E+01      2.321900E-02     0       +4.00      2.670000E-04    0.000000E+00    6.484000E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.649561E+01      2.323800E-02     0       +4.00      1.796000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.765408E+01      2.354900E-02     0       +5.00      1.210000E-04    0.000000E+00    6.240100E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.808241E+01      2.366400E-02     0       +4.00      3.273000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.810458E+01      2.367000E-02     0       +5.00      1.140000E-04    0.000000E+00    6.240400E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.874284E+01      2.384200E-02     0       +5.00      6.209000E-03    0.000000E+00    6.240400E-02    3.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.879733E+01      2.385600E-02     0       +4.00      1.000000E-06    0.000000E+00    6.484000E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.922016E+01      2.397000E-02     0       +4.00      1.027000E-03    0.000000E+00    6.483700E-02    3.242000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
