# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 11:24:36 2025
#                        
# Element                            : Xe
# Z                                  : 54
# A                                  : 130
# I                                  : 0
# Abundancy                       [%]: 4.071
# Data origin                        : endfb8.1
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.000000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 19
# Thermal  (n,g) xs (calculated) [b.]: 4.777180E+00 
# Res. Int (n,g) (calculated)    [b.]: 4.917960E+00  
# MACS 30 keV (calculated)       [b.]: 1.814400E-01
# Westcott factor (calculated)       : 9.985000E-01
#
# Thermal (n,el) xs (calculated) [b.]: 6.238020E+00 
# Res. Int (n,el) (calculated)   [b.]: 7.328940E+01 
#
# Scattering radius              [fm]: 7.03 
#
# Average Gtotal   l=0           [eV]: 1.135280E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.218580E-02 
# Average Gg       l=0           [eV]: 6.166670E-02 
# Average level spacing D0 (l=0) [eV]: 2.352940E+02 
# Neutron strength function S0 (l=0) : 9.983600E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.200000E+01      2.994000E-03     0       +0.50      9.490000E-03    5.900000E-05    6.000000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.301900E+02      1.073450E-01     0       +0.50      1.700000E-01    1.061000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.406000E+02      1.598490E-01     0       +0.50      8.500000E-01    5.303000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.034800E+02      1.755390E-01     0       +0.50      5.100000E-02    3.180000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.410000E+02      2.348080E-01     0       +0.50      5.000000E-02    3.120000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.113700E+03      2.779020E-01     0       +0.50      8.500000E-02    5.300000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.372900E+03      3.425800E-01     0       +0.50      4.900000E-02    3.060000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.399800E+03      3.492920E-01     0       +0.50      1.100000E-01    6.860000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.484100E+03      3.703270E-01     0       +0.50      2.300000E+00    1.434800E-02    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.765000E+03      4.404200E-01     0       +0.50      1.800000E-01    1.123000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.431500E+03      6.067320E-01     0       +0.50      2.100000E+00    1.310000E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.542600E+03      6.344550E-01     0       +0.50      4.800000E-01    2.994000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.578000E+03      6.432880E-01     0       +0.50      5.200000E-01    3.244000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.617500E+03      6.531450E-01     0       +0.50      4.300000E-01    2.682000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.644900E+03      6.599820E-01     0       +0.50      1.700000E+00    1.060500E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.980400E+03      7.436990E-01     0       +0.50      2.300000E+00    1.434800E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.003200E+03      7.493890E-01     0       +0.50      2.100000E+00    1.310000E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.257300E+03      8.127940E-01     0       +0.50      1.250000E+00    7.798000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.563900E+03      8.893000E-01     0       +0.50      4.600000E+00    2.869600E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
