# header: 
#   title: I127 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-09-14
# target: 
#   Z: 53
#   A: 127
#   nuclide: I127
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  1.360000E-01
#   selected value uncertainty [eV]:  4.000000E-03
#   selected value source: Mughabghab-2018
#   number of values: 9
#   average value [b]:  1.146667E+07
#   relative standard deviation [%]:    282.842682
#   quantity: 
#     type: Compilation
#     average value:  1.360000E-01
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Mughabghab-2018         Compilation          2018        1.360000E-01   4.000000E-03                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  5.160000E+07
#     relative standard deviation [%]:    100.000000
#   datablock: 
#     columns: 8
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      G.Noguere               EXFOR                2006        1.032000E+08   0.000000E+00      22948-011***************
      G.Noguere               EXFOR                2006        0.000000E+00   0.000000E+00      22948-005       0.000000
#   quantity: 
#     type: Nuclear data library
#     average value:  1.089197E-01
#     relative standard deviation [%]:     15.501604
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        8.324000E-02   0.000000E+00                      0.612059
      jendl5.0                NDL                  2021        9.993310E-02   0.000000E+00                      0.734802
      endfb8.1                NDL                  2024        1.400000E-01   0.000000E+00                      1.029412
      TARES                   NDL                  2025        1.101150E-01   0.000000E+00                      0.809669
      tendl.2025              NDL                  2025        1.101150E-01   0.000000E+00                      0.809669
      jeff4.0                 NDL                  2025        1.101150E-01   0.000000E+00                      0.809669
