# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:05:23 2025
#                        
# Element                            : As
# Z                                  : 33
# A                                  : 73
# I                                  : 0
# Half-life                   [days ]: 80.3009 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.920843E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 42
# Number of resonances (<Emax2)      : 42
# Thermal  (n,g) xs (calculated) [b.]: 1.609580E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.456800E+01 
# MACS 30 keV (calculated)       [b.]: 4.997800E-01
# Westcott factor (calculated)       : 9.939800E-01
#
# Thermal (n,el) xs (calculated) [b.]: 7.287300E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.140540E+01 
#
# Scattering radius              [fm]: 7.45 
#
# Average Gtotal   l=0           [eV]: 1.719530E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.733330E-04 
# Average Gg       l=0           [eV]: 1.689850E-01 
# Average level spacing D0 (l=0) [eV]: 3.841690E+01 
# Neutron strength function S0 (l=0) : 3.988550E-06 
#
# Average Gtotal   l=1           [eV]: 1.638630E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.521960E-04 
# Average Gg       l=1           [eV]: 1.638620E-01 
# Average level spacing D1 (l=1) [eV]: 2.744060E+01 
# Neutron strength function S1 (l=1) : 1.306460E-06 
#
# Average Gtotal   l=2           [eV]: 1.593970E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.386690E-03 
# Average Gg       l=2           [eV]: 1.593970E-01 
# Average level spacing D2 (l=2) [eV]: 2.744060E+01 
# Neutron strength function S2 (l=2) : 3.322050E-06 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.805001E+02      3.720600E-02     0       +2.00      1.439000E-03    7.000000E-06    1.645300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.719723E+02      3.544900E-02     2       +1.00      0.000000E+00    0.000000E+00    1.734400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.684819E+02      3.472900E-02     0       +1.00      3.362000E-03    1.700000E-05    1.734400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.585771E+02      3.268700E-02     1       +3.00      1.000000E-06    0.000000E+00    1.536400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.545866E+02      3.186500E-02     1       +2.00      0.000000E+00    0.000000E+00    1.664200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.331463E+02      2.744500E-02     1       +1.00      1.000000E-06    0.000000E+00    1.753600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.306570E+02      2.693200E-02     2       +2.00      0.000000E+00    0.000000E+00    1.645300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.149637E+02      2.369700E-02     0       +1.00      3.250000E-04    2.000000E-06    1.734400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.785297E+01      2.017000E-02     2       +3.00      0.000000E+00    0.000000E+00    1.516100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.529071E+01      1.964200E-02     1       +3.00      0.000000E+00    0.000000E+00    1.536400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.045954E+01      1.864600E-02     1       +1.00      0.000000E+00    0.000000E+00    1.753600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -8.276994E+01      1.706100E-02     2       +3.00      0.000000E+00    0.000000E+00    1.516100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -7.910131E+01      1.630500E-02     0       +2.00      3.990000E-03    2.100000E-05    1.645300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.559446E+01      1.146000E-02     2       +2.00      0.000000E+00    0.000000E+00    1.645300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.309558E+01      1.094500E-02     0       +2.00      3.560000E-04    2.000000E-06    1.645300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.246087E+01      8.752000E-03     1       +2.00      0.000000E+00    0.000000E+00    1.664200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.642266E+01      5.447000E-03     1       +3.00      0.000000E+00    0.000000E+00    1.536400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.420231E+01      4.989000E-03     1       +2.00      0.000000E+00    0.000000E+00    1.664200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.446953E+01      2.983000E-03     1       +0.00      0.000000E+00    0.000000E+00    1.806700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.575602E+00      7.370000E-04     0       +1.00      1.411000E-03    7.000000E-06    1.734400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.515980E+01      3.125000E-03     0       +2.00      4.170000E-04    2.000000E-06    1.645300E-01    8.226000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.717806E+01      5.602000E-03     0       +1.00      1.351000E-03    7.000000E-06    1.734400E-01    8.672000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.708281E+01      7.644000E-03     1       +3.00      0.000000E+00    0.000000E+00    1.536400E-01    7.682000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.107332E+01      8.466000E-03     1       +2.00      0.000000E+00    0.000000E+00    1.664200E-01    8.321000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.251356E+01      1.288600E-02     1       +1.00      0.000000E+00    0.000000E+00    1.753600E-01    8.768000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.069624E+01      1.663400E-02     0       +1.00      2.720000E-04    1.000000E-06    1.734400E-01    8.672000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.780694E+01      2.016100E-02     2       +3.00      0.000000E+00    0.000000E+00    1.516100E-01    7.581000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.003692E+02      2.068900E-02     1       +3.00      0.000000E+00    0.000000E+00    1.536400E-01    7.682000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.052004E+02      2.168500E-02     1       +1.00      0.000000E+00    0.000000E+00    1.753600E-01    8.768000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.128900E+02      2.327000E-02     2       +3.00      0.000000E+00    0.000000E+00    1.516100E-01    7.581000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.165586E+02      2.402600E-02     0       +2.00      4.844000E-03    2.500000E-05    1.645300E-01    8.226000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.400654E+02      2.887200E-02     2       +2.00      0.000000E+00    0.000000E+00    1.645300E-01    8.226000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.425643E+02      2.938700E-02     0       +2.00      5.830000E-04    3.000000E-06    1.645300E-01    8.226000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.524550E+02      3.142600E-02     2       +3.00      0.000000E+00    0.000000E+00    1.516100E-01    7.581000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.530690E+02      3.155200E-02     2       +4.00      0.000000E+00    0.000000E+00    1.372300E-01    6.861000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.531990E+02      3.157900E-02     1       +2.00      1.000000E-06    0.000000E+00    1.664200E-01    8.321000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.692372E+02      3.488500E-02     1       +3.00      0.000000E+00    0.000000E+00    1.536400E-01    7.682000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.714576E+02      3.534300E-02     1       +2.00      2.000000E-06    0.000000E+00    1.664200E-01    8.321000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.734701E+02      3.575700E-02     2       +1.00      0.000000E+00    0.000000E+00    1.734400E-01    8.672000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.807569E+02      3.725900E-02     2       +0.00      0.000000E+00    0.000000E+00    1.806200E-01    9.031000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
