# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:05:28 2025
#                        
# Element                            : Ce
# Z                                  : 58
# A                                  : 138
# I                                  : 0
# Abundancy                       [%]: 0.251
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.128425E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 44
# Number of resonances (<Emax2)      : 47
# Thermal  (n,g) xs (calculated) [b.]: 1.030240E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.736280E+01  
# MACS 30 keV (calculated)       [b.]: 2.207500E-01
# Westcott factor (calculated)       : 1.000450E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.485270E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.779100E+01 
#
# Scattering radius              [fm]: 4.22 
#
# Average Gtotal   l=0           [eV]: 4.946450E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.018720E-02 
# Average Gg       l=0           [eV]: 8.977260E-02 
# Average level spacing D0 (l=0) [eV]: 1.880710E+02 
# Neutron strength function S0 (l=0) : 1.252280E-04 
#
# Average Gtotal   l=1           [eV]: 9.694250E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.750800E-02 
# Average Gg       l=1           [eV]: 9.679650E-02 
# Average level spacing D1 (l=1) [eV]: 7.522830E+01 
# Neutron strength function S1 (l=1) : 1.203220E-04 
#
# Average Gtotal   l=2           [eV]: 8.227870E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 5.464940E-02 
# Average Gg       l=2           [eV]: 8.227860E-02 
# Average level spacing D2 (l=2) [eV]: 5.939080E+01 
# Neutron strength function S2 (l=2) : 5.135440E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.200000E+01      1.714000E-02     0       +0.50      4.927200E-02    2.930000E-04    1.030000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.400000E+02      3.332700E-02     0       +0.50      5.097500E-02    3.030000E-04    1.030000E-01    5.150000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.084658E+02      4.962500E-02     1       +0.50      2.600000E-05    0.000000E+00    1.030500E-01    5.153000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.162244E+02      5.147200E-02     1       +1.50      7.500000E-05    0.000000E+00    9.395400E-02    4.698000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.229314E+02      5.306900E-02     1       +1.50      3.000000E-06    0.000000E+00    9.395400E-02    4.698000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.531412E+02      6.026000E-02     2       +1.50      0.000000E+00    0.000000E+00    8.412400E-02    4.206000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.700248E+02      6.427900E-02     0       +0.50      1.282900E+00    7.635000E-03    8.756800E-02    4.378000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.812328E+02      6.694700E-02     1       +0.50      1.830000E-04    1.000000E-06    1.030500E-01    5.153000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.074088E+02      7.317900E-02     2       +2.50      0.000000E+00    0.000000E+00    8.128500E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.344461E+02      7.961500E-02     1       +1.50      2.290000E-04    1.000000E-06    9.395400E-02    4.698000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.611440E+02      8.597000E-02     2       +2.50      0.000000E+00    0.000000E+00    8.128500E-02    4.064000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
