# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:07:10 2025
#                        
# Element                            : Fe
# Z                                  : 26
# A                                  : 56
# I                                  : 0
# Abundancy                       [%]: 91.754
# Data origin                        : jeff4.0
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.500000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 313
# Number of resonances (<Emax2)      : 320
# Thermal  (n,g) xs (calculated) [b.]: 2.537410E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.085670E+01  
# MACS 30 keV (calculated)       [b.]: 4.325100E-02
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.209820E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.267340E+02 
#
# Scattering radius              [fm]: 5.44 
# Scattering radius L= 0         [fm]: 5.44 +/- 5.00 %
# Scattering radius L= 1         [fm]: 5.44 +/- 5.00 %
# Scattering radius L= 2         [fm]: 5.44 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 5.864060E+00 
# Average Gg       l=0           [eV]: 6.719250E+00 
# Average level spacing D0 (l=0) [eV]: 2.656250E+04 
# Neutron strength function S0 (l=0) : 2.276640E-04 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 4.413060E-01 
# Average Gg       l=1           [eV]: 4.882040E+00 
# Average level spacing D1 (l=1) [eV]: 5.821920E+03 
# Neutron strength function S1 (l=1) : 4.180240E-05 
#
# Average reduced (Gn^2) Gn l=2  [eV]: 3.440160E+00 
# Average Gg       l=2           [eV]: 6.391940E+00 
# Average level spacing D2 (l=2) [eV]: 6.589150E+03 
# Neutron strength function S2 (l=2) : 2.666040E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.730000E+05      9.606157E+01     0       +0.50      3.080000E+05    1.563812E+03    9.600000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.400000E+04      4.874160E+00     0       +0.50      2.710000E+03    1.375951E+01    9.600000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.440000E+03      4.955400E-01     0       +0.50      1.930000E+02    9.799210E-01    8.600000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.151000E+03      2.337570E-01     1       +0.50      6.170000E-02    3.130000E-04    5.727800E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.350000E+03      4.772620E-01     2       +1.50      2.200000E-04    1.000000E-06    7.200000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.245000E+04      2.528471E+00     1       +0.50      2.500000E-03    1.300000E-05    4.900000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.775000E+04      3.604847E+00     1       +0.50      1.500000E-02    7.600000E-05    4.900000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.017000E+04      4.096325E+00     2       +1.50      4.320000E-03    2.200000E-05    7.200000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.280100E+04      4.630655E+00     1       +0.50      2.140000E-01    1.087000E-03    9.721200E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.779100E+04      5.644074E+00     0       +0.50      1.409300E+03    7.155453E+00    1.000500E+00    5.002500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.423400E+04      6.952583E+00     1       +1.50      3.500000E-01    1.777000E-03    1.606500E+00    8.032500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
