# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:42:21 2025
#                        
# Element                            : Ga
# Z                                  : 31
# A                                  : 69
# I                                  : 0
# Abundancy                       [%]: 60.108
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.846000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 28
# Number of resonances (<Emax2)      : 35
# Thermal  (n,g) xs (calculated) [b.]: 1.918960E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.837880E+01  
# MACS 30 keV (calculated)       [b.]: 1.390400E-01
# Westcott factor (calculated)       : 1.000590E+00
#
# Thermal (n,el) xs (calculated) [b.]: 7.225990E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.833380E+01 
#
# Scattering radius              [fm]: 6.56 
#
# Average Gtotal   l=0           [eV]: 9.328310E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.538600E-01 
# Average Gg       l=0           [eV]: 2.660000E-01 
# Average level spacing D0 (l=0) [eV]: 4.038330E+02 
# Neutron strength function S0 (l=0) : 1.853760E-04 
#
# Average Gtotal   l=1           [eV]: 3.072580E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.573040E-01 
# Average Gg       l=1           [eV]: 2.660000E-01 
# Average level spacing D1 (l=1) [eV]: 4.038330E+02 
# Neutron strength function S1 (l=1) : 7.586260E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.100000E+02      1.678160E-01     0       +1.00      3.207700E+01    1.661430E-01    2.660000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.870000E+02      1.216150E-01     0       +2.00      6.246000E+00    3.235100E-02    2.660000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.108000E+02      2.295600E-02     0       +2.00      6.396900E-02    3.310000E-04    3.100000E-01    1.550000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.338000E+02      6.915700E-02     0       +2.00      1.943100E-01    1.006000E-03    2.100000E-01    1.050000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.727000E+02      9.793400E-02     0       +1.00      2.084200E-01    1.080000E-03    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.320000E+02      1.102200E-01     1       +1.00      6.734000E-03    3.500000E-05    2.660000E-01    1.330000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.110000E+02      1.265870E-01     1       +3.00      3.573000E-03    1.900000E-05    2.660000E-01    1.330000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.910000E+02      1.431610E-01     0       +2.00      1.519900E+00    7.872000E-03    2.700000E-01    1.350000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.410000E+02      1.949560E-01     1       +3.00      3.573000E-03    1.900000E-05    2.660000E-01    1.330000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.252000E+03      2.593890E-01     1       +1.00      1.122300E-02    5.800000E-05    2.660000E-01    1.330000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
