# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:08:42 2025
#                        
# Element                            : Gd
# Z                                  : 64
# A                                  : 160
# I                                  : 0
# Abundancy                       [%]: 21.86
# Data origin                        : jeff4.0
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.663000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 51
# Number of resonances (<Emax2)      : 52
# Thermal  (n,g) xs (calculated) [b.]: 1.264840E+02 
# Res. Int (n,g) (calculated)    [b.]: 7.887910E+01  
# MACS 30 keV (calculated)       [b.]: 4.244700E-01
# Westcott factor (calculated)       : 1.000480E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.027840E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.259780E+02 
#
# Scattering radius              [fm]: 7.48 
# Scattering radius L= 0         [fm]: 7.48 +/- 5.00 %
# Scattering radius L= 1         [fm]: 7.48 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 4.437650E-02 
# Average Gg       l=0           [eV]: 7.852470E+00 
# Average level spacing D0 (l=0) [eV]: 2.684170E+02 
# Neutron strength function S0 (l=0) : 1.699190E-04 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 3.391090E-02 
# Average Gg       l=1           [eV]: 8.836930E+00 
# Average level spacing D1 (l=1) [eV]: 8.052500E+02 
# Neutron strength function S1 (l=1) : 2.493030E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.260000E+02      9.780000E-02     0       +0.50      8.106300E+00    6.079700E-02    6.912000E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.220093E+02      6.660300E-02     0       +0.50      4.445200E-02    3.330000E-04    1.362600E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.794009E+02      1.438200E-01     0       +0.50      1.357400E-01    1.018000E-03    1.014100E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.042906E+02      2.712870E-01     0       +0.50      5.294400E+00    3.970800E-02    1.346000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.028012E+03      3.084040E-01     1       +0.50      2.872000E-03    2.200000E-05    8.903600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.242006E+03      3.726020E-01     0       +0.50      4.502900E+00    3.377200E-02    1.207000E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.290115E+03      3.870350E-01     1       +1.50      2.509000E-03    1.900000E-05    8.901400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.418657E+03      4.255970E-01     0       +0.50      9.371400E-01    7.029000E-03    9.496800E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.633842E+03      4.901530E-01     1       +1.50      1.670000E-03    1.300000E-05    8.900700E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.696616E+03      5.089850E-01     1       +1.50      3.074000E-03    2.300000E-05    8.804200E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.805962E+03      5.417890E-01     0       +0.50      9.479900E+00    7.109900E-02    2.562800E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.830097E+03      5.490290E-01     0       +0.50      1.587600E-01    1.191000E-03    4.565400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.870773E+03      5.612320E-01     1       +1.50      2.510000E-03    1.900000E-05    8.801500E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.956110E+03      5.868330E-01     0       +0.50      2.585700E-01    1.939000E-03    9.721100E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.270359E+03      6.811080E-01     0       +0.50      1.479800E+00    1.109900E-02    8.626300E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.395564E+03      7.186690E-01     0       +0.50      6.075400E-01    4.557000E-03    9.300300E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.514870E+03      7.544610E-01     0       +0.50      4.550100E+00    3.412600E-02    9.546400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.560988E+03      7.682960E-01     1       +0.50      1.680900E-02    1.260000E-04    8.823500E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.638056E+03      7.914170E-01     0       +0.50      3.203600E+00    2.402700E-02    9.159100E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.814127E+03      8.442380E-01     0       +0.50      5.096700E-01    3.823000E-03    8.767600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.897993E+03      8.693980E-01     1       +1.50      2.505800E-02    1.880000E-04    8.809400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.170854E+03      9.512560E-01     1       +0.50      2.793100E-02    2.090000E-04    8.798800E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.341539E+03      1.002462E+00     1       +1.50      1.256200E-02    9.400000E-05    8.810900E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.453426E+03      1.036028E+00     0       +0.50      2.014700E-01    1.511000E-03    8.960400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.561351E+03      1.068405E+00     1       +1.50      2.013000E-02    1.510000E-04    8.814600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.606917E+03      1.082075E+00     1       +1.50      2.287500E-02    1.720000E-04    8.828200E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.726234E+03      1.117870E+00     0       +0.50      1.406500E+00    1.054900E-02    9.026600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.873143E+03      1.161943E+00     0       +0.50      1.293200E+00    9.699000E-03    9.166900E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.936148E+03      1.180844E+00     0       +0.50      5.507500E-01    4.131000E-03    8.889800E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.531333E+03      1.359400E+00     0       +0.50      6.114500E+00    4.585900E-02    9.128100E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.638714E+03      1.391614E+00     1       +1.50      5.179600E-02    3.880000E-04    8.879600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.668582E+03      1.400575E+00     1       +0.50      1.504500E-02    1.130000E-04    8.803700E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.788509E+03      1.436553E+00     0       +0.50      2.404600E-01    1.803000E-03    8.860200E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.013836E+03      1.504151E+00     0       +0.50      1.982400E+00    1.486800E-02    8.815900E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.254746E+03      1.576424E+00     0       +0.50      1.201300E+00    9.010000E-03    8.960500E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.838867E+03      1.751660E+00     0       +0.50      1.900700E+00    1.425500E-02    8.848100E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.924163E+03      1.777249E+00     0       +0.50      3.470400E+00    2.602800E-02    8.828000E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.382536E+03      1.914761E+00     0       +0.50      2.599100E+00    1.949300E-02    8.917000E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.512830E+03      1.953849E+00     0       +0.50      1.148400E+01    8.613000E-02    8.947000E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.791826E+03      2.037548E+00     0       +0.50      6.293000E+00    4.719800E-02    8.932900E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.835611E+03      2.050683E+00     0       +0.50      1.500600E+00    1.125400E-02    8.852500E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.909975E+03      2.072993E+00     0       +0.50      4.005100E-01    3.004000E-03    8.827700E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.310897E+03      2.193269E+00     0       +0.50      2.001700E+00    1.501300E-02    8.852800E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.387073E+03      2.216122E+00     0       +0.50      5.603800E+00    4.202800E-02    8.877500E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.697302E+03      2.309191E+00     0       +0.50      4.303000E+00    3.227200E-02    8.840800E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.844667E+03      2.353400E+00     0       +0.50      3.099200E+00    2.324400E-02    8.898600E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.305593E+03      2.491678E+00     0       +0.50      3.198800E+00    2.399100E-02    8.874400E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.470162E+03      2.541049E+00     0       +0.50      2.500300E+00    1.875200E-02    8.902700E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.701150E+03      2.610345E+00     0       +0.50      2.699800E+00    2.024900E-02    8.871300E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.100864E+03      2.730259E+00     0       +0.50      3.697500E+00    2.773100E-02    8.914100E+00    2.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
