# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:44:14 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 179
# I                                  : 0
# Abundancy                       [%]: 13.62
# Data origin                        : jeff4.0
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.000000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 218
# Number of resonances (<Emax2)      : 219
# Thermal  (n,g) xs (calculated) [b.]: 3.986920E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.282400E+02 
# MACS 30 keV (calculated)       [b.]: 8.269500E-01
# Westcott factor (calculated)       : 9.985800E-01
#
# Thermal (n,el) xs (calculated) [b.]: 7.768290E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.848680E+02 
#
# Scattering radius              [fm]: 7.83 
# Scattering radius L= 0         [fm]: 7.83 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 1.923180E-03 
# Average Gg       l=0           [eV]: 5.458780E-02 
# Average level spacing D0 (l=0) [eV]: 4.651160E+00 
# Neutron strength function S0 (l=0) : 2.081010E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.716500E+00      2.834000E-03     0       +5.00      2.641000E-02    1.930000E-04    5.241000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.756300E+00      1.679000E-03     0       +4.00      1.610000E-02    1.170000E-04    5.301000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.692500E+00      1.660000E-03     0       +5.00      4.261000E-03    3.100000E-05    5.329000E-02    2.664000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.667400E+00      1.945000E-03     0       +4.00      2.120000E-04    2.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.764800E+01      5.148000E-03     0       +4.00      2.193000E-03    1.600000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.912300E+01      5.578000E-03     0       +5.00      1.040000E-04    1.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.365100E+01      6.899000E-03     0       +5.00      8.381000E-03    6.100000E-05    5.285000E-02    2.642000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.654000E+01      7.741000E-03     0       +4.00      1.253000E-03    9.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.740500E+01      7.994000E-03     0       +5.00      4.220000E-04    3.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.115000E+01      9.086000E-03     0       +4.00      8.530000E-03    6.200000E-05    5.730000E-02    2.865000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.651100E+01      1.065000E-02     0       +5.00      2.872000E-02    2.090000E-04    6.017000E-02    3.008000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.012000E+01      1.170300E-02     0       +5.00      2.501000E-02    1.820000E-04    5.915000E-02    2.958000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.231400E+01      1.234300E-02     0       +4.00      1.531000E-02    1.120000E-04    6.323000E-02    3.161000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.078200E+01      1.481300E-02     0       +5.00      1.153000E-03    8.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.113700E+01      1.491600E-02     0       +4.00      6.440000E-04    5.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.480300E+01      1.598500E-02     0       +4.00      6.084000E-03    4.400000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.905500E+01      2.014300E-02     0       +4.00      1.076000E-02    7.800000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.356100E+01      2.145700E-02     0       +4.00      9.689000E-03    7.100000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.666800E+01      2.236300E-02     0       +5.00      3.095000E-03    2.300000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.298300E+01      2.420500E-02     0       +4.00      4.433000E-03    3.200000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.544400E+01      2.492300E-02     0       +5.00      4.787000E-03    3.500000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.209900E+01      2.686400E-02     0       +4.00      1.223000E-02    8.900000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.272300E+01      2.704600E-02     0       +5.00      2.838000E-02    2.070000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.013000E+02      2.954800E-02     0       +5.00      1.217000E-01    8.870000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.037200E+02      3.025400E-02     0       +5.00      9.527000E-03    6.900000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.078100E+02      3.144700E-02     0       +4.00      9.962000E-03    7.300000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.172000E+02      3.418600E-02     0       +5.00      3.218000E-02    2.350000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.201400E+02      3.504400E-02     0       +4.00      2.498000E-03    1.800000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.219500E+02      3.557200E-02     0       +4.00      7.504000E-03    5.500000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.226100E+02      3.576400E-02     0       +5.00      1.560000E-02    1.140000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.299700E+02      3.791100E-02     0       +4.00      9.562000E-03    7.000000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.372800E+02      4.004300E-02     0       +5.00      2.555000E-02    1.860000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.381300E+02      4.029100E-02     0       +4.00      1.606000E-02    1.170000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.443000E+02      4.209100E-02     0       +5.00      2.405000E-02    1.750000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.470500E+02      4.289300E-02     0       +4.00      1.328000E-02    9.700000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.523800E+02      4.444800E-02     0       +5.00      2.959000E-03    2.200000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.547900E+02      4.515100E-02     0       +4.00      1.160000E-03    8.000000E-06    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.563100E+02      4.559400E-02     0       +5.00      4.141000E-02    3.020000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.587900E+02      4.631700E-02     0       +4.00      4.070000E-03    3.000000E-05    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.657300E+02      4.834200E-02     0       +5.00      2.214000E-02    1.610000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.742900E+02      5.083900E-02     0       +4.00      7.594000E-02    5.540000E-04    5.450000E-02    2.725000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
