# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:15:47 2025
#                        
# Element                            : Na
# Z                                  : 11
# A                                  : 22
# I                                  : 0
# Half-life                   [years]: 2.60369 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.780000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 12
# Number of resonances (<Emax2)      : 19
# Thermal  (n,g) xs (calculated) [b.]: 4.043620E-01 
# Ress Int. (n,g) (systematics)  [b.]: 6.280090E-01 
# MACS 30 keV (calculated)       [b.]: 1.683400E-03
# Westcott factor (calculated)       : 1.000900E+00
#
# Thermal (n,el) xs (calculated) [b.]: 5.426050E+01 
# Res. Int (n,el) (calculated)   [b.]: 3.626220E+02 
#
# Scattering radius              [fm]: 5.10 
#
# Average Gtotal   l=0           [eV]: 1.819200E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.356050E-01 
# Average Gg       l=0           [eV]: 1.000000E-02 
# Neutron strength function S0 (l=0) : 7.748870E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.550987E+04      5.114474E+00     1       +1.50      8.421900E+00    4.221400E-02    1.985900E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.347311E+04      4.706124E+00     2       +3.50      3.885300E-02    1.950000E-04    9.215700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.185651E+04      4.382012E+00     0       +3.50      2.602200E+02    1.304316E+00    9.215700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.153268E+04      4.317087E+00     2       +1.50      5.810000E-03    2.900000E-05    9.421900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.994240E+04      3.998252E+00     2       +0.50      5.931000E-03    3.000000E-05    9.707000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.900536E+04      3.810385E+00     1       +4.50      8.003000E+00    4.011400E-02    1.241000E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.716692E+04      3.441796E+00     2       +4.50      6.819000E-03    3.400000E-05    9.009500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.708334E+04      3.425039E+00     1       +3.50      2.467100E+01    1.236600E-01    1.749400E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.008300E+04      2.021541E+00     0       +2.50      1.203700E+02    6.033380E-01    8.631000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.831885E+03      5.677650E-01     2       +1.50      2.500000E-05    0.000000E+00    9.421900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -7.890000E+02      1.581870E-01     0       +2.50      2.430400E+02    1.218204E+00    1.000000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.780000E+02      3.568700E-02     0       +3.50      1.809200E+00    9.068000E-03    1.000000E-02    5.000000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.422448E+03      8.866570E-01     1       +1.50      6.180300E-01    3.098000E-03    1.985900E+00    9.929500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.459215E+03      1.295008E+00     2       +3.50      1.550000E-03    8.000000E-06    9.215700E-01    4.607800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.399643E+03      1.684044E+00     2       +1.50      5.540000E-04    3.000000E-06    9.421900E-01    4.710900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.092697E+04      2.190748E+00     1       +4.50      3.511000E+00    1.759800E-02    1.241000E+00    6.205000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.276540E+04      2.559335E+00     2       +4.50      3.255000E-03    1.600000E-05    9.009500E-01    4.504800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.284898E+04      2.576092E+00     1       +3.50      1.614600E+01    8.093000E-02    1.749400E+00    8.747000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.710044E+04      5.433367E+00     2       +1.50      7.007000E-03    3.500000E-05    9.421900E-01    4.710900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
