# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:16:30 2025
#                        
# Element                            : Nb
# Z                                  : 41
# A                                  : 94
# I                                  : 1
# Half-life                   [min. ]: 6.26333 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.963541E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 53
# Number of resonances (<Emax2)      : 58
# Thermal  (n,g) xs (calculated) [b.]: 3.201880E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.144720E+02 
# MACS 30 keV (calculated)       [b.]: 4.539300E-01
# Westcott factor (calculated)       : 1.017330E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.946390E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.165550E+01 
#
# Scattering radius              [fm]: 6.50 
#
# Average Gtotal   l=0           [eV]: 1.382340E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.091210E-04 
# Average Gg       l=0           [eV]: 1.362340E-01 
# Average level spacing D0 (l=0) [eV]: 2.454430E+01 
# Neutron strength function S0 (l=0) : 4.914570E-06 
#
# Average Gtotal   l=1           [eV]: 1.331790E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.693330E-03 
# Average Gg       l=1           [eV]: 1.331740E-01 
# Average level spacing D1 (l=1) [eV]: 2.181710E+01 
# Neutron strength function S1 (l=1) : 2.760700E-05 
#
# Average Gtotal   l=2           [eV]: 1.299900E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 3.291930E-04 
# Average Gg       l=2           [eV]: 1.299900E-01 
# Average level spacing D2 (l=2) [eV]: 2.454430E+01 
# Neutron strength function S2 (l=2) : 1.793470E-06 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.872565E+02      4.032400E-02     1       +1.50      2.000000E-05    0.000000E+00    1.502500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.869179E+02      4.025100E-02     2       +1.50      0.000000E+00    0.000000E+00    1.521900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.803806E+02      3.884300E-02     1       +3.50      3.000000E-06    0.000000E+00    1.372400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.709076E+02      3.680300E-02     1       +2.50      0.000000E+00    0.000000E+00    1.442100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.444842E+02      3.111300E-02     2       +2.50      0.000000E+00    0.000000E+00    1.418400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.427456E+02      3.073900E-02     2       +5.50      0.000000E+00    0.000000E+00    1.087900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.384536E+02      2.981500E-02     1       +4.50      1.200000E-05    0.000000E+00    1.263200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.361052E+02      2.930900E-02     1       +3.50      0.000000E+00    0.000000E+00    1.372400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.297843E+02      2.794800E-02     2       +0.50      0.000000E+00    0.000000E+00    1.582400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.293306E+02      2.785000E-02     2       +3.50      0.000000E+00    0.000000E+00    1.317500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.079800E+02      2.325200E-02     0       +2.50      1.132000E-03    6.000000E-06    1.418400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
