# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:53:30 2025
#                        
# Element                            : Nb
# Z                                  : 41
# A                                  : 95
# I                                  : 0
# Half-life                   [days ]: 34.9884 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.184868E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 23
# Number of resonances (<Emax2)      : 24
# Thermal  (n,g) xs (calculated) [b.]: 6.996470E+00 
# Res. Int (n,g) (calculated)    [b.]: 7.451530E+01  
# MACS 30 keV (calculated)       [b.]: 3.536700E-01
# Westcott factor (calculated)       : 9.994900E-01
#
# Thermal (n,el) xs (calculated) [b.]: 6.044320E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.203110E+02 
#
# Scattering radius              [fm]: 6.49 
#
# Average Gtotal   l=0           [eV]: 1.359440E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.410970E-03 
# Average Gg       l=0           [eV]: 7.399070E-02 
# Average level spacing D0 (l=0) [eV]: 5.924340E+01 
# Neutron strength function S0 (l=0) : 9.589880E-05 
#
# Average Gtotal   l=1           [eV]: 7.538810E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.245160E-01 
# Average Gg       l=1           [eV]: 7.514450E-02 
# Average level spacing D1 (l=1) [eV]: 3.949560E+01 
# Neutron strength function S1 (l=1) : 1.121660E-03 
#
# Average Gtotal   l=2           [eV]: 7.860000E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.908350E-02 
# Average Gg       l=2           [eV]: 7.860000E-02 
# Average level spacing D2 (l=2) [eV]: 1.184870E+02 
# Neutron strength function S2 (l=2) : 2.614000E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.297690E+02      2.855400E-02     1       +6.00      3.648000E-03    2.000000E-05    6.636100E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.276072E+02      2.807900E-02     1       +3.00      9.600000E-05    1.000000E-06    8.094800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.206345E+02      2.654400E-02     2       +2.00      0.000000E+00    0.000000E+00    8.459600E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.074478E+02      2.364300E-02     1       +4.00      1.010000E-04    1.000000E-06    7.658600E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.035936E+02      2.279500E-02     1       +5.00      5.590000E-04    3.000000E-06    7.152200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.013715E+02      2.230600E-02     2       +5.00      0.000000E+00    0.000000E+00    6.984300E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.772444E+01      2.150300E-02     1       +3.00      8.710000E-04    5.000000E-06    8.094800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.097823E+01      2.001900E-02     0       +5.00      2.353900E-01    1.295000E-03    6.984200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.089471E+01      2.000000E-02     0       +4.00      1.883000E-01    1.036000E-03    7.606500E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.348179E+01      7.367000E-03     1       +5.00      1.440000E-04    1.000000E-06    7.152200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.086646E+01      4.591000E-03     0       +5.00      3.620000E-04    2.000000E-06    6.984200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.684394E+01      3.706000E-03     1       +5.00      3.000000E-06    0.000000E+00    7.152200E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.558844E+01      3.430000E-03     1       +6.00      0.000000E+00    0.000000E+00    6.636100E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.324021E+01      2.913000E-03     0       +4.00      1.966400E-02    1.080000E-04    7.606500E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.427916E+01      5.342000E-03     1       +4.00      1.100000E-05    0.000000E+00    7.658600E-02    3.829000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.400256E+01      7.482000E-03     1       +3.00      1.790000E-04    1.000000E-06    8.094800E-02    4.047000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.083229E+01      8.985000E-03     0       +4.00      1.262000E-01    6.940000E-04    7.606500E-02    3.803000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.064550E+01      1.994600E-02     2       +4.00      0.000000E+00    0.000000E+00    7.606600E-02    3.803000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.824521E+01      2.161800E-02     1       +5.00      7.260000E-04    4.000000E-06    7.152200E-02    3.576000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.010600E+02      2.223700E-02     2       +3.00      0.000000E+00    0.000000E+00    8.113400E-02    4.057000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.108605E+02      2.439400E-02     0       +5.00      8.350000E-04    5.000000E-06    6.984200E-02    3.492000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.148831E+02      2.527900E-02     1       +5.00      5.900000E-05    0.000000E+00    7.152200E-02    3.576000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
