# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 19:57:13 2025
#                        
# Element                            : Nd
# Z                                  : 60
# A                                  : 144
# I                                  : 0
# Abundancy                       [%]: 23.798
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.908000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 56
# Number of resonances (<Emax2)      : 82
# Thermal  (n,g) xs (calculated) [b.]: 3.640840E+00 
# Res. Int (n,g) (calculated)    [b.]: 5.397900E+00  
# MACS 30 keV (calculated)       [b.]: 8.153900E-02
# Westcott factor (calculated)       : 1.000460E+00
#
# Thermal (n,el) xs (calculated) [b.]: 9.370500E-01 
# Res. Int (n,el) (calculated)   [b.]: 4.876130E+02 
#
# Scattering radius              [fm]: 6.30 
#
# Average Gtotal   l=0           [eV]: 1.514410E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.223030E-01 
# Average Gg       l=0           [eV]: 5.105330E-02 
# Average level spacing D0 (l=0) [eV]: 5.828240E+02 
# Neutron strength function S0 (l=0) : 4.038600E-04 
#
# Average Gtotal   l=1           [eV]: 3.230400E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.678120E+01 
# Average Gg       l=1           [eV]: 5.141840E-02 
# Average level spacing D1 (l=1) [eV]: 2.752220E+02 
# Neutron strength function S1 (l=1) : 4.175850E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.323000E+02      5.721500E-02     0       +0.50      2.301400E-01    1.417000E-03    2.991000E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.744000E+02      9.221500E-02     1       +1.50      8.350000E+00    5.141400E-02    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.337000E+02      1.807100E-01     1       +1.50      3.125000E-01    1.924000E-03    7.800000E-02    3.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.277300E+03      3.145990E-01     0       +0.50      3.230000E+01    1.988830E-01    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.628000E+03      4.009760E-01     0       +0.50      4.330000E+00    2.666100E-02    5.750000E-02    2.875000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.691000E+03      4.164930E-01     0       +0.50      1.200000E-01    7.390000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.975000E+03      4.864430E-01     0       +0.50      1.500000E+01    9.236100E-02    5.540000E-02    2.770000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.097000E+03      5.164910E-01     1       +1.50      3.800000E-02    2.340000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.409800E+03      5.935340E-01     1       +1.50      9.000000E-02    5.540000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.767000E+03      6.815120E-01     0       +0.50      4.030000E+00    2.481400E-02    6.600000E-02    3.300000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.959000E+03      7.288020E-01     1       +0.50      3.400000E-02    2.090000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.067000E+03      7.554020E-01     1       +1.50      1.600000E-03    1.000000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.152000E+03      7.763380E-01     1       +1.50      3.600000E-02    2.220000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.297000E+03      8.120510E-01     1       +1.50      2.250000E-03    1.400000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.546000E+03      8.733800E-01     0       +0.50      1.550000E+01    9.543900E-02    4.400000E-02    2.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.629000E+03      8.938230E-01     1       +1.50      5.000000E-04    3.000000E-06    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.742000E+03      9.216550E-01     0       +0.50      1.360000E+00    8.374000E-03    2.830000E-02    1.415000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.755000E+03      9.248560E-01     1       +0.50      1.800000E-02    1.110000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.785000E+03      9.322450E-01     1       +1.50      2.800000E-03    1.700000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.038000E+03      9.945590E-01     1       +1.50      2.700000E-03    1.700000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.241000E+03      1.044558E+00     1       +1.50      9.500000E-03    5.800000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.369000E+03      1.076085E+00     1       +1.50      4.150000E-03    2.600000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.608000E+03      1.134950E+00     1       +1.50      3.550000E-02    2.190000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.749000E+03      1.169679E+00     0       +0.50      2.750000E-01    1.693000E-03    3.500000E-02    1.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.941000E+03      1.216968E+00     0       +0.50      2.420000E+01    1.490090E-01    6.700000E-02    3.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.961000E+03      1.221894E+00     1       +1.50      4.050000E-02    2.490000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.153000E+03      1.269184E+00     1       +0.50      1.000000E-01    6.160000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.311000E+03      1.308099E+00     1       +1.50      4.000000E-03    2.500000E-05    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.659000E+03      1.393812E+00     0       +0.50      3.360000E+00    2.068900E-02    4.460000E-02    2.230000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.852000E+03      1.441348E+00     1       +1.50      2.850000E-02    1.750000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.116000E+03      1.506371E+00     0       +0.50      1.300000E+01    8.004600E-02    6.530000E-02    3.265000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.145000E+03      1.513513E+00     1       +0.50      8.200000E-02    5.050000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.753000E+03      1.663264E+00     1       +0.50      4.500000E-02    2.770000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.786000E+03      1.671392E+00     1       +1.50      7.500000E-02    4.620000E-04    5.068000E-02    2.534000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.788000E+03      1.671884E+00     0       +0.50      4.800000E+01    2.955540E-01    4.750000E-02    2.375000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
