# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:25:45 2025
#                        
# Element                            : Pd
# Z                                  : 46
# A                                  : 110
# I                                  : 0
# Abundancy                       [%]: 11.72
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.772000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 78
# Number of resonances (<Emax2)      : 78
# Thermal  (n,g) xs (calculated) [b.]: 2.997010E-01 
# Res. Int (n,g) (calculated)    [b.]: 2.892750E+00  
# MACS 30 keV (calculated)       [b.]: 1.640500E-01
# Westcott factor (calculated)       : 1.000180E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.847230E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.854770E+01 
#
# Scattering radius              [fm]: 6.13 
#
# Average Gtotal   l=0           [eV]: 1.234820E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.859010E-02 
# Average Gg       l=0           [eV]: 5.548320E-02 
# Average level spacing D0 (l=0) [eV]: 8.465000E+02 
# Neutron strength function S0 (l=0) : 2.470630E-05 
#
# Average Gtotal   l=1           [eV]: 8.344380E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 9.185340E-02 
# Average Gg       l=1           [eV]: 5.596170E-02 
# Average level spacing D1 (l=1) [eV]: 1.010750E+02 
# Neutron strength function S1 (l=1) : 5.979370E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.600000E+01      1.601800E-02     0       +0.50      4.476300E-02    2.720000E-04    5.600000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.190000E+01      1.259600E-02     1       +0.50      2.000000E-06    0.000000E+00    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.100000E+01      1.723100E-02     1       +0.50      3.000000E-06    0.000000E+00    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.633000E+01      2.095100E-02     1       +0.50      4.800000E-04    3.000000E-06    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.340000E+02      3.252000E-02     1       +0.50      7.000000E-06    0.000000E+00    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.779000E+02      4.317500E-02     1       +1.50      1.350000E-04    1.000000E-06    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.633000E+02      6.390000E-02     1       +1.50      2.750000E-03    1.700000E-05    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.931000E+02      9.540100E-02     1       +1.50      1.900000E-05    0.000000E+00    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.235000E+02      1.027790E-01     1       +1.50      1.400000E-05    0.000000E+00    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.537000E+02      1.343770E-01     1       +1.50      2.350000E-03    1.400000E-05    5.548300E-02    2.774000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
