# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:31:20 2025
#                        
# Element                            : Pr
# Z                                  : 59
# A                                  : 143
# I                                  : 0
# Half-life                   [days ]: 13.5648 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.650000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 47
# Number of resonances (<Emax2)      : 47
# Thermal  (n,g) xs (calculated) [b.]: 9.001340E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.653210E+02  
# MACS 30 keV (calculated)       [b.]: 3.724800E-01
# Westcott factor (calculated)       : 1.000010E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.534700E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.318660E+03 
#
# Scattering radius              [fm]: 4.12 
#
# Average Gtotal   l=0           [eV]: 4.186710E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.254580E-01 
# Average Gg       l=0           [eV]: 6.683240E-02 
# Average level spacing D0 (l=0) [eV]: 2.807690E+01 
# Neutron strength function S0 (l=0) : 4.851600E-03 
#
# Average Gtotal   l=1           [eV]: 5.579880E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.614750E-03 
# Average Gg       l=1           [eV]: 5.577530E-02 
# Average level spacing D1 (l=1) [eV]: 2.807690E+01 
# Neutron strength function S1 (l=1) : 3.639900E-05 
#
# Average Gtotal   l=2           [eV]: 5.584010E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 4.001400E-02 
# Average Gg       l=2           [eV]: 5.584010E-02 
# Average level spacing D2 (l=2) [eV]: 2.147060E+01 
# Neutron strength function S2 (l=2) : 1.955500E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.800000E+01      9.773000E-03     0       +4.00      3.539700E+00    2.275900E-02    8.500000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.110000E+01      1.057100E-02     0       +4.00      1.066700E-01    6.860000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.420000E+01      2.165500E-02     0       +4.00      1.155600E+00    7.430000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.780000E+01      2.258100E-02     0       +4.00      4.000000E-01    2.572000E-03    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.427397E+02      6.243000E-02     0       +3.00      7.965900E-02    5.120000E-04    5.904100E-02    2.952000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.447419E+02      6.294500E-02     1       +5.00      3.700000E-05    0.000000E+00    5.043600E-02    2.522000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.485353E+02      6.392100E-02     0       +4.00      5.477600E-02    3.520000E-04    5.489800E-02    2.745000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.524677E+02      6.493200E-02     2       +4.00      0.000000E+00    0.000000E+00    5.489800E-02    2.745000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.570973E+02      6.612300E-02     2       +5.00      0.000000E+00    0.000000E+00    5.043600E-02    2.522000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.576761E+02      6.627200E-02     1       +2.00      3.400000E-05    0.000000E+00    6.175600E-02    3.088000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.602657E+02      6.693800E-02     0       +4.00      3.190000E-04    2.000000E-06    5.489800E-02    2.745000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
