# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:50:00 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 196
# I                                  : 0
# Abundancy                       [%]: 25.21
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.461079E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 272
# Number of resonances (<Emax2)      : 277
# Thermal  (n,g) xs (calculated) [b.]: 5.796970E-01 
# Res. Int (n,g) (calculated)    [b.]: 5.781230E+00  
# MACS 30 keV (calculated)       [b.]: 1.968200E-01
# Westcott factor (calculated)       : 1.000490E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.077110E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.277210E+02 
#
# Scattering radius              [fm]: 9.50 
#
# Average Gtotal   l=0           [eV]: 3.402450E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.721900E-02 
# Average Gg       l=0           [eV]: 1.676020E-01 
# Average level spacing D0 (l=0) [eV]: 3.478760E+02 
# Neutron strength function S0 (l=0) : 1.095370E-04 
#
# Average Gtotal   l=1           [eV]: 1.617750E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 7.446940E-03 
# Average Gg       l=1           [eV]: 1.402460E-01 
# Average level spacing D1 (l=1) [eV]: 1.537980E+02 
# Neutron strength function S1 (l=1) : 2.550770E-05 
#
# Average Gtotal   l=2           [eV]: 1.456300E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 2.787260E-02 
# Average Gg       l=2           [eV]: 1.452370E-01 
# Average level spacing D2 (l=2) [eV]: 1.115330E+02 
# Neutron strength function S2 (l=2) : 1.146910E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.430000E+02      7.476600E-02     0       +0.50      8.080100E-01    6.215000E-03    1.320000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.890000E+01      5.815000E-03     1       +1.50      1.400000E-05    0.000000E+00    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.034000E+02      9.335000E-02     0       +0.50      1.408500E-01    1.083000E-03    1.120000E-01    5.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.656000E+02      1.740240E-01     0       +0.50      9.578000E-02    7.370000E-04    1.320000E-01    6.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.619000E+02      2.036530E-01     0       +0.50      8.921000E-03    6.900000E-05    1.600000E-01    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.710000E+03      5.261330E-01     0       +0.50      5.821900E+00    4.478200E-02    1.346700E-01    6.734000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.991717E+03      6.128120E-01     1       +0.50      5.640000E-04    4.000000E-06    1.458300E-01    7.292000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.144278E+03      6.597510E-01     2       +1.50      3.600000E-05    0.000000E+00    1.556400E-01    7.782000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.168866E+03      6.673170E-01     1       +0.50      6.680000E-03    5.100000E-05    1.458300E-01    7.292000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.209666E+03      6.798700E-01     1       +1.50      4.903000E-03    3.800000E-05    1.376300E-01    6.882000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.301510E+03      7.081290E-01     2       +2.50      2.300000E-05    0.000000E+00    1.368300E-01    6.842000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
