# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:25:51 2025
#                        
# Element                            : Ra
# Z                                  : 88
# A                                  : 228
# I                                  : 0
# Half-life                   [years]: 5.75533 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.294145E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 3.597830E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.320580E+01 
# MACS 30 keV (calculated)       [b.]: 1.368400E-01
# Westcott factor (calculated)       : 1.000880E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.046130E+01 
# Res. Int (n,el) (calculated)   [b.]: 8.214350E+01 
#
# Thermal  (n,f) xs (calculated) [b.]: 1.987190E+00 
# Resonance Integral (n,f) xs    [b.]: 2.871000E+00
#
# Scattering radius              [fm]: 9.41 
#
# Average Gtotal   l=0           [eV]: 1.006610E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.266420E-03 
# Average Gg       l=0           [eV]: 9.510800E+00 
# Average level spacing D0 (l=0) [eV]: 3.497690E+01 
# Neutron strength function S0 (l=0) : 3.718590E-05 
#
# Average Gtotal   l=1           [eV]: 1.030740E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.089810E-03 
# Average Gg       l=1           [eV]: 9.781830E+00 
# Average level spacing D1 (l=1) [eV]: 3.235360E+01 
# Neutron strength function S1 (l=1) : 4.821700E-05 
#
# Average Gtotal   l=2           [eV]: 9.966110E+00 
# Average reduced (Gn^2) Gn l=2  [eV]: 2.766490E-03 
# Average Gg       l=2           [eV]: 9.440800E+00 
# Average level spacing D2 (l=2) [eV]: 3.235360E+02 
# Neutron strength function S2 (l=2) : 4.275400E-06 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.334431E+02      4.666600E-02     0       +0.50      4.100000E-04    4.000000E-06    9.510800E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -1.210691E+02      4.233900E-02     0       +0.50      5.841000E-03    5.100000E-05    9.510800E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -9.409132E+01      3.290500E-02     1       +0.50      2.400000E-05    0.000000E+00    9.839600E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -7.723219E+01      2.700900E-02     1       +0.50      0.000000E+00    0.000000E+00    9.839600E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -6.806397E+01      2.380300E-02     1       +1.50      0.000000E+00    0.000000E+00    9.740900E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -5.514796E+01      1.928600E-02     0       +0.50      8.000000E-06    0.000000E+00    9.510800E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -3.880592E+01      1.357100E-02     1       +0.50      0.000000E+00    0.000000E+00    9.839600E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -2.388770E+01      8.354000E-03     1       +1.50      0.000000E+00    0.000000E+00    9.740900E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  -1.618263E+01      5.659000E-03     1       +1.50      0.000000E+00    0.000000E+00    9.740900E+00    0.000000E+00    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +3.223008E+01      1.127100E-02     0       +0.50      3.060000E-04    3.000000E-06    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +5.606568E+01      1.960700E-02     0       +0.50      1.034000E-02    9.000000E-05    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +7.585474E+01      2.652700E-02     0       +0.50      5.067000E-03    4.400000E-05    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +1.104089E+02      3.861100E-02     0       +0.50      5.145000E-03    4.500000E-05    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +1.436030E+02      5.021900E-02     0       +0.50      9.850000E-04    9.000000E-06    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +1.875641E+02      6.559300E-02     0       +0.50      2.561300E-02    2.240000E-04    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.043370E+02      7.145900E-02     0       +0.50      1.898800E-02    1.660000E-04    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.073411E+02      7.250900E-02     1       +1.50      6.100000E-05    1.000000E-06    9.740900E+00    4.870450E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.120395E+02      7.415200E-02     0       +0.50      2.238200E-02    1.960000E-04    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.155700E+02      7.538700E-02     1       +1.50      8.100000E-05    1.000000E-06    9.740900E+00    4.870450E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.380096E+02      8.323400E-02     0       +0.50      3.548000E-03    3.100000E-05    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +2.435941E+02      8.518700E-02     1       +0.50      1.730000E-04    2.000000E-06    9.839600E+00    4.919800E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +3.308780E+02      1.157110E-01     1       +1.50      3.160000E-04    3.000000E-06    9.740900E+00    4.870450E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +3.343967E+02      1.169420E-01     0       +0.50      3.080000E-03    2.700000E-05    9.510800E+00    4.755400E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
  +3.374468E+02      1.180090E-01     1       +1.50      5.900000E-05    1.000000E-06    9.740900E+00    4.870450E-01    +5.253100E-01   1.837060E-01    +0.000000E+00   0.000000E+00     evaluated 
