# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:16:45 2025
#                        
# Element                            : Rb
# Z                                  : 37
# A                                  : 88
# I                                  : 0
# Half-life                   [min. ]: 17.7833 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.590205E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 10
# Number of resonances (<Emax2)      : 11
# Thermal  (n,g) xs (calculated) [b.]: 1.000440E+00 
# Res. Int (n,g) (calculated)    [b.]: 6.623490E+00  
# MACS 30 keV (calculated)       [b.]: 5.924300E-02
# Westcott factor (calculated)       : 1.000380E+00
#
# Thermal (n,el) xs (calculated) [b.]: 6.685560E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.281720E+01 
#
# Scattering radius              [fm]: 6.86 
#
# Average Gtotal   l=0           [eV]: 4.016900E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.362670E-02 
# Average Gg       l=0           [eV]: 1.037500E-01 
# Neutron strength function S0 (l=0) : 9.450660E-03 
#
# Average Gtotal   l=1           [eV]: 1.474310E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.182490E+00 
# Average Gg       l=1           [eV]: 1.440400E-01 
# Average level spacing D1 (l=1) [eV]: 1.590200E+02 
# Neutron strength function S1 (l=1) : 1.017690E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.080593E+02      4.945800E-02     0       +2.50      6.726200E-01    3.997000E-03    9.379500E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.080380E+02      4.945300E-02     2       +2.50      0.000000E+00    0.000000E+00    9.379600E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.872307E+02      4.450700E-02     2       +4.50      0.000000E+00    0.000000E+00    6.835000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.788784E+02      4.252100E-02     1       +3.50      9.520000E-04    6.000000E-06    9.392300E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.788587E+02      4.251600E-02     2       +3.50      0.000000E+00    0.000000E+00    8.051800E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.608817E+02      3.824300E-02     1       +2.50      1.420000E-04    1.000000E-06    1.264100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.237496E+02      2.941700E-02     1       +0.50      7.132000E-03    4.200000E-05    1.616700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -8.379852E+01      1.992000E-02     0       +1.50      2.162800E-01    1.285000E-03    1.037500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.193729E+01      1.947700E-02     1       +2.50      5.100000E-05    0.000000E+00    1.264100E-01    6.320000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.190694E+02      2.830400E-02     1       +0.50      6.731000E-03    4.000000E-05    1.616700E-01    8.083000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.590205E+02      3.780100E-02     0       +1.50      2.979400E-01    1.771000E-03    1.037500E-01    5.187000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
