# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:52:05 2025
#                        
# Element                            : Rh
# Z                                  : 45
# A                                  : 102
# I                                  : 0
# Half-life                   [days ]: 206.944 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.600849E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 95
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 3.483810E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.279250E+01 
# MACS 30 keV (calculated)       [b.]: 2.192100E+00
# Westcott factor (calculated)       : 9.849400E-01
#
# Thermal (n,el) xs (calculated) [b.]: 4.916120E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.701800E+01 
#
# Scattering radius              [fm]: 6.13 
#
# Average Gtotal   l=0           [eV]: 2.307830E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.641470E-05 
# Average Gg       l=0           [eV]: 2.305300E-01 
# Average level spacing D0 (l=0) [eV]: 5.520170E+00 
# Neutron strength function S0 (l=0) : 2.413510E-06 
#
# Average Gtotal   l=1           [eV]: 2.244090E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 6.576680E-04 
# Average Gg       l=1           [eV]: 2.244080E-01 
# Average level spacing D1 (l=1) [eV]: 3.722900E+00 
# Neutron strength function S1 (l=1) : 3.061860E-05 
#
# Average Gtotal   l=2           [eV]: 2.346780E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.424260E-04 
# Average Gg       l=2           [eV]: 2.346780E-01 
# Average level spacing D2 (l=2) [eV]: 5.336160E+01 
# Neutron strength function S2 (l=2) : 2.784440E-07 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.737973E+01      1.213400E-02     1       +0.50      0.000000E+00    0.000000E+00    2.436000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.365117E+01      9.230000E-03     1       +1.50      0.000000E+00    0.000000E+00    2.363000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.997935E+01      6.339000E-03     0       +1.50      9.880000E-04    5.000000E-06    2.362300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.625085E+01      5.551000E-03     1       +0.50      0.000000E+00    0.000000E+00    2.436000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.343348E+01      4.955000E-03     0       +1.50      5.000000E-06    0.000000E+00    2.362300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.881741E+01      3.979000E-03     1       +1.50      0.000000E+00    0.000000E+00    2.363000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.874923E+01      3.965000E-03     1       +3.50      0.000000E+00    0.000000E+00    2.108000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.825590E+01      3.860000E-03     1       +2.50      0.000000E+00    0.000000E+00    2.241600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.325199E+01      2.802000E-03     1       +0.50      0.000000E+00    0.000000E+00    2.436000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.215826E+01      2.571000E-03     0       +2.50      1.700000E-05    0.000000E+00    2.267300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.184399E+01      2.505000E-03     1       +1.50      0.000000E+00    0.000000E+00    2.363000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
