# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:50:58 2025
#                        
# Element                            : Ru
# Z                                  : 44
# A                                  : 96
# I                                  : 0
# Abundancy                       [%]: 5.54
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.475794E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 173
# Number of resonances (<Emax2)      : 179
# Thermal  (n,g) xs (calculated) [b.]: 2.498680E-01 
# Res. Int (n,g) (calculated)    [b.]: 1.620420E+00  
# MACS 30 keV (calculated)       [b.]: 1.719500E-01
# Westcott factor (calculated)       : 1.000530E+00
#
# Thermal (n,el) xs (calculated) [b.]: 5.374870E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.731930E+01 
#
# Scattering radius              [fm]: 6.33 
#
# Average Gtotal   l=0           [eV]: 1.869190E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.269850E-02 
# Average Gg       l=0           [eV]: 3.206200E-01 
# Average level spacing D0 (l=0) [eV]: 1.031580E+03 
# Neutron strength function S0 (l=0) : 1.282270E-05 
#
# Average Gtotal   l=1           [eV]: 6.170000E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 7.880400E-02 
# Average Gg       l=1           [eV]: 4.189700E-01 
# Average level spacing D1 (l=1) [eV]: 4.058680E+02 
# Neutron strength function S1 (l=1) : 9.985390E-05 
#
# Average Gtotal   l=2           [eV]: 2.916210E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 7.959290E-03 
# Average Gg       l=2           [eV]: 2.915110E-01 
# Average level spacing D2 (l=2) [eV]: 3.391500E+02 
# Neutron strength function S2 (l=2) : 1.156960E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.325510E+03      4.751020E-01     1       +0.50      1.144600E-02    5.800000E-05    4.595500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.322142E+03      4.744140E-01     0       +0.50      1.326700E+00    6.776000E-03    3.206200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.696369E+03      3.465680E-01     0       +0.50      4.932000E-03    2.500000E-05    3.206200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.296769E+03      2.649300E-01     2       +2.50      0.000000E+00    0.000000E+00    2.828500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.246338E+03      2.546270E-01     2       +1.50      0.000000E+00    0.000000E+00    3.017000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.228433E+03      2.509690E-01     2       +2.50      0.000000E+00    0.000000E+00    2.828500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.112949E+03      2.273750E-01     1       +1.50      6.020000E-04    3.000000E-06    3.966500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.577830E+02      1.956750E-01     1       +0.50      1.012700E-02    5.200000E-05    4.595500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.570701E+02      1.342390E-01     0       +0.50      1.917800E+00    9.795000E-03    3.206200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.244646E+02      8.671800E-02     1       +1.50      3.050000E-04    2.000000E-06    3.966500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.751326E+02      5.621000E-02     2       +1.50      0.000000E+00    0.000000E+00    3.017000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
