# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:27:14 2025
#                        
# Element                            : Sb
# Z                                  : 51
# A                                  : 124
# I                                  : 0
# Half-life                   [days ]: 60.1968 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.986136E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 97
# Number of resonances (<Emax2)      : 98
# Thermal  (n,g) xs (calculated) [b.]: 1.734280E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.309100E+02 
# MACS 30 keV (calculated)       [b.]: 8.649500E-01
# Westcott factor (calculated)       : 1.001570E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.378140E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.406830E+01 
#
# Scattering radius              [fm]: 5.31 
#
# Average Gtotal   l=0           [eV]: 1.217360E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.739390E-04 
# Average Gg       l=0           [eV]: 1.181890E-01 
# Average level spacing D0 (l=0) [eV]: 8.275570E+00 
# Neutron strength function S0 (l=0) : 2.332510E-05 
#
# Average Gtotal   l=1           [eV]: 1.121440E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.957720E-03 
# Average Gg       l=1           [eV]: 1.121400E-01 
# Average level spacing D1 (l=1) [eV]: 5.841580E+00 
# Neutron strength function S1 (l=1) : 5.940350E-05 
#
# Average Gtotal   l=2           [eV]: 1.138820E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.847770E-03 
# Average Gg       l=2           [eV]: 1.138820E-01 
# Average level spacing D2 (l=2) [eV]: 1.168320E+01 
# Neutron strength function S2 (l=2) : 1.392030E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.140302E+02      2.976200E-02     1       +1.50      0.000000E+00    0.000000E+00    1.206900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.131517E+02      2.953300E-02     2       +0.50      0.000000E+00    0.000000E+00    1.239100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.268686E+01      1.636100E-02     1       +1.50      0.000000E+00    0.000000E+00    1.206900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.432611E+01      1.417900E-02     1       +1.50      5.000000E-06    0.000000E+00    1.206900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.183796E+01      1.353000E-02     1       +3.50      0.000000E+00    0.000000E+00    1.115300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.749606E+01      1.239600E-02     0       +3.50      4.750000E-04    3.000000E-06    1.161200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.901324E+01      1.018200E-02     1       +2.50      0.000000E+00    0.000000E+00    1.166700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.394534E+01      8.860000E-03     0       +3.50      6.500000E-05    0.000000E+00    1.161200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.464926E+01      6.433000E-03     0       +2.50      2.312000E-03    1.500000E-05    1.204300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.326933E+01      6.073000E-03     1       +4.50      0.000000E+00    0.000000E+00    1.055700E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.302757E+01      6.010000E-03     1       +3.50      0.000000E+00    0.000000E+00    1.115300E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
