# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:28:00 2025
#                        
# Element                            : Sc
# Z                                  : 21
# A                                  : 44
# I                                  : 0
# Half-life                   [hours]: 4.04167 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.445513E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 24
# Number of resonances (<Emax2)      : 27
# Thermal  (n,g) xs (calculated) [b.]: 5.023010E+00 
# Ress Int. (n,g) (systematics)  [b.]: 5.854920E+01 
# MACS 30 keV (calculated)       [b.]: 7.883100E-02
# Westcott factor (calculated)       : 1.000770E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.488190E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.696240E+01 
#
# Scattering radius              [fm]: 3.85 
#
# Average Gtotal   l=0           [eV]: 9.633730E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.942440E-02 
# Average Gg       l=0           [eV]: 6.667000E-01 
# Average level spacing D0 (l=0) [eV]: 4.222760E+02 
# Neutron strength function S0 (l=0) : 3.503360E-05 
#
# Average Gtotal   l=1           [eV]: 5.917650E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.036810E-02 
# Average Gg       l=1           [eV]: 5.915700E-01 
# Average level spacing D1 (l=1) [eV]: 4.222760E+02 
# Neutron strength function S1 (l=1) : 1.581000E-05 
#
# Average Gtotal   l=2           [eV]: 6.247650E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 2.332700E-02 
# Average Gg       l=2           [eV]: 6.247650E-01 
# Average level spacing D2 (l=2) [eV]: 2.815170E+02 
# Neutron strength function S2 (l=2) : 1.434270E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.843887E+02      1.983940E-01     1       +3.50      0.000000E+00    0.000000E+00    5.629500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.700722E+02      1.955080E-01     1       +2.50      1.290000E-04    1.000000E-06    6.488100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -8.882477E+02      1.790170E-01     0       +2.50      9.356000E-01    4.714000E-03    6.559800E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -7.171942E+02      1.445430E-01     2       +2.50      0.000000E+00    0.000000E+00    6.559900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.677422E+02      1.345770E-01     2       +4.50      0.000000E+00    0.000000E+00    5.455900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.000948E+02      1.209430E-01     1       +3.50      1.240000E-04    1.000000E-06    5.629500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.370841E+02      1.082440E-01     2       +3.50      0.000000E+00    0.000000E+00    5.742800E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -5.336337E+02      1.075490E-01     0       +1.50      3.104900E-01    1.564000E-03    6.720600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.944499E+02      7.949700E-02     2       +0.50      0.000000E+00    0.000000E+00    7.071200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.818263E+02      7.695300E-02     1       +2.50      2.250000E-04    1.000000E-06    6.488100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.510087E+02      7.074200E-02     1       +3.50      2.100000E-05    0.000000E+00    5.629500E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
