# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:35:05 2025
#                        
# Element                            : Se
# Z                                  : 34
# A                                  : 74
# I                                  : 0
# Abundancy                       [%]: 0.89
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.216000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 147
# Number of resonances (<Emax2)      : 147
# Thermal  (n,g) xs (calculated) [b.]: 5.217070E+01 
# Res. Int (n,g) (calculated)    [b.]: 5.667340E+02  
# MACS 30 keV (calculated)       [b.]: 2.787100E-01
# Westcott factor (calculated)       : 1.001200E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.138590E+00 
# Res. Int (n,el) (calculated)   [b.]: 7.212080E+02 
#
# Scattering radius              [fm]: 7.00 
#
# Average Gtotal   l=0           [eV]: 3.604800E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.356670E-02 
# Average Gg       l=0           [eV]: 2.299980E-01 
# Average level spacing D0 (l=0) [eV]: 2.577140E+02 
# Neutron strength function S0 (l=0) : 2.554650E-04 
#
# Average Gtotal   l=1           [eV]: 2.273440E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.227120E-02 
# Average Gg       l=1           [eV]: 1.993990E-01 
# Average level spacing D1 (l=1) [eV]: 1.472650E+02 
# Neutron strength function S1 (l=1) : 1.805600E-04 
#
# Average Gtotal   l=2           [eV]: 1.903370E-01 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.973520E-02 
# Average Gg       l=2           [eV]: 1.903210E-01 
# Average level spacing D2 (l=2) [eV]: 1.127500E+02 
# Neutron strength function S2 (l=2) : 8.537810E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.133123E+02      1.047360E-01     1       +0.50      1.190000E-04    1.000000E-06    2.033800E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.707219E+02      7.564200E-02     1       +0.50      3.950000E-04    2.000000E-06    2.033800E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.580000E+02      3.223800E-02     0       +0.50      3.728700E+00    1.902000E-02    2.000000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.713000E+01      5.536000E-03     0       +0.50      1.616300E-01    8.240000E-04    2.100000E-01    1.050000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.715000E+02      5.539700E-02     0       +0.50      4.278400E+00    2.182400E-02    3.000000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.768508E+02      7.689300E-02     1       +0.50      2.071000E-03    1.100000E-05    2.033800E-01    1.016900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.812617E+02      7.779300E-02     1       +1.50      4.760000E-04    2.000000E-06    1.971600E-01    9.858000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.316164E+02      1.288750E-01     0       +0.50      2.016100E-01    1.028000E-03    2.109500E-01    1.054800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.925688E+02      1.617160E-01     1       +1.50      2.242000E-03    1.100000E-05    1.971600E-01    9.858000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.183053E+02      1.669670E-01     0       +0.50      2.276000E+00    1.161000E-02    2.109500E-01    1.054800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.267781E+02      1.891000E-01     2       +2.50      0.000000E+00    0.000000E+00    1.820900E-01    9.105000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
