# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:32:53 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 147
# I                                  : 0
# Abundancy                       [%]: 14.99
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.989000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 212
# Number of resonances (<Emax2)      : 212
# Thermal  (n,g) xs (calculated) [b.]: 5.705360E+01 
# Res. Int (n,g) (calculated)    [b.]: 7.792750E+02  
# MACS 30 keV (calculated)       [b.]: 9.384100E-01
# Westcott factor (calculated)       : 1.000860E+00
#
# Thermal (n,el) xs (calculated) [b.]: 7.219510E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.557270E+02 
#
# Scattering radius              [fm]: 8.30 
#
# Average Gtotal   l=0           [eV]: 1.961000E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.605560E-03 
# Average Gg       l=0           [eV]: 7.407110E-02 
# Average level spacing D0 (l=0) [eV]: 2.050520E+01 
# Neutron strength function S0 (l=0) : 1.648180E-04 
#
# Average Gtotal   l=1           [eV]: 3.316640E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.954730E+00 
# Average Gg       l=1           [eV]: 7.407100E-02 
# Average level spacing D1 (l=1) [eV]: 1.775890E+01 
# Neutron strength function S1 (l=1) : 2.544960E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.673000E+01      3.933000E-03     0       +4.00      1.961500E-01    1.153000E-03    9.140000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.397000E+00      7.980000E-04     0       +3.00      1.326000E-03    8.000000E-06    6.500000E-02    3.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.832000E+01      4.306000E-03     0       +4.00      6.933300E-02    4.070000E-04    7.000000E-02    3.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.716000E+01      6.384000E-03     0       +3.00      6.800000E-03    4.000000E-05    7.900000E-02    3.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.974000E+01      6.991000E-03     0       +3.00      1.474300E-02    8.700000E-05    7.300000E-02    3.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.210000E+01      7.545000E-03     0       +4.00      3.822200E-02    2.250000E-04    6.800000E-02    3.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.964000E+01      9.318000E-03     0       +4.00      7.022200E-02    4.130000E-04    6.700000E-02    3.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.071000E+01      9.569000E-03     0       +3.00      5.143000E-03    3.000000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.934000E+01      1.159800E-02     0       +4.00      1.511100E-02    8.900000E-05    7.500000E-02    3.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.804000E+01      1.364300E-02     0       +3.00      4.228600E-02    2.480000E-04    7.700000E-02    3.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.510000E+01      1.530200E-02     0       +3.00      5.829000E-03    3.400000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.612000E+01      1.789300E-02     0       +4.00      1.706700E-02    1.000000E-04    7.400000E-02    3.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.988000E+01      1.877700E-02     0       +4.00      3.556000E-03    2.100000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.355000E+01      1.963900E-02     0       +3.00      7.520000E-02    4.420000E-04    7.600000E-02    3.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.490000E+01      2.230700E-02     1       +5.00      4.073000E-03    2.400000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.950000E+01      2.338800E-02     0       +4.00      2.320000E-01    1.363000E-03    7.900000E-02    3.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.026000E+02      2.411700E-02     0       +3.00      1.954300E-01    1.148000E-03    7.600000E-02    3.800000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.069000E+02      2.512800E-02     0       +4.00      4.177800E-02    2.460000E-04    8.200000E-02    4.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.085800E+02      2.552300E-02     0       +4.00      8.890000E-04    5.000000E-06    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.236500E+02      2.906500E-02     0       +3.00      1.771400E-01    1.041000E-03    7.300000E-02    3.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.400000E+02      3.290800E-02     0       +3.00      8.800000E-02    5.170000E-04    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.432700E+02      3.367700E-02     0       +4.00      2.400000E-03    1.400000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.515400E+02      3.562100E-02     0       +3.00      1.634300E-01    9.600000E-04    7.500000E-02    3.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.609000E+02      3.782100E-02     0       +3.00      5.485700E-02    3.220000E-04    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.617400E+02      3.801900E-02     0       +4.00      1.306700E-02    7.700000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.636200E+02      3.846100E-02     0       +4.00      1.333300E-01    7.840000E-04    7.700000E-02    3.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.717500E+02      4.037200E-02     0       +4.00      1.422200E-02    8.400000E-05    6.900000E-02    3.450000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.795900E+02      4.221400E-02     0       +3.00      1.028600E-02    6.000000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.841200E+02      4.327900E-02     0       +3.00      3.885700E-01    2.283000E-03    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.910400E+02      4.490600E-02     0       +3.00      3.428600E-02    2.010000E-04    7.900000E-02    3.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.935000E+02      4.548400E-02     0       +4.00      4.978000E-03    2.900000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.980300E+02      4.654900E-02     0       +3.00      1.200000E-02    7.100000E-05    6.100000E-02    3.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.060300E+02      4.842900E-02     0       +4.00      1.848900E-01    1.087000E-03    8.300000E-02    4.150000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.216500E+02      5.210100E-02     0       +3.00      1.314300E-01    7.720000E-04    6.700000E-02    3.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.252800E+02      5.295400E-02     0       +3.00      2.400000E-01    1.410000E-03    8.600000E-02    4.300000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.279000E+02      5.357000E-02     0       +4.00      2.578000E-03    1.500000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.287000E+02      5.375800E-02     0       +4.00      1.867000E-03    1.100000E-05    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.407600E+02      5.659300E-02     0       +4.00      1.244400E-02    7.300000E-05    9.100000E-02    4.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.476200E+02      5.820600E-02     0       +4.00      1.386700E-01    8.150000E-04    6.900000E-02    3.450000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.571300E+02      6.044100E-02     0       +3.00      9.828600E-02    5.780000E-04    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.635700E+02      6.195500E-02     0       +3.00      7.428600E-02    4.370000E-04    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.662300E+02      6.258000E-02     0       +4.00      1.777800E-01    1.045000E-03    7.200000E-02    3.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.707600E+02      6.364500E-02     0       +3.00      8.914300E-02    5.240000E-04    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.744000E+02      6.450000E-02     0       +3.00      2.057100E-02    1.210000E-04    7.407100E-02    3.704000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
