# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:23:41 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 152
# I                                  : 0
# Abundancy                       [%]: 26.75
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.101000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 92
# Thermal  (n,g) xs (calculated) [b.]: 2.059490E+02 
# Res. Int (n,g) (calculated)    [b.]: 2.972820E+03  
# MACS 30 keV (calculated)       [b.]: 4.595000E-01
# Westcott factor (calculated)       : 1.003700E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.094680E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.025480E+03 
#
# Scattering radius              [fm]: 8.30 
#
# Average Gtotal   l=0           [eV]: 6.226280E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.227060E-02 
# Average Gg       l=0           [eV]: 6.577790E-02 
# Average level spacing D0 (l=0) [eV]: 5.863220E+01 
# Neutron strength function S0 (l=0) : 2.116860E-04 
#
# Average Gtotal   l=1           [eV]: 7.019470E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.600640E-02 
# Average Gg       l=1           [eV]: 6.577800E-02 
# Average level spacing D1 (l=1) [eV]: 2.550500E+03 
# Neutron strength function S1 (l=1) : 6.275780E-06 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.360000E+02      3.695900E-02     0       +0.50      1.884600E+00    1.280400E-02    6.100000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.047000E+00      2.187000E-03     0       +0.50      1.350000E-01    9.170000E-04    6.600000E-02    3.300000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.220000E+01      1.690300E-02     0       +0.50      4.000000E-03    2.700000E-05    6.577800E-02    3.289000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.770000E+01      2.383300E-02     0       +0.50      2.060000E-01    1.400000E-03    6.500000E-02    3.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.541000E+02      4.187800E-02     0       +0.50      1.420000E-01    9.650000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.852000E+02      5.033000E-02     0       +0.50      1.900000E-02    1.290000E-04    5.100000E-02    2.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.372000E+02      6.446100E-02     0       +0.50      4.200000E-01    2.853000E-03    6.577800E-02    3.289000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.147000E+02      8.552300E-02     0       +0.50      1.350000E-01    9.170000E-04    6.577800E-02    3.289000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.272000E+02      8.892000E-02     0       +0.50      2.040000E-01    1.386000E-03    6.577800E-02    3.289000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.851000E+02      1.046550E-01     0       +0.50      4.000000E-02    2.720000E-04    4.500000E-02    2.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
