# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:27:19 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 114
# I                                  : 0
# Abundancy                       [%]: 0.66
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.948613E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 143
# Number of resonances (<Emax2)      : 146
# Thermal  (n,g) xs (calculated) [b.]: 1.249340E-01 
# Res. Int (n,g) (calculated)    [b.]: 7.620740E+00  
# MACS 30 keV (calculated)       [b.]: 1.882000E-01
# Westcott factor (calculated)       : 1.000650E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.386310E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.577330E+01 
#
# Scattering radius              [fm]: 6.30 
#
# Average Gtotal   l=0           [eV]: 6.332280E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.120300E-02 
# Average Gg       l=0           [eV]: 4.778610E-02 
# Average level spacing D0 (l=0) [eV]: 2.249370E+02 
# Neutron strength function S0 (l=0) : 5.206890E-05 
#
# Average Gtotal   l=1           [eV]: 6.588820E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.393690E-01 
# Average Gg       l=1           [eV]: 4.275210E-02 
# Average level spacing D1 (l=1) [eV]: 9.897230E+01 
# Neutron strength function S1 (l=1) : 8.533960E-04 
#
# Average Gtotal   l=2           [eV]: 3.677120E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 6.764550E-03 
# Average Gg       l=2           [eV]: 3.676910E-02 
# Average level spacing D2 (l=2) [eV]: 7.171900E+01 
# Neutron strength function S2 (l=2) : 4.927760E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +1.580000E+02      3.370500E-02     1       +1.50      1.565000E-03    8.000000E-06    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.775000E+02      5.919600E-02     0       +0.50      3.859500E-01    2.058000E-03    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.660000E+02      1.420710E-01     1       +1.50      1.303900E-01    6.950000E-04    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.840000E+02      2.099070E-01     0       +0.50      4.913000E-01    2.620000E-03    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.367000E+03      2.916080E-01     0       +0.50      2.315700E-01    1.235000E-03    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.980000E+03      4.223740E-01     0       +0.50      9.283600E-01    4.951000E-03    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.996016E+03      4.257900E-01     1       +0.50      6.512800E-02    3.470000E-04    4.227800E-02    2.114000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.021963E+03      4.313250E-01     1       +1.50      4.703000E-03    2.500000E-05    4.005100E-02    2.003000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.072276E+03      4.420580E-01     0       +0.50      1.169500E-01    6.240000E-04    3.889900E-02    1.945000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.075548E+03      4.427560E-01     2       +1.50      0.000000E+00    0.000000E+00    3.757100E-02    1.879000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.122415E+03      4.527540E-01     0       +0.50      1.106800E-02    5.900000E-05    3.889900E-02    1.945000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.144233E+03      4.574080E-01     2       +2.50      0.000000E+00    0.000000E+00    3.620200E-02    1.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.158958E+03      4.605490E-01     1       +1.50      1.078000E-02    5.700000E-05    4.005100E-02    2.003000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.214159E+03      4.723240E-01     1       +1.50      3.974000E-03    2.100000E-05    4.005100E-02    2.003000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.222253E+03      4.740510E-01     2       +1.50      0.000000E+00    0.000000E+00    3.757100E-02    1.879000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.223135E+03      4.742390E-01     2       +2.50      0.000000E+00    0.000000E+00    3.620200E-02    1.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.264241E+03      4.830080E-01     2       +2.50      2.000000E-06    0.000000E+00    3.620200E-02    1.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.282769E+03      4.869600E-01     2       +2.50      0.000000E+00    0.000000E+00    3.620200E-02    1.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.313814E+03      4.935830E-01     2       +1.50      0.000000E+00    0.000000E+00    3.757100E-02    1.879000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.337386E+03      4.986110E-01     1       +0.50      1.042200E-02    5.600000E-05    4.227800E-02    2.114000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.346156E+03      5.004820E-01     1       +1.50      1.943000E-03    1.000000E-05    4.005100E-02    2.003000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.356117E+03      5.026070E-01     2       +2.50      0.000000E+00    0.000000E+00    3.620200E-02    1.810000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
