# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:26:31 2025
#                        
# Element                            : Tb
# Z                                  : 65
# A                                  : 160
# I                                  : 0
# Half-life                   [days ]: 72.3032 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.499670E+01 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 97
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 3.193500E+02 
# Ress Int. (n,g) (systematics)  [b.]: 5.254240E+03 
# MACS 30 keV (calculated)       [b.]: 4.527800E+00
# Westcott factor (calculated)       : 1.015210E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.672480E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.026710E+02 
#
# Scattering radius              [fm]: 11.68 
#
# Average Gtotal   l=0           [eV]: 7.849620E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.766770E-03 
# Average Gg       l=0           [eV]: 7.122410E-02 
# Average level spacing D0 (l=0) [eV]: 8.973510E-01 
# Neutron strength function S0 (l=0) : 1.007050E-03 
#
# Average Gtotal   l=1           [eV]: 6.720400E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.375460E-05 
# Average Gg       l=1           [eV]: 6.720390E-02 
# Average level spacing D1 (l=1) [eV]: 6.363030E-01 
# Neutron strength function S1 (l=1) : 6.743380E-06 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.000000E+00      5.550000E-04     0       +3.50      5.590000E-04    4.000000E-06    1.070000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.420000E+00      3.940000E-04     0       +3.50      1.939000E-03    1.300000E-05    1.190000E-01    5.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.210000E+00      6.130000E-04     0       +3.50      5.060000E-04    4.000000E-06    8.580000E-02    4.290000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.270000E+00      2.293000E-03     0       +3.50      5.659000E-03    3.900000E-05    1.024000E-01    5.120000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.392720E+00      2.605000E-03     0       +3.50      2.968000E-03    2.100000E-05    6.746500E-02    3.373000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.579606E+00      2.657000E-03     0       +2.50      1.667000E-03    1.200000E-05    7.014500E-02    3.507000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.015774E+01      2.817000E-03     1       +3.50      0.000000E+00    0.000000E+00    6.713900E-02    3.357000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.069464E+01      2.966000E-03     0       +2.50      6.590000E-03    4.600000E-05    7.014500E-02    3.507000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.116071E+01      3.095000E-03     1       +4.50      0.000000E+00    0.000000E+00    6.393300E-02    3.197000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.165915E+01      3.233000E-03     1       +3.50      0.000000E+00    0.000000E+00    6.713900E-02    3.357000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.192260E+01      3.306000E-03     0       +3.50      1.470700E-02    1.020000E-04    6.746500E-02    3.373000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.216057E+01      3.372000E-03     1       +4.50      0.000000E+00    0.000000E+00    6.393300E-02    3.197000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.217831E+01      3.377000E-03     0       +2.50      5.382700E-02    3.730000E-04    7.014500E-02    3.507000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.273929E+01      3.533000E-03     1       +3.50      0.000000E+00    0.000000E+00    6.713900E-02    3.357000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.273944E+01      3.533000E-03     0       +3.50      8.780000E-04    6.000000E-06    6.746500E-02    3.373000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.311297E+01      3.636000E-03     1       +4.50      0.000000E+00    0.000000E+00    6.393300E-02    3.197000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.360514E+01      3.773000E-03     1       +2.50      0.000000E+00    0.000000E+00    6.971500E-02    3.486000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.398307E+01      3.878000E-03     1       +4.50      0.000000E+00    0.000000E+00    6.393300E-02    3.197000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.403249E+01      3.891000E-03     0       +3.50      5.306000E-03    3.700000E-05    6.746500E-02    3.373000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.415230E+01      3.925000E-03     1       +3.50      0.000000E+00    0.000000E+00    6.713900E-02    3.357000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.427349E+01      3.958000E-03     1       +2.50      0.000000E+00    0.000000E+00    6.971500E-02    3.486000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.442636E+01      4.001000E-03     0       +2.50      3.550000E-04    2.000000E-06    7.014500E-02    3.507000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.461894E+01      4.054000E-03     1       +1.50      0.000000E+00    0.000000E+00    7.166600E-02    3.583000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.484472E+01      4.117000E-03     1       +3.50      0.000000E+00    0.000000E+00    6.713900E-02    3.357000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.532775E+01      4.251000E-03     1       +2.50      0.000000E+00    0.000000E+00    6.971500E-02    3.486000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.560086E+01      4.326000E-03     1       +1.50      0.000000E+00    0.000000E+00    7.166600E-02    3.583000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.572264E+01      4.360000E-03     1       +4.50      0.000000E+00    0.000000E+00    6.393300E-02    3.197000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
