# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:51:00 2025
#                        
# Element                            : Te
# Z                                  : 52
# A                                  : 129
# I                                  : 1
# Half-life                   [days ]: 33.5995 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.425891E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 14
# Number of resonances (<Emax2)      : 19
# Thermal  (n,g) xs (calculated) [b.]: 1.059690E+02 
# Ress Int. (n,g) (systematics)  [b.]: 5.244960E+02 
# MACS 30 keV (calculated)       [b.]: 2.140700E-01
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.137580E+01 
# Res. Int (n,el) (calculated)   [b.]: 5.072000E+02 
#
# Scattering radius              [fm]: 5.09 
#
# Average Gtotal   l=0           [eV]: 5.297250E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.974390E-02 
# Average Gg       l=0           [eV]: 2.329600E-01 
# Average level spacing D0 (l=0) [eV]: 1.425890E+02 
# Neutron strength function S0 (l=0) : 2.555030E-04 
#
# Average Gtotal   l=1           [eV]: 2.695750E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.441340E-01 
# Average Gg       l=1           [eV]: 2.695750E-01 
# Average level spacing D1 (l=1) [eV]: 1.425890E+02 
# Neutron strength function S1 (l=1) : 1.624700E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.213833E+02      6.387100E-02     0       +5.00      7.256600E-01    5.234000E-03    2.329600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.891265E+02      5.456500E-02     2       +7.00      0.000000E+00    0.000000E+00    1.761100E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.818550E+02      5.246700E-02     2       +5.00      0.000000E+00    0.000000E+00    2.329600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.727324E+02      4.983500E-02     2       +3.00      0.000000E+00    0.000000E+00    3.061900E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.004092E+02      2.896900E-02     0       +5.00      3.077800E-01    2.220000E-03    2.329600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -7.937200E+01      2.290000E-02     2       +8.00      0.000000E+00    0.000000E+00    1.472000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.536117E+01      1.885700E-02     2       +6.00      0.000000E+00    0.000000E+00    1.984400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.120698E+01      9.004000E-03     1       +7.00      1.390000E-04    1.000000E-06    1.745600E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.669286E+01      7.701000E-03     0       +6.00      4.710300E-01    3.397000E-03    1.984400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.967909E+01      5.678000E-03     1       +4.00      0.000000E+00    0.000000E+00    2.426400E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.779650E+01      5.134000E-03     1       +5.00      2.500000E-05    0.000000E+00    2.210200E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.161496E+01      6.236000E-03     0       +5.00      2.267500E-01    1.636000E-03    2.329600E-01    1.164800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.114328E+01      1.764000E-02     2       +5.00      0.000000E+00    0.000000E+00    2.329600E-01    1.164800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.026591E+01      2.027200E-02     2       +3.00      0.000000E+00    0.000000E+00    3.061900E-01    1.531000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.425891E+02      4.113800E-02     0       +5.00      3.667800E-01    2.646000E-03    2.329600E-01    1.164800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.776371E+02      5.125000E-02     2       +6.00      0.000000E+00    0.000000E+00    1.984400E-01    9.922000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.851946E+02      5.343000E-02     2       +4.00      0.000000E+00    0.000000E+00    2.533900E-01    1.267000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.117913E+02      6.110400E-02     1       +7.00      2.456000E-03    1.800000E-05    1.745600E-01    8.728000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.233192E+02      6.443000E-02     1       +4.00      1.200000E-05    0.000000E+00    2.426400E-01    1.213200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
