# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:49:52 2025
#                        
# Element                            : Th
# Z                                  : 90
# A                                  : 230
# I                                  : 0
# Half-life                   [years]: 75437.6 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.640000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 29
# Number of resonances (<Emax2)      : 29
# Thermal  (n,g) xs (calculated) [b.]: 2.299640E+01 
# Res. Int (n,g) (calculated)    [b.]: 9.759040E+02  
# MACS 30 keV (calculated)       [b.]: 6.661900E-01
# Westcott factor (calculated)       : 1.014010E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.044860E+01 
# Res. Int (n,el) (calculated)   [b.]: 2.403030E+02 
#
# Thermal  (n,f) xs (calculated) [b.]: 8.962310E-04 
# Resonance Integral (n,f) xs    [b.]: 3.792060E-02
#
# Scattering radius              [fm]: 10.20 
#
# Average Gtotal   l=0           [eV]: 7.780310E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.060910E-03 
# Average Gg       l=0           [eV]: 2.710000E-02 
# Average level spacing D0 (l=0) [eV]: 2.088890E+01 
# Neutron strength function S0 (l=0) : 1.519600E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.600000E+00      2.856000E-03     0       +0.50      1.008800E-02    8.400000E-05    2.600000E-02    0.000000E+00    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.427000E+00      4.740000E-04     0       +0.50      3.580000E-04    3.000000E-06    2.570000E-02    1.285000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.727000E+01      5.736000E-03     0       +0.50      1.310000E-02    1.090000E-04    2.230000E-02    1.115000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.384000E+01      7.918000E-03     0       +0.50      1.110000E-02    9.200000E-05    2.660000E-02    1.330000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.220000E+01      1.069500E-02     0       +0.50      3.300000E-03    2.700000E-05    2.990000E-02    1.495000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.980000E+01      1.322000E-02     0       +0.50      8.500000E-03    7.100000E-05    2.910000E-02    1.455000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.810000E+01      1.597600E-02     0       +0.50      1.000000E-02    8.300000E-05    2.900000E-02    1.450000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.450000E+01      2.142400E-02     0       +0.50      3.100000E-03    2.600000E-05    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.560000E+01      2.511100E-02     0       +0.50      2.700000E-03    2.200000E-05    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.330000E+01      2.766800E-02     0       +0.50      2.480000E-02    2.060000E-04    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.030000E+02      3.421100E-02     0       +0.50      5.200000E-03    4.300000E-05    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.161000E+02      3.856300E-02     0       +0.50      4.030000E-02    3.350000E-04    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.338000E+02      4.444200E-02     0       +0.50      7.500000E-03    6.200000E-05    2.710000E-02    1.355000E-03    +1.000000E-06   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
