# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 15:05:54 2025
#                        
# Element                            : Xe
# Z                                  : 54
# A                                  : 126
# I                                  : 0
# Abundancy                       [%]: 0.089
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.984895E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 360
# Number of resonances (<Emax2)      : 362
# Thermal  (n,g) xs (calculated) [b.]: 2.468700E+00 
# Res. Int (n,g) (calculated)    [b.]: 2.932510E+01  
# MACS 30 keV (calculated)       [b.]: 3.607800E-01
# Westcott factor (calculated)       : 1.000510E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.921600E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.362710E+02 
#
# Scattering radius              [fm]: 4.96 
#
# Average Gtotal   l=0           [eV]: 1.353060E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.587080E-02 
# Average Gg       l=0           [eV]: 8.400270E-02 
# Average level spacing D0 (l=0) [eV]: 8.745430E+01 
# Neutron strength function S0 (l=0) : 3.010110E-04 
#
# Average Gtotal   l=1           [eV]: 9.882600E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.973300E-02 
# Average Gg       l=1           [eV]: 8.660750E-02 
# Average level spacing D1 (l=1) [eV]: 4.085980E+01 
# Neutron strength function S1 (l=1) : 6.975540E-04 
#
# Average Gtotal   l=2           [eV]: 7.770660E-02 
# Average reduced (Gn^2) Gn l=2  [eV]: 3.707440E-02 
# Average Gg       l=2           [eV]: 7.770370E-02 
# Average level spacing D2 (l=2) [eV]: 2.816320E+01 
# Neutron strength function S2 (l=2) : 6.885500E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.180000E+02      2.641300E-02     0       +0.50      6.925700E-01    3.876000E-03    9.300000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.988000E+01      6.688000E-03     0       +0.50      3.489000E-03    2.000000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.495000E+02      5.584800E-02     0       +0.50      8.528300E-02    4.770000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.600000E+02      1.029660E-01     0       +0.50      1.860700E+00    1.041200E-02    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.398526E+02      1.208410E-01     1       +0.50      8.950000E-04    5.000000E-06    9.073000E-02    4.536000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.682350E+02      1.271940E-01     2       +2.50      0.000000E+00    0.000000E+00    7.603800E-02    3.802000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.003753E+02      1.343880E-01     1       +1.50      9.130000E-04    5.000000E-06    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.176266E+02      1.382500E-01     0       +0.50      2.285400E+00    1.278900E-02    8.351200E-02    4.176000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.336050E+02      1.418260E-01     1       +1.50      3.960000E-04    2.000000E-06    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.344042E+02      1.420050E-01     0       +0.50      3.163300E-01    1.770000E-03    8.351200E-02    4.176000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.433598E+02      1.440100E-01     1       +1.50      1.145000E-03    6.000000E-06    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.503628E+02      1.455770E-01     2       +2.50      0.000000E+00    0.000000E+00    7.603800E-02    3.802000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.049459E+02      1.577950E-01     0       +0.50      4.149400E-02    2.320000E-04    8.351200E-02    4.176000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.309559E+02      1.636170E-01     1       +1.50      1.460000E-03    8.000000E-06    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.686940E+02      1.720640E-01     2       +2.50      0.000000E+00    0.000000E+00    7.603800E-02    3.802000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.812977E+02      1.748860E-01     0       +0.50      6.123500E-01    3.427000E-03    8.351200E-02    4.176000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.182885E+02      1.831660E-01     1       +1.50      3.111000E-03    1.700000E-05    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.346211E+02      1.868220E-01     1       +1.50      1.074000E-03    6.000000E-06    8.447000E-02    4.223000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.529547E+02      1.909250E-01     1       +0.50      9.630000E-04    5.000000E-06    9.073000E-02    4.536000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
