# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 17:33:28 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 91
# I                                  : 0
# Abundancy                       [%]: 11.22
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.980100E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 109
# Number of resonances (<Emax2)      : 109
# Thermal  (n,g) xs (calculated) [b.]: 1.304120E+00 
# Res. Int (n,g) (calculated)    [b.]: 5.721710E+00  
# MACS 30 keV (calculated)       [b.]: 6.460300E-02
# Westcott factor (calculated)       : 1.000500E+00
#
# Thermal (n,el) xs (calculated) [b.]: 9.664160E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.276970E+02 
#
# Scattering radius              [fm]: 7.90 
#
# Average Gtotal   l=0           [eV]: 3.407730E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.381270E-02 
# Average Gg       l=0           [eV]: 1.170970E-01 
# Average level spacing D0 (l=0) [eV]: 6.000300E+02 
# Neutron strength function S0 (l=0) : 3.655080E-05 
#
# Average Gtotal   l=1           [eV]: 2.007350E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 6.436320E-01 
# Average Gg       l=1           [eV]: 1.880400E-01 
# Average level spacing D1 (l=1) [eV]: 2.750140E+02 
# Neutron strength function S1 (l=1) : 3.831900E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.750000E+02      1.009800E-01     0       +2.00      9.447900E+00    5.021400E-02    1.428000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.540000E+02      5.399800E-02     0       +3.00      1.880600E+00    9.995000E-03    1.428000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.594000E+02      3.388700E-02     1       +1.00      3.800000E-04    2.000000E-06    1.171000E-01    5.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.817300E+02      3.863400E-02     1       +4.00      6.933000E-03    3.700000E-05    1.740000E-01    8.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.401000E+02      5.104300E-02     1       +2.00      4.080000E-03    2.200000E-05    2.700000E-01    1.350000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.924100E+02      6.216300E-02     0       +3.00      6.428600E-01    3.417000E-03    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.494400E+02      9.554600E-02     1       +3.00      3.514000E-03    1.900000E-05    1.171000E-01    5.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.814300E+02      1.448650E-01     0       +3.00      8.400000E-01    4.464000E-03    1.070000E-01    5.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.926700E+02      1.897730E-01     1       +4.00      2.200000E-02    1.170000E-04    1.171000E-01    5.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.531400E+03      3.255600E-01     0       +2.00      1.052400E+01    5.593400E-02    1.380000E-01    6.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.533100E+03      3.259220E-01     1       +2.00      1.908000E-01    1.014000E-03    1.590000E-01    7.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.953700E+03      4.153370E-01     1       +3.00      3.025700E-01    1.608000E-03    2.260000E-01    1.130000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.997600E+03      4.246700E-01     0       +3.00      2.142900E-02    1.140000E-04    1.171000E-01    5.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.012300E+03      4.277950E-01     1       +2.00      4.320000E-01    2.296000E-03    1.900000E-01    9.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.361400E+03      5.020100E-01     0       +2.00      9.000000E-03    4.800000E-05    1.171000E-01    5.855000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.384200E+03      5.068570E-01     1       +3.00      1.457100E-01    7.740000E-04    1.330000E-01    6.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
