# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 20:46:20 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 93
# I                                  : 0
# Half-life                   [years]: 1.61117e+06 
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.801000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 53
# Number of resonances (<Emax2)      : 53
# Thermal  (n,g) xs (calculated) [b.]: 6.911740E-01 
# Res. Int (n,g) (calculated)    [b.]: 1.755080E+01  
# MACS 30 keV (calculated)       [b.]: 9.624600E-02
# Westcott factor (calculated)       : 1.000780E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.780170E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.842260E+01 
#
# Scattering radius              [fm]: 6.58 
#
# Average Gtotal   l=0           [eV]: 1.638230E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.506870E-02 
# Average Gg       l=0           [eV]: 1.545830E-01 
# Average level spacing D0 (l=0) [eV]: 4.534000E+02 
# Neutron strength function S0 (l=0) : 2.923550E-05 
#
# Average Gtotal   l=1           [eV]: 6.337470E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.037720E+00 
# Average Gg       l=1           [eV]: 1.918070E-01 
# Average level spacing D1 (l=1) [eV]: 1.889170E+02 
# Neutron strength function S1 (l=1) : 7.506380E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +1.104300E+02      2.449600E-02     0       +2.00      3.480000E-01    1.930000E-03    1.410000E-01    7.050000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.250800E+02      4.992700E-02     1       +4.00      1.200000E-02    6.700000E-05    3.300000E-01    1.650000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.692500E+02      1.484530E-01     0       +2.00      1.059600E-01    5.880000E-04    1.400000E-01    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.933700E+02      1.538030E-01     0       +2.00      7.539600E-01    4.181000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.825000E+02      1.957560E-01     1       +3.00      8.057000E-03    4.500000E-05    1.545800E-01    7.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.344600E+02      2.072820E-01     1       +4.00      8.400000E-02    4.660000E-04    2.420000E-01    1.210000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.011000E+03      2.242600E-01     1       +4.00      4.800000E-02    2.660000E-04    1.545800E-01    7.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.237900E+03      2.745910E-01     1       +4.00      1.333300E-02    7.400000E-05    1.545800E-01    7.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.497900E+03      3.322640E-01     1       +4.00      4.267000E-03    2.400000E-05    1.545800E-01    7.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.575300E+03      3.494330E-01     1       +1.00      2.720000E-01    1.508000E-03    1.770000E-01    8.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.642600E+03      3.643620E-01     1       +2.00      9.120000E-02    5.060000E-04    1.750000E-01    8.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.709300E+03      3.791570E-01     1       +4.00      1.466700E-02    8.100000E-05    1.545800E-01    7.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.743700E+03      3.867880E-01     1       +1.00      4.880000E-01    2.706000E-03    2.460000E-01    1.230000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
