# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 17:29:50 2025
#                        
# Element                            : Ce
# Z                                  : 58
# A                                  : 140
# I                                  : 0
# Abundancy                       [%]: 88.45
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.000000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 167
# Number of resonances (<Emax2)      : 198
# Thermal  (n,g) xs (calculated) [b.]: 5.315650E-02 
# Res. Int (n,g) (calculated)    [b.]: 1.005280E-01  
# MACS 30 keV (calculated)       [b.]: 8.341500E-03
# Westcott factor (calculated)       : 1.000530E+00
#
# Thermal (n,el) xs (calculated) [b.]: 2.883360E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.921570E+01 
#
# Scattering radius              [fm]: 5.60 
#
# Average Gtotal   l=0           [eV]: 1.709380E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.956470E-01 
# Average Gg       l=0           [eV]: 5.285000E-02 
# Average level spacing D0 (l=0) [eV]: 5.128210E+03 
# Neutron strength function S0 (l=0) : 1.191290E-04 
#
# Average Gtotal   l=1           [eV]: 9.975300E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.314260E-01 
# Average Gg       l=1           [eV]: 4.198890E-02 
# Average level spacing D1 (l=1) [eV]: 1.600000E+03 
# Neutron strength function S1 (l=1) : 5.726340E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.000000E+02      1.767080E-01     0       +0.50      4.000000E+00    2.524400E-02    3.500000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.543400E+03      6.420560E-01     0       +0.50      5.900000E-01    3.724000E-03    4.760000E-02    2.380000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.640000E+03      1.423762E+00     1       +0.50      1.500000E-02    9.500000E-05    4.060000E-02    2.030000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.008000E+03      1.516659E+00     0       +0.50      1.000000E+00    6.311000E-03    2.660000E-02    1.330000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.328000E+03      1.597440E+00     1       +0.50      2.000000E-03    1.300000E-05    4.060000E-02    2.030000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.779000E+03      1.711291E+00     1       +0.50      1.140000E-01    7.190000E-04    2.660000E-02    1.330000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.393000E+03      2.118729E+00     1       +0.50      9.400000E-01    5.932000E-03    5.180000E-02    2.590000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.573000E+03      2.416608E+00     0       +0.50      5.180000E+01    3.269140E-01    3.500000E-02    1.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.032800E+04      2.607200E+00     1       +0.50      5.000000E-03    3.200000E-05    4.060000E-02    2.030000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.122800E+04      2.834396E+00     1       +1.50      2.350000E-01    1.483000E-03    3.220000E-02    1.610000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
