# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 17:30:31 2025
#                        
# Element                            : Dy
# Z                                  : 66
# A                                  : 156
# I                                  : 0
# Abundancy                       [%]: 0.056
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.000000E+01 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 13
# Number of resonances (<Emax2)      : 17
# Thermal  (n,g) xs (calculated) [b.]: 3.301970E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.057860E+03  
# MACS 30 keV (calculated)       [b.]: 2.052200E+00
# Westcott factor (calculated)       : 1.008690E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.993890E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.155910E+01 
#
# Scattering radius              [fm]: 8.10 
#
# Average Gtotal   l=0           [eV]: 8.748620E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.601830E-04 
# Average Gg       l=0           [eV]: 8.360000E-02 
# Average level spacing D0 (l=0) [eV]: 4.166670E+00 
# Neutron strength function S0 (l=0) : 1.976480E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.150000E+00      5.000000E-04     0       +0.50      2.000000E-04    1.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.210000E+00      7.470000E-04     0       +0.50      8.000000E-04    5.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.190000E+00      2.138000E-03     0       +0.50      6.000000E-04    3.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.520000E+01      3.535000E-03     0       +0.50      4.600000E-03    2.700000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.740000E+01      4.047000E-03     0       +0.50      3.200000E-04    2.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.770000E+01      4.117000E-03     0       +0.50      1.000000E-04    1.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.960000E+01      4.559000E-03     0       +0.50      9.000000E-03    5.200000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.450000E+01      5.698000E-03     0       +0.50      2.400000E-03    1.400000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.740000E+01      6.373000E-03     0       +0.50      4.000000E-04    2.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.810000E+01      6.536000E-03     0       +0.50      4.000000E-04    2.000000E-06    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.930000E+01      6.815000E-03     0       +0.50      8.700000E-03    5.100000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.600000E+01      8.373000E-03     0       +0.50      9.000000E-03    5.200000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.690000E+01      1.090800E-02     0       +0.50      1.400000E-02    8.100000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.200000E+01      1.209500E-02     0       +0.50      1.600000E-02    9.300000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.860000E+01      1.595600E-02     0       +0.50      5.400000E-02    3.140000E-04    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.550000E+01      1.988600E-02     0       +0.50      1.500000E-02    8.700000E-05    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.090000E+01      2.114200E-02     0       +0.50      4.200000E-02    2.440000E-04    8.360000E-02    4.180000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
