# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Thu Nov 20 03:05:11 2025
#                        
# Element                            : Dy
# Z                                  : 66
# A                                  : 162
# I                                  : 0
# Abundancy                       [%]: 25.475
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.000000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 75
# Number of resonances (<Emax2)      : 142
# Thermal  (n,g) xs (calculated) [b.]: 1.937850E+02 
# Res. Int (n,g) (calculated)    [b.]: 2.747270E+03  
# MACS 30 keV (calculated)       [b.]: 5.165400E-01
# Westcott factor (calculated)       : 1.005160E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.532630E-04 
# Res. Int (n,el) (calculated)   [b.]: 7.566730E+02 
#
# Scattering radius              [fm]: 7.50 
#
# Average Gtotal   l=0           [eV]: 6.958770E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.370650E-02 
# Average Gg       l=0           [eV]: 1.145900E-01 
# Average level spacing D0 (l=0) [eV]: 7.352940E+01 
# Neutron strength function S0 (l=0) : 1.891490E-04 
#
# Average Gtotal   l=1           [eV]: 5.779230E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.155400E+01 
# Average Gg       l=1           [eV]: 1.145900E+00 
# Average level spacing D1 (l=1) [eV]: 1.000000E+03 
# Neutron strength function S1 (l=1) : 8.621580E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +5.440000E+00      1.487000E-03     0       +0.50      2.100000E-02    1.440000E-04    1.480000E-01    7.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.110000E+01      1.943700E-02     0       +0.50      4.000000E-01    2.734000E-03    1.250000E-01    6.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.172200E+02      3.204600E-02     0       +0.50      9.500000E-03    6.500000E-05    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.079700E+02      5.685500E-02     0       +0.50      2.400000E-02    1.640000E-04    1.050000E-01    5.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.232900E+02      6.104300E-02     0       +0.50      3.700000E-02    2.530000E-04    1.150000E-01    5.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.693600E+02      7.363800E-02     0       +0.50      6.200000E-01    4.237000E-03    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.570200E+02      9.760200E-02     0       +0.50      2.630000E-02    1.800000E-04    1.050000E-01    5.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.127500E+02      1.128380E-01     0       +0.50      1.500000E-01    1.025000E-03    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.703200E+02      1.285760E-01     0       +0.50      8.000000E-03    5.500000E-05    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.298300E+02      1.448450E-01     0       +0.50      2.800000E-01    1.914000E-03    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.328000E+02      1.729950E-01     0       +0.50      1.510000E+00    1.032000E-02    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.859600E+02      1.875280E-01     0       +0.50      4.450000E-01    3.041000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.164700E+02      1.958690E-01     0       +0.50      5.900000E-01    4.032000E-03    1.300000E-01    6.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.664200E+02      2.095240E-01     0       +0.50      8.600000E-01    5.878000E-03    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.660000E+02      2.367470E-01     0       +0.50      2.500000E+00    1.708700E-02    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.520800E+02      2.602800E-01     0       +0.50      1.940000E-01    1.326000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.005200E+03      2.748020E-01     0       +0.50      5.100000E-02    3.490000E-04    1.120000E-01    5.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.066500E+03      2.915600E-01     0       +0.50      3.100000E-02    2.120000E-04    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.110600E+03      3.036160E-01     0       +0.50      2.600000E-01    1.777000E-03    1.080000E-01    5.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.261400E+03      3.448420E-01     0       +0.50      8.500000E-01    5.809000E-03    1.145900E-01    5.729000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.360200E+03      3.718510E-01     0       +0.50      1.300000E-01    8.880000E-04    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.387500E+03      3.793150E-01     1       +0.50      4.800000E+00    3.000000E+00    1.145900E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
