# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:07:05 2025
#                        
# Element                            : Dy
# Z                                  : 66
# A                                  : 164
# I                                  : 0
# Abundancy                       [%]: 28.26
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.500000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 76
# Number of resonances (<Emax2)      : 117
# Thermal  (n,g) xs (calculated) [b.]: 2.651140E+03 
# Res. Int (n,g) (calculated)    [b.]: 3.919610E+02  
# MACS 30 keV (calculated)       [b.]: 3.154400E-01
# Westcott factor (calculated)       : 9.881900E-01
#
# Thermal (n,el) xs (calculated) [b.]: 3.220650E+02 
# Res. Int (n,el) (calculated)   [b.]: 7.943160E+02 
#
# Scattering radius              [fm]: 7.50 
#
# Average Gtotal   l=0           [eV]: 2.225200E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.185600E-02 
# Average Gg       l=0           [eV]: 1.061070E-01 
# Average level spacing D0 (l=0) [eV]: 1.734690E+02 
# Neutron strength function S0 (l=0) : 1.873880E-04 
#
# Average Gtotal   l=1           [eV]: 5.624300E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.805380E+01 
# Average Gg       l=1           [eV]: 1.052300E+00 
# Average level spacing D1 (l=1) [eV]: 3.541670E+02 
# Neutron strength function S1 (l=1) : 3.730760E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.880000E+00      5.470000E-04     0       +0.50      5.186000E-02    3.770000E-04    6.140000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.469700E+02      4.275800E-02     0       +0.50      8.200000E-01    5.964000E-03    1.052300E-01    5.262000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.275700E+02      6.620700E-02     1       +0.50      3.600000E+00    4.000000E+00    1.052300E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.504100E+02      1.310380E-01     0       +0.50      2.600000E-01    1.891000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.793900E+02      1.394690E-01     1       +0.50      1.600000E+00    3.000000E+00    1.052300E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.363000E+02      1.560260E-01     0       +0.50      1.160000E-01    8.440000E-04    1.200000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.487600E+02      1.596510E-01     0       +0.50      6.800000E-03    4.900000E-05    1.052300E-01    5.262000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.409100E+02      2.155530E-01     1       +0.50      3.000000E+00    3.000000E+00    1.052300E+00    1.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.042400E+02      2.339780E-01     0       +0.50      8.800000E-03    6.400000E-05    1.052300E-01    5.262000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.538900E+02      2.484220E-01     0       +0.50      5.500000E-01    4.000000E-03    1.052300E-01    5.262000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
