# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 17:29:57 2025
#                        
# Element                            : Er
# Z                                  : 68
# A                                  : 166
# I                                  : 0
# Abundancy                       [%]: 33.503
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.000000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 78
# Number of resonances (<Emax2)      : 78
# Thermal  (n,g) xs (calculated) [b.]: 1.674280E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.182670E+02  
# MACS 30 keV (calculated)       [b.]: 6.425200E-01
# Westcott factor (calculated)       : 1.000120E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.240810E+01 
# Res. Int (n,el) (calculated)   [b.]: 2.066410E+02 
#
# Scattering radius              [fm]: 8.30 
#
# Average Gtotal   l=0           [eV]: 3.544830E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.038360E-03 
# Average Gg       l=0           [eV]: 9.228310E-02 
# Average level spacing D0 (l=0) [eV]: 3.947370E+01 
# Neutron strength function S0 (l=0) : 1.806510E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.040000E+01      1.075000E-02     0       +0.50      3.953000E-01    2.630000E-03    9.200000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.556700E+01      4.142000E-03     0       +0.50      2.630000E-03    1.700000E-05    7.680000E-02    3.840000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.379000E+01      1.963600E-02     0       +0.50      6.500000E-02    4.320000E-04    8.000000E-02    4.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.174000E+01      2.175100E-02     0       +0.50      1.000000E-02    6.700000E-05    8.500000E-02    4.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.106300E+02      2.943900E-02     0       +0.50      6.000000E-05    0.000000E+00    9.200000E-02    4.600000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.541500E+02      4.101900E-02     0       +0.50      7.000000E-03    4.700000E-05    8.900000E-02    4.450000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.709800E+02      4.549800E-02     0       +0.50      4.400000E-01    2.927000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.435900E+02      6.481900E-02     0       +0.50      2.650000E-02    1.760000E-04    1.000000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.011500E+02      8.013600E-02     0       +0.50      1.900000E-01    1.264000E-03    1.050000E-01    5.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.157000E+02      8.400800E-02     0       +0.50      3.600000E-01    2.395000E-03    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
