# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 17:29:38 2025
#                        
# Element                            : Eu
# Z                                  : 63
# A                                  : 153
# I                                  : 0
# Abundancy                       [%]: 52.19
# Data origin                        : jendl5.0
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.500000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 102
# Number of resonances (<Emax2)      : 123
# Thermal  (n,g) xs (calculated) [b.]: 3.126470E+02 
# Res. Int (n,g) (calculated)    [b.]: 1.436970E+03  
# MACS 30 keV (calculated)       [b.]: 2.714400E+00
# Westcott factor (calculated)       : 9.874700E-01
#
# Thermal (n,el) xs (calculated) [b.]: 8.842730E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.937700E+01 
#
# Scattering radius              [fm]: 8.63 
# Scattering radius L= 0         [fm]: 8.63 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 6.637020E-04 
# Average Gg       l=0           [eV]: 1.052960E-01 
# Average level spacing D0 (l=0) [eV]: 1.500000E+00 
# Neutron strength function S0 (l=0) : 2.257590E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.245000E+00      3.230000E-04     0       +2.00      3.060000E-03    2.000000E-05    8.670000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.722946E+00      4.470000E-04     0       +2.00      6.100000E-05    0.000000E+00    9.440000E-02    4.720000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.457534E+00      6.380000E-04     0       +3.00      1.066000E-03    7.000000E-06    9.100000E-02    4.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.294600E+00      8.550000E-04     0       +2.00      1.090000E-03    7.000000E-06    9.680000E-02    4.840000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.942900E+00      1.024000E-03     0       +2.00      1.281000E-03    8.000000E-06    9.480000E-02    4.740000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.771038E+00      1.239000E-03     0       +3.00      3.500000E-05    0.000000E+00    9.700000E-02    4.850000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.158154E+00      1.599000E-03     0       +3.00      5.200000E-04    3.000000E-06    1.002000E-01    5.010000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.857650E+00      2.299000E-03     0       +2.00      4.870000E-03    3.200000E-05    9.100000E-02    4.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.161737E+01      3.016000E-03     0       +3.00      3.411000E-03    2.200000E-05    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.245391E+01      3.233000E-03     0       +3.00      1.330000E-04    1.000000E-06    1.100000E-01    5.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
