# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:24:01 2025
#                        
# Element                            : Ga
# Z                                  : 31
# A                                  : 69
# I                                  : 0
# Abundancy                       [%]: 60.108
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.900000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 31
# Number of resonances (<Emax2)      : 31
# Thermal  (n,g) xs (calculated) [b.]: 1.717290E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.805990E+01  
# MACS 30 keV (calculated)       [b.]: 1.390400E-01
# Westcott factor (calculated)       : 1.000590E+00
#
# Thermal (n,el) xs (calculated) [b.]: 7.625510E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.175890E+01 
#
# Scattering radius              [fm]: 6.90 
#
# Average Gtotal   l=0           [eV]: 5.252690E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.500040E-02 
# Average Gg       l=0           [eV]: 2.620000E-01 
# Average level spacing D0 (l=0) [eV]: 3.470590E+02 
# Neutron strength function S0 (l=0) : 1.342080E-04 
#
# Average Gtotal   l=1           [eV]: 2.861570E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 9.952140E-02 
# Average Gg       l=1           [eV]: 2.620000E-01 
# Average level spacing D1 (l=1) [eV]: 5.363640E+02 
# Neutron strength function S1 (l=1) : 3.044500E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.450000E+02      1.336310E-01     0       +2.00      1.800000E+01    9.323100E-02    2.500000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.108000E+02      2.295600E-02     0       +2.00      6.800000E-02    3.520000E-04    2.700000E-01    1.350000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.338000E+02      6.915700E-02     0       +2.00      1.464000E-01    7.580000E-04    2.100000E-01    1.050000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.727000E+02      9.793400E-02     0       +1.00      1.640000E-01    8.490000E-04    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.320000E+02      1.102200E-01     1       +2.00      3.360000E-03    1.700000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.110000E+02      1.265870E-01     1       +2.00      4.160000E-03    2.200000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.910000E+02      1.431610E-01     0       +2.00      1.264800E+00    6.551000E-03    2.700000E-01    1.350000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.410000E+02      1.949560E-01     1       +3.00      2.971000E-03    1.500000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.252000E+03      2.593890E-01     1       +1.00      9.333000E-03    4.800000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.353800E+03      2.804800E-01     0       +2.00      1.072000E-01    5.550000E-04    2.900000E-01    1.450000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.582300E+03      3.278210E-01     0       +2.00      1.956800E+00    1.013500E-02    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.636500E+03      3.390500E-01     0       +1.00      4.925330E+00    2.551100E-02    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.868000E+03      3.870120E-01     0       +2.00      2.528800E+00    1.309800E-02    2.500000E-01    1.250000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.906000E+03      3.948850E-01     1       +0.00      4.800000E-02    2.490000E-04    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.994000E+03      4.131170E-01     1       +1.00      1.600000E-02    8.300000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.167000E+03      4.489590E-01     1       +3.00      8.571000E-03    4.400000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.456500E+03      5.089380E-01     0       +1.00      1.175870E+01    6.090400E-02    2.900000E-01    1.450000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.989000E+03      6.192610E-01     1       +2.00      6.400000E-02    3.310000E-04    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.078000E+03      6.377000E-01     0       +2.00      7.320000E-01    3.791000E-03    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.377000E+03      6.996470E-01     1       +3.00      1.143000E-02    5.900000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.502600E+03      7.256690E-01     0       +2.00      1.970400E+01    1.020570E-01    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.739000E+03      7.746460E-01     1       +2.00      1.920000E-02    9.900000E-05    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.873000E+03      8.024080E-01     1       +3.00      2.286000E-02    1.180000E-04    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.970000E+03      8.225050E-01     1       +0.00      8.000000E-02    4.140000E-04    2.620000E-01    1.310000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
