# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 17:33:23 2025
#                        
# Element                            : Ir
# Z                                  : 77
# A                                  : 193
# I                                  : 0
# Abundancy                       [%]: 62.7
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.330000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 34
# Number of resonances (<Emax2)      : 40
# Thermal  (n,g) xs (calculated) [b.]: 1.109810E+02 
# Res. Int (n,g) (calculated)    [b.]: 1.316450E+03  
# MACS 30 keV (calculated)       [b.]: 1.086300E+00
# Westcott factor (calculated)       : 1.016820E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.196420E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.144380E+02 
#
# Scattering radius              [fm]: 9.50 
#
# Average Gtotal   l=0           [eV]: 1.060100E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.297520E-03 
# Average Gg       l=0           [eV]: 9.310610E-02 
# Average level spacing D0 (l=0) [eV]: 7.281250E+00 
# Neutron strength function S0 (l=0) : 1.085980E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.105000E+01      3.358000E-03     0       +1.00      6.249400E-02    4.750000E-04    9.300000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.304700E+00      3.960000E-04     0       +2.00      7.040000E-04    5.000000E-06    8.650000E-02    4.325000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.068000E+00      2.756000E-03     0       +2.00      2.240000E-03    1.700000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.451000E+01      7.448000E-03     0       +2.00      3.480000E-03    2.600000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.504000E+01      7.609000E-03     0       +2.00      3.360000E-03    2.600000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.608000E+01      7.925000E-03     0       +2.00      3.464000E-03    2.600000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.157000E+01      1.263300E-02     0       +1.00      3.600000E-03    2.700000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.318000E+01      1.312200E-02     0       +2.00      4.320000E-02    3.280000E-04    1.020000E-01    5.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.243000E+01      1.593300E-02     0       +2.00      3.680000E-03    2.800000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.391000E+01      1.638300E-02     0       +2.00      1.208000E-02    9.200000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.922000E+01      2.103500E-02     0       +2.00      4.800000E-02    3.650000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.147000E+01      2.171900E-02     0       +2.00      1.760000E-03    1.300000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.771000E+01      2.361500E-02     0       +2.00      2.560000E-02    1.940000E-04    9.400000E-02    4.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.080000E+01      2.455400E-02     0       +2.00      2.960000E-03    2.200000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.890000E+01      2.701600E-02     0       +1.00      5.333000E-03    4.100000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.830000E+01      2.987200E-02     0       +2.00      5.800000E-03    4.400000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.099000E+02      3.339800E-02     0       +2.00      1.944000E-02    1.480000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.162000E+02      3.531200E-02     0       +2.00      7.120000E-03    5.400000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.237000E+02      3.759100E-02     0       +2.00      1.280000E-03    1.000000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.276000E+02      3.877600E-02     0       +1.00      2.213000E-03    1.700000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.435000E+02      4.360800E-02     0       +1.00      1.760000E-02    1.340000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.499000E+02      4.555300E-02     0       +2.00      1.440000E-02    1.090000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.515000E+02      4.603900E-02     0       +1.00      2.720000E-02    2.070000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.634000E+02      4.965600E-02     0       +2.00      2.184000E-02    1.660000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.743000E+02      5.296800E-02     0       +2.00      1.280000E-02    9.700000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.789000E+02      5.436600E-02     0       +2.00      1.600000E-02    1.220000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.857000E+02      5.643200E-02     0       +2.00      1.360000E-02    1.030000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.015000E+02      6.123400E-02     0       +2.00      3.120000E-03    2.400000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.060000E+02      6.260100E-02     0       +2.00      9.600000E-03    7.300000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.134000E+02      6.485000E-02     0       +2.00      1.024000E-02    7.800000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.169000E+02      6.591400E-02     0       +1.00      1.227000E-02    9.300000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.220000E+02      6.746400E-02     0       +2.00      7.840000E-03    6.000000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.234000E+02      6.788900E-02     0       +2.00      3.200000E-02    2.430000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.290000E+02      6.959100E-02     0       +2.00      3.200000E-02    2.430000E-04    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.670000E+02      8.113900E-02     0       +1.00      5.333000E-03    4.100000E-05    9.300000E-02    4.650000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
