# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:24:04 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 139
# I                                  : 0
# Abundancy                       [%]: 99.911
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.500000E+04 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 124
# Number of resonances (<Emax2)      : 174
# Thermal  (n,g) xs (calculated) [b.]: 8.936310E+00 
# Res. Int (n,g) (calculated)    [b.]: 1.141980E+01  
# MACS 30 keV (calculated)       [b.]: 3.996600E-02
# Westcott factor (calculated)       : 1.000090E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.003350E+01 
# Res. Int (n,el) (calculated)   [b.]: 7.110040E+01 
#
# Scattering radius              [fm]: 4.80 
#
# Average Gtotal   l=0           [eV]: 2.265260E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.869510E-02 
# Average Gg       l=0           [eV]: 5.804340E-02 
# Average level spacing D0 (l=0) [eV]: 2.419350E+02 
# Neutron strength function S0 (l=0) : 5.763290E-05 
#
# Average Gtotal   l=1           [eV]: 1.341390E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.730180E-01 
# Average Gg       l=1           [eV]: 3.944450E-02 
# Average level spacing D1 (l=1) [eV]: 2.542370E+02 
# Neutron strength function S1 (l=1) : 1.183060E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.863000E+01      1.287400E-02     0       +4.00      1.039000E+00    6.877000E-03    6.010000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.580000E-01      2.010000E-04     1       +4.00      0.000000E+00    0.000000E+00    4.011000E-02    2.006000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.230000E+01      1.914100E-02     0       +4.00      2.091000E-02    1.380000E-04    7.564000E-02    3.782000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.491000E+02      6.594700E-02     1       +3.00      3.820000E-04    3.000000E-06    3.360000E-02    1.680000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.398000E+02      8.995900E-02     1       +3.00      3.700000E-04    2.000000E-06    3.360000E-02    1.680000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.178000E+02      1.635560E-01     0       +3.00      3.051000E-02    2.020000E-04    3.635000E-02    1.818000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.038000E+02      1.863240E-01     1       +5.00      9.018000E-03    6.000000E-05    1.529000E-02    7.650000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.764000E+02      2.320180E-01     0       +3.00      2.923000E-02    1.930000E-04    2.545000E-02    1.273000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.062000E+02      2.399070E-01     1       +5.00      6.531000E-03    4.300000E-05    1.857000E-02    9.290000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.636000E+02      2.551030E-01     0       +4.00      1.536000E-02    1.020000E-04    2.948000E-02    1.474000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
