# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:24:20 2025
#                        
# Element                            : Mg
# Z                                  : 12
# A                                  : 24
# I                                  : 0
# Abundancy                       [%]: 78.99
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.200000E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 9
# Number of resonances (<Emax2)      : 28
# Thermal  (n,g) xs (calculated) [b.]: 5.028620E-02 
# Res. Int (n,g) (calculated)    [b.]: 2.993650E-02  
# MACS 30 keV (calculated)       [b.]: 3.835200E-03
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.748500E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.637920E+01 
#
# Scattering radius              [fm]: 5.40 
#
# Average Gtotal   l=0           [eV]: 3.888690E+04 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.306310E+02 
# Average Gg       l=0           [eV]: 4.420000E+00 
# Average level spacing D0 (l=0) [eV]: 1.733330E+05 
# Neutron strength function S0 (l=0) : 1.138000E-03 
#
# Average Gtotal   l=1           [eV]: 1.493100E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 4.196350E+00 
# Average Gg       l=1           [eV]: 1.417730E+00 
# Average level spacing D1 (l=1) [eV]: 1.733330E+05 
# Neutron strength function S1 (l=1) : 1.313180E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.000000E+05      2.004900E+01     0       +0.50      3.000000E+03    1.503708E+01    1.130000E+01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.635000E+04      9.292711E+00     2       +1.50      7.200000E-01    3.609000E-03    1.100000E+00    5.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.349990E+04      1.674089E+01     1       +1.50      9.000000E+03    4.511124E+01    4.700000E+00    2.350000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.767000E+05      3.542658E+01     2       +1.50      2.000000E+00    1.002500E-02    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.572000E+05      5.156603E+01     2       +1.50      3.800000E+01    1.904700E-01    2.300000E+00    1.150000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.660000E+05      5.333034E+01     1       +0.50      1.150000E+05    5.764214E+02    5.600000E+00    2.800000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.306000E+05      8.633099E+01     1       +1.50      3.100000E+04    1.553832E+02    7.000000E+00    3.500000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.754000E+05      9.531294E+01     2       +2.50      1.333330E+01    6.683100E-02    1.040000E+00    5.200000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.982000E+05      9.988412E+01     1       +1.50      5.299990E+02    2.656546E+00    3.800000E-01    1.900000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.554000E+05      1.113521E+02     2       +1.50      1.000000E+04    5.012360E+01    4.500000E+00    2.250000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.419000E+05      1.286945E+02     1       +0.50      8.999990E+02    4.511119E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.585000E+05      1.320227E+02     0       +0.50      2.100000E+04    1.052596E+02    7.700000E+00    3.850000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.442000E+05      1.692537E+02     2       +1.50      1.300000E+04    6.516068E+01    6.000000E+00    3.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.520000E+05      1.908665E+02     2       +1.50      5.499990E+02    2.756793E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.021800E+06      2.048607E+02     2       +2.50      1.250000E+03    6.265450E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.027300E+06      2.059634E+02     2       +1.50      3.400000E+02    1.704202E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.035200E+06      2.075472E+02     0       +0.50      1.000000E+04    5.012360E+01    5.000000E+00    2.500000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.063500E+06      2.132211E+02     2       +1.50      6.700000E+02    3.358281E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.075200E+06      2.155668E+02     0       +0.50      2.000000E+04    1.002472E+02    5.000000E+00    2.500000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.279700E+06      2.565670E+02     2       +2.50      1.800000E+03    9.022248E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.290900E+06      2.588125E+02     1       +1.50      4.200000E+03    2.105191E+01    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.301300E+06      2.608976E+02     2       +1.50      8.399990E+03    4.210377E+01    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.319200E+06      2.644864E+02     2       +1.50      5.499990E+02    2.756793E+00    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.567000E+06      3.141678E+02     0       +0.50      4.200000E+03    2.105191E+01    5.000000E+00    2.500000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.603000E+06      3.213855E+02     1       +1.50      1.500000E+04    7.518540E+01    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.629000E+06      3.265982E+02     1       +0.50      3.500000E+04    1.754326E+02    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.709000E+06      3.426374E+02     2       +2.50      9.599990E+03    4.811861E+01    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.754000E+06      3.516595E+02     1       +0.50      2.600000E+03    1.303214E+01    1.230900E+00    6.154500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
