# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 18:10:16 2025
#                        
# Element                            : Os
# Z                                  : 76
# A                                  : 186
# I                                  : 0
# Abundancy                       [%]: 1.59
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.400000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 120
# Number of resonances (<Emax2)      : 120
# Thermal  (n,g) xs (calculated) [b.]: 8.003770E+01 
# Res. Int (n,g) (calculated)    [b.]: 2.413710E+02  
# MACS 30 keV (calculated)       [b.]: 4.334800E-01
# Westcott factor (calculated)       : 9.814400E-01
#
# Thermal (n,el) xs (calculated) [b.]: 2.000740E+01 
# Res. Int (n,el) (calculated)   [b.]: 3.535360E+02 
#
# Scattering radius              [fm]: 8.90 
#
# Average Gtotal   l=0           [eV]: 3.067500E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.693950E-03 
# Average Gg       l=0           [eV]: 6.021840E-02 
# Average level spacing D0 (l=0) [eV]: 2.881360E+01 
# Neutron strength function S0 (l=0) : 2.342880E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.080000E+00      2.910000E-04     0       +0.50      3.550000E-03    2.400000E-05    6.520000E-03    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.238000E+01      6.030000E-03     0       +0.50      1.300000E-02    8.800000E-05    7.100000E-02    3.550000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.468000E+01      1.203800E-02     0       +0.50      8.500000E-02    5.730000E-04    7.500000E-02    3.750000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.628000E+01      1.785800E-02     0       +0.50      2.890000E-02    1.950000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.968000E+01      2.416200E-02     0       +0.50      1.150000E-02    7.700000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.378900E+02      3.715200E-02     0       +0.50      4.290000E-01    2.890000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.452400E+02      3.913200E-02     0       +0.50      2.900000E-03    2.000000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.696700E+02      4.571400E-02     0       +0.50      5.700000E-03    3.800000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.018700E+02      5.439000E-02     0       +0.50      6.190000E-02    4.170000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.494800E+02      6.721700E-02     0       +0.50      1.700000E-02    1.150000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.729200E+02      7.353300E-02     0       +0.50      1.900000E-03    1.300000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.810200E+02      7.571500E-02     0       +0.50      1.420000E-01    9.560000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.133700E+02      8.443100E-02     0       +0.50      4.120000E-02    2.780000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.424000E+02      9.225300E-02     0       +0.50      6.680000E-01    4.499000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.700000E+02      9.968900E-02     0       +0.50      1.560000E-01    1.051000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.800000E+02      1.023830E-01     0       +0.50      1.380000E-01    9.300000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.168100E+02      1.123010E-01     0       +0.50      4.220000E-02    2.840000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.231000E+02      1.139960E-01     0       +0.50      1.230000E-01    8.280000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.520500E+02      1.217960E-01     0       +0.50      1.700000E-02    1.150000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.210000E+02      1.403730E-01     0       +0.50      1.490000E-01    1.004000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.678000E+02      1.529820E-01     0       +0.50      2.430000E-01    1.637000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.046000E+02      1.628970E-01     0       +0.50      5.100000E-02    3.440000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.347000E+02      1.710070E-01     0       +0.50      1.980000E-01    1.334000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.435000E+02      1.733780E-01     0       +0.50      5.090000E-01    3.429000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.553000E+02      1.765570E-01     0       +0.50      4.620000E-01    3.112000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.797000E+02      1.831320E-01     0       +0.50      3.420000E-01    2.304000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.358000E+02      1.982470E-01     0       +0.50      1.100000E-02    7.400000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.630000E+02      2.055750E-01     0       +0.50      1.230000E-01    8.280000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.968000E+02      2.146820E-01     0       +0.50      5.700000E-02    3.840000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.371000E+02      2.255400E-01     0       +0.50      3.620000E-01    2.438000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.458000E+02      2.278840E-01     0       +0.50      4.200000E-02    2.830000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.685000E+02      2.340000E-01     0       +0.50      7.240000E-01    4.877000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.913000E+02      2.401430E-01     0       +0.50      1.030000E-01    6.940000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.626000E+02      2.593530E-01     0       +0.50      1.610000E+00    1.084500E-02    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.800000E+02      2.640410E-01     0       +0.50      8.190000E-01    5.517000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.023800E+03      2.758420E-01     0       +0.50      2.450000E-01    1.650000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.037500E+03      2.795340E-01     0       +0.50      2.710000E-01    1.825000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.054000E+03      2.839790E-01     0       +0.50      3.000000E-03    2.000000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.073500E+03      2.892330E-01     0       +0.50      7.300000E-02    4.920000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.167000E+03      3.144250E-01     0       +0.50      4.000000E-03    2.700000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.204500E+03      3.245280E-01     0       +0.50      2.100000E-02    1.410000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.224200E+03      3.298360E-01     0       +0.50      3.000000E-02    2.020000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.228000E+03      3.308600E-01     0       +0.50      5.560000E-01    3.745000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.243800E+03      3.351170E-01     0       +0.50      4.800000E-02    3.230000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.264300E+03      3.406400E-01     0       +0.50      8.600000E-02    5.790000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.268000E+03      3.416370E-01     0       +0.50      2.000000E-02    1.350000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.298100E+03      3.497470E-01     0       +0.50      8.550000E-01    5.759000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.323600E+03      3.566180E-01     0       +0.50      3.000000E-01    2.021000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.359000E+03      3.661550E-01     0       +0.50      1.150000E+00    7.746000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.400300E+03      3.772830E-01     0       +0.50      5.600000E-02    3.770000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.462300E+03      3.939870E-01     0       +0.50      3.110000E-01    2.095000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.476500E+03      3.978130E-01     0       +0.50      3.900000E-02    2.630000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.503800E+03      4.051690E-01     0       +0.50      1.690000E-01    1.138000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.528000E+03      4.116890E-01     0       +0.50      5.000000E-03    3.400000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.596600E+03      4.301720E-01     0       +0.50      1.390000E-01    9.360000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.626100E+03      4.381200E-01     0       +0.50      4.890000E-01    3.294000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.648400E+03      4.441280E-01     0       +0.50      1.000000E-02    6.700000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.686700E+03      4.544480E-01     0       +0.50      3.900000E-02    2.630000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.713000E+03      4.615340E-01     0       +0.50      1.680000E-01    1.132000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.741700E+03      4.692660E-01     0       +0.50      4.100000E-02    2.760000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.747400E+03      4.708020E-01     0       +0.50      4.130000E-01    2.782000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.790000E+03      4.822800E-01     0       +0.50      4.000000E-03    2.700000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.811300E+03      4.880190E-01     0       +0.50      4.100000E-02    2.760000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.821000E+03      4.906320E-01     0       +0.50      6.700000E-02    4.510000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.859200E+03      5.009240E-01     0       +0.50      1.240000E-01    8.350000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.919000E+03      5.170360E-01     0       +0.50      1.130000E-01    7.610000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.940000E+03      5.226940E-01     0       +0.50      1.000000E-02    6.700000E-05    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.957000E+03      5.272740E-01     0       +0.50      2.530000E-01    1.704000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.969000E+03      5.305080E-01     0       +0.50      8.700000E-02    5.860000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.990300E+03      5.362470E-01     0       +0.50      3.830000E-01    2.580000E-03    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.010000E+03      5.415540E-01     0       +0.50      1.800000E-02    1.210000E-04    6.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
