# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:40:40 2025
#                        
# Element                            : P
# Z                                  : 15
# A                                  : 31
# I                                  : 0
# Abundancy                       [%]: 100
# Data origin                        : jendl5.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.435100E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 26
# Number of resonances (<Emax2)      : 26
# Thermal  (n,g) xs (calculated) [b.]: 1.661690E-01 
# Res. Int (n,g) (calculated)    [b.]: 7.541670E-02  
# MACS 30 keV (calculated)       [b.]: 1.601900E-03
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.063700E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.030960E+01 
#
# Scattering radius              [fm]: 4.70 
#
# Average Gtotal   l=0           [eV]: 3.090400E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.573580E-01 
# Average Gg       l=0           [eV]: 2.000000E+00 
# Average level spacing D0 (l=0) [eV]: 2.264620E+04 
# Neutron strength function S0 (l=0) : 9.641660E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.900000E+03      1.186490E+00     0       +0.00      2.027820E+02    1.019472E+00    2.000000E+00    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.675000E+04      5.379425E+00     0       +1.00      4.553000E-01    2.289000E-03    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.399990E+04      1.689238E+01     0       +0.00      4.240000E+00    2.131600E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.273990E+04      1.864999E+01     0       +1.00      5.753000E+00    2.892300E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.051100E+05      2.113762E+01     0       +1.00      8.667000E+00    4.357300E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.075000E+05      2.161825E+01     0       +1.00      9.667000E+00    4.860000E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.134000E+05      2.280474E+01     0       +0.00      1.952000E+01    9.813500E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.476000E+05      2.968236E+01     0       +1.00      4.760000E+00    2.393100E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.561000E+05      3.139171E+01     0       +1.00      9.933000E+00    4.993700E-02    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.615000E+05      3.247765E+01     0       +1.00      1.987000E+02    9.989500E-01    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.835000E+05      3.690185E+01     0       +0.00      1.190000E+03    5.982642E+00    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.248000E+05      4.520728E+01     0       +1.00      3.900000E+01    1.960700E-01    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.282000E+05      4.589102E+01     0       +0.00      7.540000E+02    3.790682E+00    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.382000E+05      4.790202E+01     0       +1.00      2.233000E+02    1.122625E+00    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.693000E+05      5.415623E+01     0       +0.00      4.060000E+02    2.041137E+00    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
